wavelength (nm),DOMBlank1,DOMSTD10,DOM12028,DOM12052,DOM12060,DOM12085,DOM12079,DOM12125,DOM12127,DOM12256,DOMBlank2,DOM12345,DOM12346,DOM12347,DOM12504,DOM12571,DOM12582,DOM12586,DOM12599,DOM12600,DOMBlank3,DOM12601,DOM12613,DOM12616,DOM12620,DOM12621,DOM12630,DOM12666,DOM12683,DOM12684,DOMBlank4,DOM12694,DOM12698,DOM12757,DOM12932,DOM12935,DOM12937,DOM13122,DOM13164,DOM13197,DOMBlank5,DOM13233,DOM13235,DOMBlank6
867.2000122,-0.000670033,-0.003480107,-0.000318074,0.002923334,-0.001417375,-0.000810148,-0.001148955,-0.001335782,0.001236753,0.002385304,-0.002133244,-0.002136901,0.004275072,0.004312144,-0.000370943,0.000678354,0.001071161,-0.000691123,0.002091697,0.003413711,-0.000670757,0.000378903,0.001078064,0.00392128,0.002649105,0.002766685,0.002473211,-0.000773612,0.001858364,0.00356827,0.00220028,-0.000629918,0.006761225,0.000752898,0.002941629,0.000551877,0.003997637,0.006477757,0.004907961,0.001087198,0.003245748,0.003002618,0.003342151,0.00408156
866.4000244,0.000110599,-0.002452951,0.001720549,0.00504797,-0.000262353,0.001081152,-0.003709979,-0.001955006,0.003093154,-0.001614764,-0.001367884,0.000757359,0.00035613,0.002931127,0.004657438,0.001206044,0.003956466,-0.000508206,0.004551089,0.001698044,0.003846789,0.006259939,0.002522105,0.000786169,0.003444341,-0.002517606,0.000957048,0.00330944,0.000702466,0.000774085,0.006730963,0.001567217,0.004647469,-0.00134435,0.002170959,0.000994071,0.000785521,0.002332495,0.003973368,0.004548133,0.006870246,0.003743016,0.003740144,0.003611519
865.5999756,-0.000585715,0.00038696,0.001816302,0.004051642,0.00267851,-9.44E-05,-0.000136708,8.63E-05,0.001555552,-0.00013293,0.001156597,0.001992164,0.004794721,0.004368749,0.002987527,0.000153945,0.003919529,0.003458379,0.004718511,0.00321221,-0.001166046,0.0021162,0.001666002,-1.78E-05,0.005946119,0.006751549,0.000950277,0.001729334,0.002598868,0.003972323,0.003235577,0.001008497,0.004074662,0.004619291,0.002866916,0.002113443,0.004085244,0.005496707,0.002722869,0.00382877,0.008355373,0.004869191,0.004718747,0.007494368
864.7999878,0.001277693,-0.002455937,0.001523158,-0.00019436,0.002886017,9.80E-05,0.001348576,-0.000726012,0.004726205,0.003985855,0.000286808,0.003072037,0.003818794,0.003553342,0.002997979,4.16E-05,0.004557106,0.003436331,0.002291429,0.003705028,0.001487987,0.005141761,0.002802168,0.00133523,0.001930953,0.003942725,0.004014828,0.003453604,0.003632611,0.005879179,0.00495213,0.007249981,0.005979764,0.003641642,0.00249961,0.005415132,0.006525028,0.006168295,0.001952717,0.003501226,0.004793988,0.006149733,0.006525606,0.005108129
864,-0.002652855,-0.000507069,0.00413142,0.00340317,-0.00263433,0.002198849,-0.003343883,0.005424961,0.00063721,-0.001095871,-0.000457371,-0.000212058,0.001766084,0.000243189,0.000726242,0.001088288,0.002884036,0.001431313,0.001275227,0.003879227,0.000721679,0.003981153,0.003872724,0.003360568,0.000416394,0.005660534,0.003943143,0.002619259,0.003496268,0.004650792,0.004857515,0.002028391,0.002824679,0.004375156,0.002832157,0.003492353,0.000869058,0.000831061,0.004318183,0.002431455,0.005614379,0.004230137,0.002895685,0.006695184
863.2000122,-0.000839808,-0.001926349,0.000400537,0.001962052,-0.004430487,-0.003395203,-0.000938232,-0.000425564,-0.000324023,-0.003170304,-0.002013241,0.003885548,-0.000650493,-0.00226681,0.001137027,-0.000399858,6.96E-05,0.002288644,0.000577252,0.000527773,0.000839646,0.000501027,-0.002095685,0.000918213,-0.001288399,0.003538492,0.002244668,0.000788192,0.003175337,0.000322167,0.004123188,-0.001284992,0.001618296,0.002694242,-0.000128634,0.003026573,0.002217634,0.003144438,0.001306045,0.001861405,0.000557216,0.002640615,0.000985483,0.005395396
862.4000244,0.002502162,-0.000884502,0.005431592,0.005008426,-0.000195395,0.00107168,0.001400486,0.0011696,0.002079082,-0.001912896,0.00182891,0.002809516,0.000275851,-0.000557847,1.43E-05,0.000687661,0.005672886,0.002640953,0.005986666,0.004302104,0.000448473,0.00365566,0.004711498,0.005059205,0.002856259,0.004461349,0.002847035,0.001538588,0.006707355,0.00244395,0.003159796,0.003877634,0.004024782,0.003857497,0.007924235,0.003534603,0.005106924,0.005828174,0.005673726,0.007077319,0.005468133,0.009653661,0.003768761,0.005529242
861.5999756,-0.000438546,0.008112848,0.000359679,0.003615957,0.000567869,0.001202955,0.000931262,-0.00026851,0.003475549,0.002708099,0.004004038,0.00244546,0.00069111,0.002235223,0.000829298,0.006095913,0.002363258,0.003189418,0.004117909,0.00386844,0.004362291,0.005619781,0.0089054,0.00481498,0.005711178,0.006439581,0.004974674,0.003474114,0.006112846,0.00554707,0.005712123,0.005243957,0.0056999,0.005662816,0.003563025,0.005942839,0.003792993,0.0045016,0.004050649,0.00654881,0.006979241,0.005706431,0.003812134,0.007672123
860.7999878,-0.001181587,-0.000376788,0.000510435,0.001494714,8.82E-05,-0.000879387,-0.001231925,-0.00327041,-0.00132133,-0.002985652,-0.000363028,-0.000946291,-0.00034244,0.002651397,-0.00248703,0.000910768,0.004146342,0.000431267,0.002507629,0.000152392,0.001423236,0.003187515,-0.001504524,0.001336606,0.002554236,0.00464064,0.00285037,0.000435076,0.004690354,0.001337099,0.004020889,0.00362089,0.004379627,0.002066415,0.003546817,0.002469644,0.003177658,0.004635407,0.000667205,0.001437598,0.001355431,0.003345464,0.0043995,0.003328169
860,0.001215155,0.000629744,0.001015165,0.005014083,0.000602577,-0.001931297,-0.000532614,0.001241711,0.001483155,0.00233351,0.000119221,0.003098498,0.003578658,0.001404226,0.003650805,0.004300562,0.002379213,0.004633733,0.003230908,0.001947282,0.003096204,0.004482245,0.003476749,0.002963756,0.002048963,0.003322717,0.001885271,0.004513422,0.002750586,0.003300415,0.003820935,0.004020524,0.006047533,0.007073188,0.003052719,0.00568516,0.006224566,0.005183438,0.006221468,0.001268918,0.007664799,0.006325362,0.003860788,0.008595418
