wavelength (nm),DOMBlank1,DOMSTD37,DOM12686,DOM12685
782.4000244,-0.002992748,-0.007496884,-0.010850767,-0.013380277
781.5999756,-0.005141206,-0.005785224,-0.013349453,-0.015493169
780.7999878,-0.004753066,-0.007274507,-0.010820419,-0.016568372
780,-0.004446476,-0.007381358,-0.012220287,-0.015291293
779.2000122,-0.006002034,-0.006636773,-0.012415293,-0.015074022
778.4000244,-0.004088744,-0.009313675,-0.012173874,-0.015747428
777.5999756,-0.003512359,-0.004018988,-0.011545267,-0.013834963
776.7999878,-0.001610895,-0.005644457,-0.013144368,-0.014431122
776,-0.002904251,-0.007115836,-0.010749109,-0.014118511
775.2000122,-0.002943539,-0.009076559,-0.01269107,-0.016829025
774.4000244,-0.004099924,-0.006395029,-0.010273737,-0.01405521
773.5999756,-0.002905485,-0.006133242,-0.010410029,-0.014392909
772.7999878,-0.003412617,-0.006106034,-0.010310696,-0.015137925
772,-0.006293854,-0.006161674,-0.011418861,-0.01421312
771.2000122,-0.001659326,-0.005949234,-0.010148022,-0.013410798
770.4000244,-0.005015123,-0.007243245,-0.012576214,-0.014793849
769.5999756,-0.002343027,-0.007177356,-0.009026768,-0.013147332
768.7999878,-0.001058584,-0.007028532,-0.010901965,-0.013686045
768,-0.003614184,-0.005736894,-0.010163296,-0.013067813
767.2000122,-0.002898028,-0.006400232,-0.009016423,-0.014559307
766.4000244,-0.004678398,-0.007584246,-0.012072627,-0.017080214
765.5999756,-0.00114849,-0.007678661,-0.011823512,-0.014799804
764.7999878,-0.002709402,-0.007591573,-0.010603121,-0.015812829
764,-0.004438994,-0.006656046,-0.012295129,-0.0158611
763.2000122,-0.004095001,-0.008888773,-0.010571291,-0.014731447
762.4000244,-0.003449291,-0.006873848,-0.010132192,-0.013522323
761.5999756,-0.002128813,-0.007339516,-0.00960419,-0.013456526
760.7999878,-0.002612254,-0.006152026,-0.009369918,-0.013441719
760,-0.000778159,-0.005304487,-0.009420633,-0.011761286
759.2000122,-0.002831373,-0.00519477,-0.008403081,-0.013800007
758.4000244,-0.003380974,-0.008177204,-0.010333193,-0.01420405
757.5999756,-0.002341997,-0.006940396,-0.011386637,-0.014385296
756.7999878,-0.002008243,-0.005130411,-0.01053784,-0.014250496
756,-0.004533275,-0.005510495,-0.010138565,-0.01467274
755.2000122,-0.00317606,-0.006999546,-0.011250297,-0.014942337
754.4000244,-0.00442198,-0.006559215,-0.01030746,-0.012141404
753.5999756,-0.002673437,-0.0065815,-0.011530395,-0.013716144
752.7999878,-0.002329227,-0.006151669,-0.009575679,-0.014079569
752,-0.004371447,-0.007880446,-0.011829357,-0.015433664
751.2000122,-0.004115873,-0.007220638,-0.009940408,-0.014509439
750.4000244,-0.002357651,-0.006501893,-0.00962242,-0.014840382
749.5999756,-0.002582971,-0.006381918,-0.00927658,-0.01426748
748.7999878,-0.002508032,-0.006925518,-0.009600341,-0.012757084
748,-0.003039431,-0.006387122,-0.009602317,-0.013946479
747.2000122,-0.001877432,-0.00543386,-0.011510127,-0.012896168
746.4000244,-0.002660676,-0.005710018,-0.011488699,-0.014058919
745.5999756,-0.001599599,-0.007935706,-0.010994198,-0.015180271
744.7999878,-0.001689754,-0.008579708,-0.011402119,-0.014121718
744,-0.002492847,-0.007169717,-0.009374327,-0.013599451
743.2000122,-0.004725669,-0.006694232,-0.012003034,-0.015537528
742.4000244,-0.005011643,-0.007583737,-0.013069772,-0.015871981
741.5999756,-0.003763361,-0.007805652,-0.013715441,-0.01546639
740.7999878,-0.002928112,-0.007169259,-0.012536278,-0.015349416
740,-0.003236136,-0.006526934,-0.011394504,-0.014125126
739.2000122,-0.004817072,-0.007283824,-0.011030136,-0.013644706
