wavelength (nm),DOMBlank1,DOMSTD15,DOM12053,DOM12081,DOM12086,DOM12096,DOM12114,DOM12147,DOM12201,DOMBlank2,DOM12267,DOM12310,DOM12316,DOM12336,DOM12343,DOM12979,DOM13057,DOM11873,DOM11903,DOMBlank3,DOM11908,DOM11914,DOM11916,DOM11946,DOM11992,DOM11997,DOM11999,DOM12006,DOM11962,DOM11928,DOMBlank4
660.7999878,-0.003458844,-0.003132937,-0.006209906,-0.010999194,-0.009688902,-0.013039629,-0.011838727,-0.013924419,-0.014542686,-0.01562169,-0.017100621,-0.016225578,-0.0163297,-0.018001076,-0.017347774,-0.017387867,-0.017683122,-0.016910596,-0.018883856,-0.018585546,-0.017365284,-0.018160239,-0.017148202,-0.016758695,-0.018249504,-0.019038534,-0.017301111,-0.019769,-0.018348677,-0.017056819,-0.020249071
660,-0.003966664,-0.003423814,-0.006266349,-0.01190885,-0.009807663,-0.013665176,-0.012625198,-0.014445945,-0.01523886,-0.015672628,-0.017309319,-0.016358919,-0.017230509,-0.018225327,-0.017455805,-0.017545961,-0.017239565,-0.017189756,-0.01943917,-0.018365748,-0.018188192,-0.018331008,-0.016465103,-0.017160643,-0.018024322,-0.018824171,-0.017595731,-0.019868024,-0.018699469,-0.017246433,-0.020136591
659.2000122,-0.004584763,-0.003864306,-0.007202206,-0.01168353,-0.010168353,-0.013926624,-0.012676841,-0.014911572,-0.014935634,-0.016315091,-0.017619643,-0.016661152,-0.017363841,-0.018316465,-0.017641913,-0.018027252,-0.017692616,-0.017436808,-0.019529905,-0.01854611,-0.017512497,-0.018611884,-0.017392393,-0.017643655,-0.018417062,-0.019392435,-0.018036837,-0.020178404,-0.019002855,-0.01744004,-0.020887764
658.4000244,-0.004024477,-0.003671274,-0.006401967,-0.012089697,-0.009354414,-0.01337586,-0.012959236,-0.014529918,-0.014671639,-0.016129162,-0.017772734,-0.016467247,-0.01587298,-0.018084217,-0.017373342,-0.017556502,-0.017382743,-0.017158505,-0.01864695,-0.018937189,-0.017247278,-0.018001871,-0.017474007,-0.017536564,-0.017943654,-0.019176859,-0.017613826,-0.020138815,-0.018622153,-0.017184133,-0.020297591
657.5999756,-0.004624565,-0.003985286,-0.007139569,-0.01237977,-0.009922192,-0.013808032,-0.013614503,-0.014901917,-0.015300689,-0.016630162,-0.018067678,-0.016603105,-0.016889982,-0.017926218,-0.017859295,-0.018084513,-0.017734764,-0.017337328,-0.019659068,-0.018474024,-0.017722091,-0.018371109,-0.01772701,-0.017400948,-0.018605238,-0.019432338,-0.017989801,-0.020329805,-0.019185726,-0.017510507,-0.020895904
656.7999878,-0.004175564,-0.003100863,-0.006626831,-0.011984099,-0.009434666,-0.013557301,-0.013024154,-0.01439967,-0.015293942,-0.015843729,-0.017376874,-0.016462212,-0.016871754,-0.01772557,-0.017022571,-0.017323896,-0.01744014,-0.016877681,-0.0193347,-0.018691931,-0.017175324,-0.017590659,-0.017155517,-0.017272504,-0.01837622,-0.018995719,-0.01758345,-0.019393522,-0.01808079,-0.016369239,-0.020348331
656,-0.003880469,-0.002891857,-0.006555952,-0.011336251,-0.009468607,-0.013446337,-0.012519629,-0.014031,-0.014299141,-0.015081523,-0.017488429,-0.016020799,-0.016631257,-0.017554464,-0.017534574,-0.017972317,-0.017462172,-0.016937286,-0.018904129,-0.018086402,-0.016760888,-0.017727209,-0.016876087,-0.016980154,-0.018508356,-0.018518973,-0.017534127,-0.019778004,-0.018588373,-0.01713133,-0.019761086
655.2000122,-0.004273234,-0.003574289,-0.006720078,-0.011426728,-0.009384257,-0.012995867,-0.012658185,-0.013959865,-0.014374328,-0.01523816,-0.01731126,-0.016421884,-0.016518036,-0.016917817,-0.016844762,-0.017626602,-0.017838476,-0.016673708,-0.018749552,-0.018609058,-0.017460629,-0.01799437,-0.016904322,-0.017321359,-0.018478539,-0.01889134,-0.016844165,-0.019501245,-0.018038178,-0.016735682,-0.019104829
654.4000244,-0.003674046,-0.003128671,-0.006813458,-0.011407162,-0.009519816,-0.012895716,-0.012680913,-0.013987288,-0.014643509,-0.015233061,-0.017015452,-0.015894393,-0.016376467,-0.017503845,-0.01689506,-0.017247377,-0.017120382,-0.017001115,-0.019097645,-0.018421577,-0.01733489,-0.017870424,-0.016971292,-0.017131828,-0.018094596,-0.018828286,-0.017818749,-0.01984003,-0.01809673,-0.015947944,-0.019349754
653.5999756,-0.004361094,-0.003454427,-0.006830225,-0.011442511,-0.009758056,-0.013001746,-0.012895415,-0.014647963,-0.014633097,-0.015690256,-0.016843019,-0.016113548,-0.016485142,-0.017960396,-0.016771398,-0.017479727,-0.017587725,-0.016316038,-0.019055776,-0.018788327,-0.017291011,-0.018035347,-0.01669234,-0.016643416,-0.018212767,-0.018694609,-0.017528309,-0.01922659,-0.018342273,-0.015823212,-0.019622648
652.7999878,-0.003763874,-0.00292405,-0.006528158,-0.010676273,-0.008982854,-0.012516762,-0.012307862,-0.013342424,-0.01412703,-0.015253356,-0.015953932,-0.015909715,-0.01618463,-0.016755708,-0.016563738,-0.01707001,-0.016987871,-0.016552374,-0.018184816,-0.01784583,-0.016528603,-0.017514039,-0.016217299,-0.01684018,-0.018092161,-0.018120516,-0.016715854,-0.019490305,-0.017833011,-0.016123874,-0.01923595
652,-0.004176999,-0.003303397,-0.00629166,-0.01054916,-0.009175365,-0.012597538,-0.01205445,-0.013231455,-0.013697333,-0.014892913,-0.016467795,-0.01613465,-0.015938461,-0.017118441,-0.016743504,-0.01710311,-0.016284024,-0.016167272,-0.018800523,-0.017601894,-0.016660655,-0.0175031,-0.01614657,-0.016280334,-0.017689187,-0.018738842,-0.016801035,-0.019284239,-0.017735062,-0.016364602,-0.01890403
651.2000122,-0.003352,-0.003237986,-0.005986818,-0.01066617,-0.00919934,-0.011968335,-0.012396023,-0.013490204,-0.0136279,-0.014562411,-0.016482499,-0.015899383,-0.016820757,-0.016913584,-0.016784299,-0.017070061,-0.016197747,-0.01677862,-0.018431898,-0.017966108,-0.016595481,-0.017335935,-0.016458025,-0.01609928,-0.017547602,-0.017985033,-0.01648833,-0.019104432,-0.018177865,-0.015931923,-0.019459862
650.4000244,-0.003946297,-0.003494539,-0.006287374,-0.011733219,-0.009257677,-0.012463691,-0.012168589,-0.013699941,-0.014209061,-0.015350915,-0.016747737,-0.016231313,-0.016613968,-0.017322702,-0.016859056,-0.017333645,-0.017074391,-0.017372895,-0.019091252,-0.018406888,-0.017157758,-0.017970975,-0.017360657,-0.01680213,-0.018202044,-0.018387387,-0.0173523,-0.01907634,-0.017972415,-0.016743004,-0.019051367
