wavelength (nm),DOMBlank1,DOMSTD21,DOM12282,DOM12486,DOM12602,DOM12622,DOMBlank2,DOM12629,DOM12636,DOM12682,DOM12785,DOM12812,DOM12815,DOM12847,DOM12941,DOM13373,DOMBlank3,DOM13374,DOM12196,DOM12220,DOM12227,DOM12228,DOM12772,DOM12827,DOM12996,DOM13171,DOM13241,DOMBlank4
880,-0.005881666,-0.016183283,-0.014331301,-0.028586844,-0.026092356,-0.015529736,-0.02280147,-0.020545499,-0.027150275,-0.015769795,-0.031448983,-0.026996661,-0.02304206,-0.025924759,-0.025287574,-0.030257044,-0.023933772,-0.027782695,-0.032770813,-0.026117804,-0.026131455,-0.025579903,-0.026104106,-0.023733186,-0.031483077,-0.020369226,-0.034334816,-0.029486604
879.2000122,-0.005540398,-0.015017511,-0.01647288,-0.013368982,-0.012581193,-0.017427159,-0.01994873,-0.020194711,-0.017082604,-0.018563868,-0.016244579,-0.027785754,-0.021535421,-0.024457468,-0.027477851,-0.029735947,-0.023750145,-0.016277144,-0.015451052,-0.022476394,-0.021722892,-0.017946834,-0.015366358,-0.018497592,-0.017367223,-0.020101942,-0.026192581,-0.017740877
878.4000244,0.007636688,0.006224067,-0.008227449,-0.007672201,-0.011625065,-0.016150363,-0.01468205,-0.008552906,-0.017278573,-0.019943884,-0.02001182,-0.012762866,-0.015003808,-0.012224515,-0.013888819,-0.018130299,-0.014305653,-0.01340849,-0.014872902,-0.00851859,-0.018049998,-0.007955328,-0.006071217,-0.018084265,-0.023237471,-0.018553501,-0.0146352,-0.021619858
877.5999756,-0.016350891,-0.012747633,-0.021609513,-0.022592152,-0.018474372,-0.022036625,-0.023554327,-0.031928733,-0.025092645,-0.024551759,-0.029624013,-0.027122067,-0.020798447,-0.024465004,-0.030217495,-0.032148648,-0.024497496,-0.028124934,-0.026754698,-0.026264468,-0.022869304,-0.031789549,-0.022039233,-0.022516506,-0.028466856,-0.022788255,-0.027565124,-0.025814276
876.7999878,-0.010321363,-0.018607322,-0.014931732,-0.019895818,-0.020325802,-0.023030031,-0.0230127,-0.015124375,-0.020916823,-0.023015056,-0.022783194,-0.026091868,-0.029008023,-0.023024632,-0.023933919,-0.02616309,-0.01828455,-0.017201101,-0.029504068,-0.025397068,-0.031230642,-0.032155957,-0.012789358,-0.03224941,-0.021351222,-0.024516188,-0.021931252,-0.022294313
876,-0.003677126,-0.014088741,-0.01740811,-0.019452833,-0.01801255,-0.018734925,-0.023520637,-0.028042238,-0.022656284,-0.017592996,-0.01564691,-0.020667944,-0.0232359,-0.025352923,-0.02170206,-0.021293944,-0.033770841,-0.022081207,-0.024950765,-0.022147186,-0.021074034,-0.025678683,-0.024906673,-0.01446232,-0.025448825,-0.020459767,-0.019864561,-0.019888844
875.2000122,-0.006204547,-0.017600253,-0.023088995,-0.020178007,-0.024204439,-0.025575118,-0.027425265,-0.022868862,-0.023137052,-0.029280437,-0.027034899,-0.03398212,-0.02594417,-0.026029265,-0.034122277,-0.016714262,-0.030515645,-0.025883203,-0.022547079,-0.024634877,-0.027285021,-0.024912002,-0.024907503,-0.024788791,-0.025781687,-0.031499688,-0.025762269,-0.022391975
874.4000244,-0.000301674,-0.009480004,-0.017248571,-0.016826883,-0.016354332,-0.020997336,-0.028031755,-0.027343895,-0.018965688,-0.025660628,-0.019566331,-0.023603609,-0.019438427,-0.021424802,-0.025966359,-0.01314708,-0.025105106,-0.021830875,-0.020106094,-0.019515403,-0.018887673,-0.026743744,-0.01809668,-0.019986358,-0.024920214,-0.020243388,-0.024057958,-0.027229203
873.5999756,-0.00473796,-0.006759278,-0.016215004,-0.016227273,-0.014527014,-0.010688396,-0.021816203,-0.014382141,-0.01722409,-0.024697976,-0.020939766,-0.023594145,-0.017807221,-0.010127235,-0.021100864,-0.021711074,-0.014931282,-0.023752203,-0.01594465,-0.019142875,-0.013789826,-0.019140944,-0.015577888,-0.023488659,-0.018353887,-0.009784278,-0.018819263,-0.021349989
872.7999878,-0.005772146,-0.003752582,-0.011399597,-0.01574523,-0.019687172,-0.023769652,-0.014775785,-0.021007201,-0.019759947,-0.01738737,-0.016430708,-0.023916231,-0.016023744,-0.019120088,-0.024343822,-0.024516433,-0.022679724,-0.020204447,-0.025472017,-0.020698352,-0.020550635,-0.018298199,-0.018247766,-0.021477085,-0.025580635,-0.017415322,-0.024094254,-0.019427584
872,0.002119165,-0.007016052,-0.010023334,-0.017298972,-0.019289933,-0.013405829,-0.01474576,-0.010751382,-0.022446994,-0.014788996,-0.019145502,-0.017027549,-0.018288272,-0.015528986,-0.015173672,-0.016149564,-0.018214505,-0.011789403,-0.014671189,-0.029001292,-0.01981812,-0.007969916,-0.012675533,-0.016913187,-0.015076173,-0.018668277,-0.015076772,-0.021593012
