Wavelength (nm)	ave
481.0599976	11.05058606
481.9599915	11.17055957
483.0299988	10.79334068
483.9299927	10.79101435
485	11.05573877
486.0599976	10.87410514
486.9599915	10.87503497
488.0299988	11.09482733
488.9299927	11.07944711
490	11.11120891
491.0400085	10.87298012
491.9400024	10.80739657
492.980011	10.78686206
494.019989	10.60615413
495.0700073	10.87602584
495.9700012	11.02652359
497.0100098	10.81769498
498.0499878	10.88282172
498.9500122	11.14304034
500	11.35298379
501.0400085	11.06081963
501.9400024	11.47008133
502.980011	10.95221838
504.019989	11.14692211
505.0700073	11.178689
505.9700012	10.58260854
507.0100098	11.31358083
508.0499878	11.07954916
508.9500122	11.37443606
510	10.80653191
511.0400085	11.15369892
511.9400024	10.67046865
512.9799805	11.21193409
514.0200195	11.4555521
515.0700073	11.62061755
515.9699707	10.86734263
517.0100098	11.02868716
518.0499878	11.14905071
518.9500122	11.23611641
520	11.02309513
521.039978	11.18710518
521.9400024	10.73086579
522.9799805	11.09025796
524.0200195	11.57128334
525.0700073	11.78541311
525.9699707	11.33374469
527.0100098	11.24445979
528.0499878	11.35714499
528.9500122	11.30931346
530	11.30450312
531.039978	10.80426343
531.9400024	11.37780857
532.9799805	10.92276383
534.0200195	11.3509264
535.0700073	11.24542904
535.9699707	11.59904925
537.0100098	11.37059307
538.0499878	11.7768631
538.9500122	11.69588439
540	11.53772227
541.039978	11.67833583
541.9400024	11.82157485
542.9799805	11.27765751
544.0200195	11.73510265
545.0700073	11.51360417
545.9699707	11.29311085
547.0100098	11.69011529
548.0499878	12.19230906
548.9500122	11.81324514
550	12.46014563
