wavelength (nm),DOMBlank1,DOMSTD18,DOM11874,DOM11875,DOM11901,DOM11906,DOM11933,DOM11949,DOM11950,DOMBlank2,DOM11952,DOM11993,DOM12000,DOM12007,DOM12386,DOM12413,DOM12485,DOM11942,DOM11944,DOMBlank3,DOM11948,DOM12208,DOM12422,DOM12424,DOM12429,DOM12431,DOM12448,DOM12456,DOM12477,DOMBlank4,DOM12495,DOM12522,DOM12524,DOM12526,DOM12527,DOM12563,DOM12576,DOM13289,DOM13293,DOMBlank5,DOM13291,DOM13312,DOM13328,DOM13330,DOM13336,DOM12522 ,DOMBlank6
892,-0.002533356,0.000156457,0.00836709,-0.002019889,-0.002391994,-0.003924287,0.003584426,-0.011726164,-0.009702167,-0.011918572,-0.000839395,-0.011114368,-0.00826316,-0.008827343,-0.011466917,-0.002886611,-0.016697671,-0.00256959,-0.009162996,-0.013772372,-0.00180897,-0.006165502,-0.010729462,0.00807197,-0.000353821,-0.003047451,-0.010655612,-0.01089838,-0.010815419,0.003683332,-0.009034374,0.00721608,-0.017006988,-0.008742665,-0.01519297,-0.002734612,-0.011947433,-0.010351443,-0.009833375,-0.004882092,-0.002156839,-0.008014493,-0.004692534,-0.00385938,-0.005378996,0.004821654,0.005800601
891.2000122,-0.026211346,-0.009470684,-0.002527489,-0.003538806,-0.016951427,-0.008554886,-0.01297612,-0.013930435,-0.004901545,-0.003259106,-0.02074712,-0.011737654,-0.02918368,-0.021329386,-0.022582173,-0.01567228,-0.024095135,-0.015168123,-0.011158522,-0.015071272,-0.020797806,-0.015258154,-0.017508717,-0.018025961,-0.023309996,-0.014165116,-0.019507483,-0.022322837,-0.016727064,-0.026686249,-0.008454416,-0.011816056,-0.015028814,-0.014947489,-0.01587862,-0.005518571,-0.012111145,-0.012071671,-0.022290427,-0.034564659,-0.013350858,-0.004957647,-0.007339465,-0.01577913,-0.009097144,0.000110029,-0.016265076
890.4000244,0.002099136,-0.000562035,-0.005087738,-0.006658086,-0.005481356,-0.010999396,0.010065378,-0.010705217,-0.008618994,-0.014074457,0.003100818,-0.012896168,-0.000213972,-0.0101857,-0.014402174,-0.009735731,-0.007563082,-0.002871439,-0.013137989,-0.003392532,0.000468893,-0.001941451,-0.005954289,-0.008559607,-0.002579935,-0.004419315,-0.006667314,-0.009926695,-0.004423979,0.00083298,-0.016356526,0.001513702,-6.30E-05,-0.001406641,-0.002503811,-0.002854055,-0.012393406,-0.001620489,-0.006837003,-0.013406582,-0.011451689,-0.01439967,-0.002577773,-0.011705754,-0.000537526,-0.000825702,-0.000305606
889.5999756,-0.007541458,0.005195777,0.006564893,-0.014684852,-0.005113014,0.001257885,0.000740089,-0.012778047,-0.011284045,-0.012027106,-0.005166275,-0.007139416,-0.020932168,-0.01713581,-0.013546963,-0.010042659,-0.02168645,-0.006102358,-0.004211199,-0.014134548,-0.009170854,-0.012164612,0.00087946,-0.005680229,-0.012024991,-0.01279705,-0.015288594,-0.016525263,-0.013261435,-0.009255954,-0.004781281,-0.01232784,-0.019618541,-0.010679203,-0.002889851,-0.012371468,-0.013024154,-0.011142778,-0.00680306,-0.017424176,-0.005623147,-0.004082846,-0.009913437,-0.004641725,-0.006835678,-0.006951452,-0.003159305
888.7999878,0.005048546,0.003631906,0.003221207,0.001003463,-0.0005201,-0.007208265,-0.002738008,0.007097131,-0.006890053,-0.005621665,0.001469207,-0.005989524,0.000115674,-0.004593267,-0.013073791,-0.009044718,-0.001335008,-0.007240394,-0.00388324,-0.003313519,0.000685976,-0.000726219,-0.006650387,-0.001859802,-0.0022015,-0.007480702,-0.010183222,-0.009706369,-0.003551541,-0.003035113,-0.004594035,-0.003169121,0.007446754,-0.007289118,-0.006444358,-0.013522775,-0.008291961,-0.012932754,-0.005391013,-0.003414312,-0.002643387,0.002029743,-0.00294971,-0.001159643,-0.000107258,0.001391397,-0.007374588
888,-0.004302557,-0.006834251,-0.01217317,-0.021001529,-0.010282079,-0.011701572,-0.011798623,-0.012928985,-0.011553586,-0.018377213,-0.015887154,-0.020266809,-0.022858154,-0.019941313,-0.014513946,-0.023831848,-0.015214115,-0.02284278,-0.020066202,-0.010791533,-0.014915074,-0.030700004,-0.021173649,-0.019396693,-0.01786973,-0.016699016,-0.020190164,-0.01405927,-0.01441139,-0.009531921,-0.005953677,-0.010573766,-0.014883208,-0.015482428,-0.015846873,-0.008391147,-0.021762682,-0.014642057,-0.021132376,-0.018185264,-0.017187217,-0.002770726,-0.028543118,-0.019374857,-0.015156624,-0.016173556,-0.013052088
887.2000122,-0.000871017,0.000489728,-0.010431915,-0.014997906,-0.000440821,-0.006943555,-0.000592178,-0.005881206,-0.014325189,-0.008727189,-0.014059019,-0.017813781,-0.018315969,-0.011690183,-0.013326257,-0.010577859,-0.019463329,-0.015033766,-0.008881215,-0.005586605,-0.020150183,-0.015811831,-0.006455069,-0.000777178,-0.012484417,-0.013778541,-0.0207754,-0.014564614,-0.012433506,-0.015281096,-0.010408614,-0.010245623,-0.012437531,-0.021984164,-0.013073188,-0.014504132,-0.015206817,-0.014587794,-0.018150408,-0.008245939,-0.012271978,-0.010851726,-0.017254045,-0.010519043,-0.013120007,-0.00762291,-0.009174909
886.4000244,-0.002564083,-0.001240649,-0.001095406,-0.016845411,-0.003570797,-0.013054048,-0.012848471,-0.014648264,-0.012393104,-0.013540691,-0.008048747,-0.013506414,-0.013675259,-0.016284125,-0.013975957,-0.024108114,-0.008951006,-0.0101725,-0.008728915,-0.015227762,-0.021790994,-0.019865897,-0.015156474,-0.020838616,-0.01333168,-0.015521593,-0.009165278,-0.015385547,-0.006755556,-0.008104647,-0.017638683,0.004117308,-0.010671626,-0.015983624,-0.01354586,-0.015512452,-0.022911591,-0.013677517,-0.004074896,-0.015775537,-0.011130163,-0.007413779,-0.014912923,-0.020008359,-0.014880256,-0.00257731,-0.014192375
885.5999756,-0.00430999,-0.005693872,-0.002992645,-0.006280893,-0.010592612,-0.012763268,-0.006566916,-0.017174428,-0.013579982,-0.009146724,-0.010484881,-0.005703938,-0.007510979,-0.014269534,-0.012617453,-0.014332303,-0.013160441,-0.0061752,-0.013063191,-0.011476094,-0.015821166,-0.009273184,-0.005007242,-0.01430916,-0.010668746,-0.018378206,-0.005688813,-0.014365111,-0.013384745,-0.011652232,-0.018149117,-0.008296735,-0.02115003,-0.013060328,-0.016094491,-0.011145756,-0.016384196,-0.019350991,-0.019871337,-0.015050018,-0.014186262,-0.008259096,-0.01589554,-0.013670544,-0.00691176,-0.013792183,-0.014130088
884.7999878,-0.006893263,-0.001403596,-0.007958276,-0.003252169,-0.004671586,-0.007650125,0.005253363,-0.001974642,-0.004522004,-0.01490452,-0.012678802,-0.009775976,-0.013270021,-0.013644256,-0.010661674,-0.011201914,-0.008219524,-0.003786098,-0.012700121,-0.014156898,-0.011062993,-0.007203275,-0.001908875,-0.005237228,-0.005994732,-0.01192114,-0.004805091,-0.011124814,-0.005596878,-0.006367786,-0.003829822,-0.006898868,-0.008877715,-0.013919655,-0.012510172,-0.011935596,-0.014068643,-0.012082043,-0.007513931,-0.009848407,-0.011599357,-0.00640513,-0.007517085,-0.01197327,-0.004895658,-0.004013192,-0.010264181
