Baseline 100%T,,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3,,Sample 4 Rack 1 Tube 4,,Sample 5 Rack 1 Tube 5,,Sample 6 Rack 1 Tube 6,,Sample 7 Rack 1 Tube 7,,Sample 8 Rack 1 Tube 8,,Sample 9 Rack 1 Tube 9,,Sample 10 Rack 1 Tube 10,,Sample 11 Rack 1 Tube 11,,Sample 12 Rack 1 Tube 12,,Sample 13 Rack 1 Tube 13,,Sample 14 Rack 1 Tube 14,,Sample 15 Rack 1 Tube 15,,Sample 16 Rack 1 Tube 16,,Sample 17 Rack 1 Tube 17,,Sample 18 Rack 1 Tube 18,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
884.7999878,0.8855971098,884.7999878,-0.02237378247,884.7999878,-0.01485063881,884.7999878,-0.00946303457,884.7999878,-0.02289553173,884.7999878,-0.0391950272,884.7999878,-0.03374440223,884.7999878,-0.03135314584,884.7999878,-0.02090207115,884.7999878,-0.02442565747,884.7999878,-0.03401591629,884.7999878,-0.03399054334,884.7999878,-0.03480474651,884.7999878,-0.03262047097,884.7999878,-0.03894769773,884.7999878,-0.03568105027,884.7999878,-0.04466208816,884.7999878,-0.04725072533,884.7999878,-0.03572282195,
884,0.8889760375,884,-0.0120060565,884,-0.01544870343,884,-0.02130567655,884,-0.02151330002,884,-0.03359832242,884,-0.0318849571,884,-0.0413518399,884,-0.04019289464,884,-0.03286638856,884,-0.03961327672,884,-0.03365208581,884,-0.04440527782,884,-0.05649365485,884,-0.04730946198,884,-0.04271603748,884,-0.0589665547,884,-0.0467796661,884,-0.04825533926,
883.2000122,0.8776221275,883.2000122,-0.008613461629,883.2000122,0.001469025388,883.2000122,-0.02674851567,883.2000122,-0.0147939492,883.2000122,-0.01810298674,883.2000122,-0.01945748739,883.2000122,-0.02519427426,883.2000122,-0.03346906975,883.2000122,-0.03149853274,883.2000122,-0.02374024317,883.2000122,-0.02196496725,883.2000122,-0.0351241678,883.2000122,-0.02649374865,883.2000122,-0.03402482346,883.2000122,-0.02977781184,883.2000122,-0.03077650256,883.2000122,-0.03019267134,883.2000122,-0.03599686921,
882.4000244,0.8710822463,882.4000244,0.002294109203,882.4000244,-0.01039567403,882.4000244,-0.009911210276,882.4000244,-0.010573362,882.4000244,-0.01688968204,882.4000244,-0.02451599203,882.4000244,-0.0282804314,882.4000244,-0.01603596658,882.4000244,-0.01126033533,882.4000244,-0.02267166413,882.4000244,-0.01640114561,882.4000244,-0.02369980142,882.4000244,-0.02633390948,882.4000244,-0.03765249252,882.4000244,-0.02175948024,882.4000244,-0.02166123129,882.4000244,-0.02249315567,882.4000244,-0.02021517046,
881.5999756,0.8767778873,881.5999756,-0.007766241208,881.5999756,-0.0143598523,881.5999756,-0.02266910858,881.5999756,-0.01088631339,881.5999756,-0.02123444155,881.5999756,-0.02313194796,881.5999756,-0.02320257761,881.5999756,-0.02561089583,881.5999756,-0.02190142125,881.5999756,-0.02714370936,881.5999756,-0.0210003946,881.5999756,-0.02456809953,881.5999756,-0.03409633413,881.5999756,-0.03309676796,881.5999756,-0.03014736809,881.5999756,-0.03093679063,881.5999756,-0.02774704807,881.5999756,-0.03195922822,
880.7999878,0.876044333,880.7999878,0.001155610196,880.7999878,-0.008628586307,880.7999878,-0.02068640664,880.7999878,-0.02366558276,880.7999878,-0.02075876668,880.7999878,-0.02544819191,880.7999878,-0.02167881466,880.7999878,-0.02684839442,880.7999878,-0.0181781631,880.7999878,-0.02329370566,880.7999878,-0.02038809657,880.7999878,-0.02872313187,880.7999878,-0.02403826825,880.7999878,-0.03498739004,880.7999878,-0.02205443755,880.7999878,-0.03552231193,880.7999878,-0.0367792137,880.7999878,-0.02444043756,
880,0.8730924726,880,-0.0006639849744,880,-0.0007296816329,880,-0.01622049138,880,-0.01525455527,880,-0.004744668026,880,-0.00963026844,880,-0.01832802966,880,-0.02157695219,880,-0.01320202649,880,-0.03063381463,880,-0.01841031201,880,-0.02831103839,880,-0.01742899977,880,-0.03510425612,880,-0.02954194136,880,-0.02806776762,880,-0.02466711216,880,-0.02593534254,
879.2000122,0.8728457689,879.2000122,0.003102148185,879.2000122,-0.01497269794,879.2000122,-0.006579154637,879.2000122,-0.01341988426,879.2000122,-0.01389052346,879.2000122,-0.002567943418,879.2000122,-0.02268340811,879.2000122,-0.02546015382,879.2000122,-0.02157143503,879.2000122,-0.02177971974,879.2000122,-0.02923639305,879.2000122,-0.02701261826,879.2000122,-0.02843621001,879.2000122,-0.02320640534,879.2000122,-0.03064042516,879.2000122,-0.02967879921,879.2000122,-0.02407040074,879.2000122,-0.02358267084,
878.4000244,0.8826654553,878.4000244,-0.008806289174,878.4000244,-0.0189020969,878.4000244,-0.01223533694,878.4000244,-0.01663923077,878.4000244,-0.02836138383,878.4000244,-0.01867368259,878.4000244,-0.03061118722,878.4000244,-0.03001403995,878.4000244,-0.03577660769,878.4000244,-0.03422133625,878.4000244,-0.02959383652,878.4000244,-0.03583300486,878.4000244,-0.03688684478,878.4000244,-0.04259899631,878.4000244,-0.03287363425,878.4000244,-0.03832925484,878.4000244,-0.03337957337,878.4000244,-0.0370301567,
877.5999756,0.8742378354,877.5999756,-0.006688368972,877.5999756,-0.007215597667,877.5999756,-0.0118969623,877.5999756,-0.01412627846,877.5999756,-0.0177674666,877.5999756,-0.01766900532,877.5999756,-0.02243416198,877.5999756,-0.02751803957,877.5999756,-0.03457704186,877.5999756,-0.0313761197,877.5999756,-0.02683116496,877.5999756,-0.02525445819,877.5999756,-0.019962525,877.5999756,-0.02698770911,877.5999756,-0.03102679364,877.5999756,-0.02730023861,877.5999756,-0.0331986025,877.5999756,-0.02567346208,
