wavelength (nm),DOMBlank1,DOMSTD28,DOM12273,DOM12702,DOM12704,DOM12710,DOM12841,DOM13050,DOMBlank2,DOM13070,DOM13089,DOM13094,DOM13131,DOM13144,DOM13437,DOM13494,DOMBlank3
851.2000122,-0.006798372,-0.011231933,-0.013001896,-0.020584656,-0.023129445,-0.02393681,-0.025925295,-0.029163882,-0.032863602,-0.031508211,-0.032023579,-0.0343628,-0.036300652,-0.03651375,-0.034714807,-0.033825491,-0.035978619
850.4000244,-0.005515147,-0.006613625,-0.013520869,-0.016479358,-0.02077377,-0.023244489,-0.025373921,-0.028667547,-0.028473547,-0.02968494,-0.030153405,-0.034425791,-0.02984534,-0.030158525,-0.030635744,-0.031000569,-0.033037324
849.5999756,-0.006198372,-0.005115368,-0.009519665,-0.016566528,-0.017892037,-0.023135973,-0.025432322,-0.028743533,-0.026060225,-0.030717418,-0.02917671,-0.029535653,-0.030523028,-0.03249054,-0.032023098,-0.032051761,-0.037444513
848.7999878,-0.005464485,-0.011033669,-0.012958231,-0.017656429,-0.015166973,-0.023408512,-0.024965381,-0.026624169,-0.029626286,-0.028321272,-0.027801732,-0.029338945,-0.030541318,-0.031324338,-0.034849711,-0.030020272,-0.032631274
848,-0.001344608,-0.006929543,-0.008538083,-0.01219104,-0.012964061,-0.018601419,-0.026544549,-0.026358075,-0.025636714,-0.029430633,-0.024562376,-0.030393049,-0.029429086,-0.028147789,-0.02891794,-0.027781142,-0.028165549
847.2000122,0.000446996,-0.005357519,-0.010519295,-0.014346127,-0.015328127,-0.022660805,-0.023441965,-0.024864286,-0.027139528,-0.023527846,-0.027100958,-0.027417975,-0.027884182,-0.026766429,-0.02970781,-0.029029911,-0.030726774
846.4000244,-0.005089068,-0.011984048,-0.013819216,-0.021104857,-0.024822483,-0.025938172,-0.031257041,-0.028562268,-0.030928304,-0.034358352,-0.03179441,-0.032934971,-0.034936901,-0.033710245,-0.030458163,-0.038844597,-0.033893876
845.5999756,-0.004767609,-0.010901409,-0.013763846,-0.017979817,-0.016464854,-0.018572252,-0.025092645,-0.03034487,-0.027073864,-0.031295098,-0.029685665,-0.031549763,-0.032875795,-0.031257041,-0.028841743,-0.034859985,-0.03451436
844.7999878,-0.007463451,-0.013092378,-0.015655549,-0.01877608,-0.019282555,-0.022136215,-0.028381607,-0.030788753,-0.031019466,-0.032449175,-0.030940888,-0.030911043,-0.032256283,-0.036396977,-0.033968713,-0.032691397,-0.033588547
844,-0.001934956,-0.00509879,-0.01227233,-0.012983155,-0.014933683,-0.018664904,-0.0250558,-0.024613207,-0.026049158,-0.026369868,-0.024987182,-0.028628433,-0.026849756,-0.030451454,-0.02569874,-0.029484477,-0.032800719
843.2000122,-0.008126802,-0.009161273,-0.013897744,-0.016656768,-0.017637042,-0.021605277,-0.023511859,-0.02686421,-0.029555338,-0.030001624,-0.030065298,-0.031345822,-0.031758994,-0.03169518,-0.030860946,-0.033293173,-0.032628924
842.4000244,-0.001702802,-0.007602002,-0.010808854,-0.01313593,-0.018692527,-0.017444914,-0.02557097,-0.027383221,-0.027470319,-0.026811648,-0.030484661,-0.029581165,-0.030213969,-0.031046748,-0.028729819,-0.028825415,-0.033825058
841.5999756,-0.006598838,-0.007472865,-0.011184911,-0.011720268,-0.015205317,-0.018049056,-0.024865216,-0.029358638,-0.031014163,-0.028991122,-0.031321015,-0.029891737,-0.029451532,-0.031112922,-0.030243523,-0.037553739,-0.033132937
840.7999878,-0.005097818,-0.011683681,-0.015695499,-0.017211253,-0.018749155,-0.019966332,-0.024553521,-0.027008045,-0.029864527,-0.029778393,-0.028403236,-0.029305601,-0.031228568,-0.029342234,-0.030987555,-0.029978381,-0.031905305
840,-0.011808548,-0.011605558,-0.011831926,-0.015971947,-0.017862376,-0.021901373,-0.029890191,-0.030561682,-0.029338703,-0.031129692,-0.031783585,-0.032189321,-0.031832229,-0.03127747,-0.031788107,-0.034445066,-0.033033054
839.2000122,-0.005121713,-0.009899369,-0.011395613,-0.014251448,-0.017924728,-0.021000246,-0.023526963,-0.026246876,-0.028535314,-0.024496714,-0.030485772,-0.027248943,-0.030744236,-0.030679163,-0.029634845,-0.0309473,-0.032449082
838.4000244,-0.006293241,-0.008761946,-0.011426375,-0.017812587,-0.020152407,-0.02123178,-0.025998984,-0.030959979,-0.030411681,-0.030491708,-0.03250673,-0.033134762,-0.034861751,-0.035348102,-0.032565668,-0.030839389,-0.032601882
837.5999756,-0.00488542,-0.010754918,-0.015200868,-0.017179007,-0.020127941,-0.021566655,-0.027555017,-0.029223325,-0.030327924,-0.030235218,-0.035016764,-0.033385806,-0.031640168,-0.033263154,-0.032663595,-0.033201095,-0.033524908
836.7999878,-0.006994197,-0.008325736,-0.012226477,-0.015687309,-0.016512554,-0.022238439,-0.024772068,-0.026918374,-0.029380798,-0.028317537,-0.030341925,-0.033050518,-0.030960847,-0.031388689,-0.030814748,-0.033769548,-0.031249287
836,-0.004849123,-0.010254169,-0.008785894,-0.014249343,-0.014930732,-0.02053592,-0.027258182,-0.026817342,-0.029327232,-0.029448969,-0.030481428,-0.031253669,-0.032946538,-0.034800924,-0.031986691,-0.032579791,-0.033853412
835.2000122,-0.005731069,-0.010254725,-0.01265728,-0.013658253,-0.015576589,-0.020992009,-0.026288006,-0.025010398,-0.027908312,-0.029404702,-0.029726762,-0.033816632,-0.03000341,-0.031913772,-0.032331593,-0.033438392,-0.031722229
834.4000244,-0.005603573,-0.009132276,-0.010532989,-0.018424107,-0.016538171,-0.022311084,-0.026275238,-0.029342912,-0.027745396,-0.02618059,-0.029256867,-0.031540807,-0.033440694,-0.029165093,-0.031151667,-0.032527242,-0.032794382
833.5999756,-0.00264174,-0.009871485,-0.01214966,-0.013179727,-0.018606776,-0.020096207,-0.026095672,-0.028630372,-0.029157734,-0.028145654,-0.029489702,-0.02956003,-0.031435404,-0.028882435,-0.030114716,-0.033575419,-0.031840697
