wavelength (nm),DOMBlank1,DOMSTD16,DOM12101,DOM12117,DOM12126,DOM12146,DOM12172,DOM12206,DOM12210,DOMBlank2,DOM12253,DOM12259,DOM12260,DOM12262,DOM12290,DOM12291,DOM12306,DOM12207,DOM12470,DOMBlank3,DOM12534,DOM13288,DOM13296,DOM13315,DOM13432,DOMBlank4
879.2000122,-0.004814615,-0.002156323,-0.010393804,-0.011692803,-0.019222429,-0.025651013,-0.018368676,-0.019980673,-0.031827368,-0.024624752,-0.030035153,-0.02227469,-0.026755914,-0.025795933,-0.0303916,-0.026084263,-0.037070185,-0.028745325,-0.033247184,-0.031892993,-0.028844746,-0.032230131,-0.031729352,-0.035457045,-0.029304393,-0.026526578
878.4000244,-0.01294592,-0.010227217,-0.02222988,-0.015318931,-0.016201537,-0.022656873,-0.025540998,-0.020850016,-0.033159751,-0.029733771,-0.03279496,-0.029995389,-0.035063189,-0.032633003,-0.034730103,-0.029336089,-0.030899376,-0.030732129,-0.033659656,-0.032358795,-0.033852741,-0.037194282,-0.03654835,-0.036114369,-0.03252998,-0.032664843
877.5999756,-0.003922338,-0.009541443,-0.014494468,-0.018990416,-0.013963023,-0.022805104,-0.022181574,-0.026256574,-0.023797786,-0.021748303,-0.027041223,-0.0309567,-0.023150895,-0.028105523,-0.027341172,-0.025485151,-0.025716014,-0.033194527,-0.030176105,-0.026475143,-0.031363789,-0.027467353,-0.027549867,-0.026742673,-0.031036433,-0.031420138
876.7999878,-0.014431071,-0.011904317,-0.018226122,-0.026001422,-0.019474417,-0.035722774,-0.033471946,-0.024010003,-0.032602988,-0.029272065,-0.032017086,-0.032455757,-0.030721324,-0.031091813,-0.034225497,-0.032775756,-0.03133484,-0.038375277,-0.03718568,-0.037747949,-0.030814217,-0.031369522,-0.039565589,-0.035137776,-0.037264276,-0.033043131
876,-0.00699603,-0.012644709,-0.011722133,-0.018794077,-0.018087493,-0.020534191,-0.023764163,-0.023113344,-0.028642634,-0.027716838,-0.032827459,-0.029815951,-0.02275195,-0.02584335,-0.02761128,-0.029842198,-0.028989621,-0.030049549,-0.032457344,-0.028255934,-0.026329279,-0.036720321,-0.033544749,-0.031796768,-0.030755859,-0.028098973
875.2000122,-0.010168303,-0.008825719,-0.018571112,-0.016759343,-0.01753721,-0.023278544,-0.023378635,-0.027399408,-0.029388541,-0.028517377,-0.024409506,-0.025401169,-0.034760308,-0.029655783,-0.029905077,-0.031120488,-0.030669034,-0.035235554,-0.03014162,-0.028872941,-0.034518469,-0.029885551,-0.033057954,-0.032007277,-0.033359099,-0.035091218
874.4000244,-0.002403785,-0.000536595,-0.008380381,-0.008371139,-0.01471313,-0.011278496,-0.022794738,-0.020785468,-0.023337718,-0.023911869,-0.023643129,-0.02006378,-0.025518544,-0.020859441,-0.022840913,-0.023879481,-0.025777686,-0.031546634,-0.019486891,-0.022860119,-0.021257021,-0.02501763,-0.023802148,-0.026902948,-0.02163621,-0.028332816
873.5999756,-0.007616144,-0.006728081,-0.011793887,-0.011531554,-0.016577391,-0.017855272,-0.021077488,-0.016486885,-0.022908006,-0.023397228,-0.027529119,-0.02576993,-0.027095754,-0.027373839,-0.024505766,-0.028163025,-0.028418463,-0.027193898,-0.025011716,-0.0325258,-0.027742773,-0.025610555,-0.022513803,-0.030098099,-0.024579059,-0.028724343
872.7999878,-0.012773674,-0.011399194,-0.021371529,-0.019009793,-0.020458631,-0.027418023,-0.026106006,-0.028188255,-0.028459389,-0.027145753,-0.031155184,-0.028792713,-0.030137949,-0.036520127,-0.030440643,-0.032800481,-0.037348751,-0.032911215,-0.035311639,-0.034803029,-0.034856163,-0.030730344,-0.034686036,-0.036605746,-0.035280567,-0.037803616
872,0.003685369,-0.00579534,-0.010306449,-0.014956892,-0.013124477,-0.015668983,-0.023042552,-0.020707287,-0.023552954,-0.023726568,-0.02004707,-0.02204681,-0.019325241,-0.02518929,-0.025307063,-0.026100302,-0.024334667,-0.025969433,-0.023668818,-0.024929648,-0.0216568,-0.029785257,-0.026069539,-0.02909223,-0.027258085,-0.032815412
