wavelength (nm),DOMBlank1,DOM11501,DOM12016,DOM12156,DOM12506,DOM12579,DOM12584,DOM12619,DOMBlank2,DOM12784,DOM12811,DOM12864,DOM12897,DOM13187,DOM13195,DOM13239,DOMSTD11,DOMBlank3
876,-0.003226424,-0.003376247,-0.004325214,-0.003941731,-0.001301716,0.000738844,0.002342775,0.004441865,-0.001262073,-0.001761741,0.001334996,-0.002457173,0.003556813,0.005711283,0.002354643,0.001338242,9.20E-05,-0.00428118
875.2000122,-0.009220273,-0.004127771,-0.004395997,-0.00363544,-0.002950378,-0.000611824,-0.00209754,-0.005708537,0.000783524,-0.001321537,-0.006964495,0.000127792,-0.002565679,0.001858337,-0.003065444,0.000918732,0.001281977,0.001200177
874.4000244,-0.002195061,0.004197072,0.002536452,0.001285768,0.004165708,0.003593222,0.00613293,-0.004202586,0.000969372,0.005136129,0.005138984,0.002472586,0.002242847,-0.002945133,0.009017339,0.005259468,0.001661117,-0.001199296
873.5999756,0.001737494,-0.00335837,-0.002730342,0.000129035,-0.00447635,-0.006035172,0.001157687,-0.004658781,-0.005685338,-0.001176269,-0.004772781,-0.002640094,-0.002276904,-0.00442198,-0.000624386,-0.005750382,-0.001011429,-0.002072242
872.7999878,0.004964331,0.003151217,0.001060755,0.005271678,-0.003291785,0.005020237,0.002619103,0.006850916,0.004284379,0.004864688,0.002320758,0.00553501,0.001347538,0.003190853,0.005315752,0.007630075,0.004620101,0.010324212
872,-0.004051713,0.001442871,-0.000261887,-0.003936806,0.001931161,-0.002638962,0.003067996,0.000486411,-0.000962202,-0.000717277,0.002784817,0.000724505,-9.73E-06,-0.0012232,0.000174973,-0.000470507,-0.001697748,0.000123468
871.2000122,0.001154572,-0.00040953,-0.001937121,-0.001481048,-0.001566379,-0.002785542,0.000911054,0.000550892,0.000116244,-0.002268767,-0.00019436,-0.001211687,-0.005081853,-0.001956964,-0.002049467,0.001157453,0.003866456,-0.001635086
870.4000244,0.000306598,-0.001224232,0.001635055,0.005180059,-0.002713004,0.000620127,0.003362707,0.002103168,-0.001359111,0.001650931,-0.00343532,0.000397609,0.002299939,0.002389052,-0.001819745,0.002445694,0.001398694,0.002318962
869.5999756,0.000101511,-0.005859907,-0.006439053,-0.006614492,5.35E-05,-0.001619922,-0.00518858,-0.003351435,-0.000237723,0.000166712,-0.006517907,-0.002555128,-0.006154375,0.003460597,-0.002326343,-0.002870822,-0.00140886,-0.001436777
868.7999878,-0.000358631,-0.002756014,-0.000383357,-0.001349408,-0.001811806,-0.000513378,-0.001310078,-0.002401571,-0.002018034,-0.00166665,-0.002865113,-0.00249959,-0.000933996,0.000485322,-0.001101603,-0.000957036,0.001441624,-0.003632205
868,-0.003938807,-0.005654525,-0.002419385,-0.005330825,-0.004619904,-0.002377938,-0.002639322,-0.001536717,-0.005100428,-0.005011643,-0.003412925,-0.003956917,-0.005158806,-0.000986274,-0.004230221,-0.001576696,-0.001066537,-0.000496313
867.2000122,0.007299442,0.003518841,-0.001197386,0.002587827,0.001989148,0.002389,0.003427773,0.004922282,0.002200644,0.003948368,0.002582228,3.57E-05,0.004908014,0.002030836,0.003966445,-0.002098055,0.002620301,0.001334269
