wavelength (nm),DOMBlank1,DOMSTD9,DOM12030,DOM12040,DOM12051,DOM12054,DOM12087,DOM12118,DOM12292,DOMBlank2,DOM12578,DOM12612,DOM12631,DOM12687,DOM12691,DOM12692,DOM11828,DOM12017,DOM12080,DOMBlank3,DOM12173,DOM12249,DOM12538,DOM12544,DOM12561,DOM12572,DOM12575,DOM12587,DOM12646,DOM12650,DOM12664,DOMBlank4
892,0.000481513,0.010796403,0.013453493,0.00668438,0.018880393,0.010520314,0.020150326,0.011003498,0.004497807,0.002193464,0.003708082,0.015269306,0.02721384,-0.001195063,0.014859299,0.007073872,0.005697513,0.0044489,0.014663155,0.011448203,-0.000937716,0.016439468,0.012058317,0.003943274,0.000560171,0.012330804,0.002386631,0.020620814,0.008832401,0.012448691,0.023858951,0.01651771
891.2000122,-0.008092858,-0.005460344,-0.007867836,-0.003484267,-0.015377801,-0.003336433,0.005518441,-0.000863525,-0.003274007,-0.001458243,-0.000590627,0.011188141,0.004651603,-0.008660002,0.001433858,-0.005140644,-0.008236034,0.002118255,0.004727853,-0.002860639,-0.008032585,-0.000959981,-0.003035113,0.000851706,-0.002942254,-0.008909112,-0.000870914,-0.008707248,0.00201055,-0.008926306,-0.005755593,0.001588832
890.4000244,0.019871317,0.026341781,0.021899011,0.014199368,0.023373744,0.021523282,0.019159956,0.017713273,0.020248793,0.021398528,0.01773355,0.009891301,0.01207008,0.022463255,0.019370647,0.011479857,0.007226319,0.001048585,0.009852216,0.01892652,0.011367999,0.016775791,0.019820837,0.015760006,0.012760236,0.016933996,0.014036085,0.015447618,0.019716615,0.013365737,0.014017505,0.021259945
889.5999756,-0.000935804,-0.001612494,-0.006390897,0.002780545,-0.012043119,0.015769187,0.005078664,-0.000102652,0.006303457,0.004510938,0.003771999,-0.010896361,-0.007989333,0.006029501,-0.009068852,-0.004989841,0.005426167,0.000368125,0.007061295,0.005570327,0.005634729,0.001065841,0.010150773,0.000338332,0.005029245,0.001976458,0.006394657,0.001270814,0.003581503,0.010237245,0.019765079,0.00476724
888.7999878,0.003468895,-0.000135104,0.006856702,0.013999325,0.02715357,0.008049159,0.016361482,0.012097894,0.016942743,0.021047955,0.01623976,0.0051952,0.01654296,0.016246425,0.013666133,0.010968373,0.012972645,0.010198897,0.022296593,0.017594837,0.015527049,0.027916469,0.021414327,0.009839584,0.013084169,0.009360735,0.021851534,0.012111763,0.020718303,0.030720046,0.02510553,0.011078031
888,-0.007976931,-0.009185147,-0.003938653,-0.006517601,-0.008350419,-0.011559181,0.00552025,-0.015595719,-0.007813076,-0.014536778,0.002164924,0.001521288,-0.013412355,-0.009727378,0.000560897,-0.007735117,-0.005338445,0.000517691,-0.009923912,-0.004076999,-0.00630457,-0.006141103,0.000827145,-0.004733146,-0.010051866,-0.013279261,-0.003678769,-0.010628685,0.001334555,-0.005355372,-0.009188138,-0.00578221
887.2000122,0.006600715,0.006941521,0.014748388,0.007278699,0.010071339,0.005297566,0.011426888,-0.003118802,0.010161716,0.007486283,0.007605681,0.003459658,0.007001812,0.008914436,0.005010102,0.00975531,0.012662306,0.014357093,0.018318838,0.003289434,0.021197507,0.005487715,0.016482351,0.016733201,0.007909815,-0.005299781,-0.000320298,0.010697164,0.014608806,0.008048131,0.013503532,0.015055344
886.4000244,0.006612016,0.005638452,0.008540952,0.002041655,0.013336721,0.002971419,0.007372658,0.012648261,0.004061858,0.004189963,0.004377823,0.013177739,0.01419541,0.006876636,0.006014829,0.002204053,0.016598223,0.00262926,0.01756268,-0.000764619,0.006654466,0.005122901,0.013300366,0.002314434,0.002771244,0.014438652,0.006080451,0.000137502,0.00937322,0.012970804,0.007586424,0.014582276
885.5999756,-0.006236241,-0.004878304,0.001509312,-0.002566502,-1.31E-05,-0.008158964,-0.008438727,0.001782095,-0.008735207,-0.005787779,0.002984269,-0.014835929,-0.00208909,0.001465831,-0.006805048,-0.004987128,-0.00384106,-0.000262404,-0.004412243,-0.009996267,-0.007082424,-0.005365445,-0.003233361,-0.007052372,0.003834593,-0.00360448,-0.008195443,-0.00320484,0.004229692,0.008481239,-0.003472506,-0.002481059
884.7999878,-0.018265985,-0.000694845,-0.007291205,-0.000418685,-0.009503608,-0.004897655,-0.004663237,-0.011698649,-0.014447197,-0.014035761,-0.006459609,-0.005679104,-0.017230012,-0.007529602,-0.008743376,-0.008762555,-0.005314511,-0.002395547,-0.001135736,-0.004457647,-0.000424633,-0.004399328,-0.005304896,-0.007736592,-0.00129991,-0.001212668,0.003299789,-0.008951918,0.003783253,0.001773336,-0.003927981,-0.000937612
