wavelength (nm),DOMBlank1,DOMSTD22,DOM11960,DOM12423,DOM12425,DOM12449,DOM12455,DOM12469,DOM12483,DOMBlank2,DOM12497,DOM12535,DOM12577,DOM13165,DOM13287,DOM13311,DOM13435,DOM12152,DOM12717,DOMBlank3,DOM12718,DOM12838,DOM12840,DOM12982,DOM12995,DOM13009,DOM13016,DOM13020,DOM13021,DOMBlank4,DOM13022,DOM13043,DOM13052,DOM13056,DOM13060,DOM13061,DOM13067,DOM13145,DOM13146,DOM13452,DOMBlank5
884,-0.014455109,-0.017629089,-0.016232859,-0.020980859,-0.031515963,-0.02318643,-0.038985986,-0.045544103,-0.034531765,-0.041296575,-0.037612185,-0.032182399,-0.039861031,-0.042009283,-0.032732405,-0.025200233,-0.042134002,-0.040973376,-0.035850644,-0.044837222,-0.040736344,-0.043559585,-0.042050499,-0.033926293,-0.044102531,-0.039264888,-0.034125004,-0.038184807,-0.043301936,-0.044134337,-0.037305232,-0.050074607,-0.043534856,-0.039587189,-0.042600736,-0.04703122,-0.036939394,-0.037897334,-0.041981835,-0.04413588,-0.039322209
883.2000122,-0.009507103,-0.004245961,-0.028128186,-0.019370599,-0.031727955,-0.026853699,-0.021670984,-0.030042835,-0.026956327,-0.031100102,-0.027468957,-0.023111675,-0.038116857,-0.019780526,-0.03096856,-0.036207259,-0.032477763,-0.026493408,-0.032255225,-0.035051964,-0.025924467,-0.035297606,-0.040427912,-0.028964825,-0.029983165,-0.03839428,-0.040336724,-0.049091857,-0.031003365,-0.019592462,-0.036354173,-0.043783519,-0.03273946,-0.042602565,-0.034918033,-0.03769365,-0.036578,-0.049076416,-0.038389683,-0.033625446,-0.02857618
882.4000244,0.004684493,-0.009449205,-0.014835578,-0.013609435,-0.021883061,-0.019817377,-0.01827894,-0.021111418,-0.014134998,-0.026473487,-0.020235036,-0.025500188,-0.033213805,-0.026338587,-0.031951051,-0.035783567,-0.036001969,-0.029706214,-0.038032483,-0.022346884,-0.034334961,-0.030160457,-0.025704693,-0.028785735,-0.038278013,-0.029163495,-0.030922759,-0.025113804,-0.028207906,-0.031161545,-0.035527989,-0.035960939,-0.027484072,-0.022574114,-0.034429908,-0.026371669,-0.023329917,-0.026836276,-0.033971012,-0.02880284,-0.024140975
881.5999756,-0.013722916,-0.004637679,-0.022183936,-0.012076756,-0.015968453,-0.032899696,-0.018560298,-0.022432392,-0.030902028,-0.016898198,-0.038250756,-0.025350969,-0.02706681,-0.0302385,-0.030003361,-0.035438582,-0.021998435,-0.030919096,-0.028427336,-0.033402823,-0.037932772,-0.031856671,-0.039344624,-0.042332795,-0.038758852,-0.036000874,-0.036650807,-0.025622366,-0.040559921,-0.037661605,-0.033186227,-0.03128171,-0.043223158,-0.027351188,-0.044835683,-0.042884268,-0.035992723,-0.029395411,-0.027782258,-0.035697836,-0.035296272
880.7999878,-0.001986546,0.001305474,-0.011678389,-0.014694362,-0.011017265,-0.009983214,-0.026593151,-0.018244242,-0.016750826,-0.034064554,-0.028961774,-0.019455753,-0.029873131,-0.033604506,-0.026498767,-0.035584182,-0.033976041,-0.032321695,-0.028472673,-0.032092202,-0.033432305,-0.028531484,-0.029760797,-0.034602474,-0.040923011,-0.033613563,-0.034180854,-0.038751181,-0.034072451,-0.03409332,-0.027514881,-0.035430469,-0.039268814,-0.031995397,-0.03148279,-0.030432196,-0.031691186,-0.035416439,-0.021787252,-0.035706323,-0.036272127
880,-0.004569753,-0.006501076,-0.017043429,-0.010370146,-0.026961679,-0.023917995,-0.017060304,-0.029977996,-0.03661764,-0.029655492,-0.028140754,-0.025810082,-0.03652427,-0.033987049,-0.039695453,-0.024758521,-0.034163911,-0.034159988,-0.039637048,-0.037879445,-0.032668445,-0.029336089,-0.033148479,-0.036126804,-0.035701457,-0.034413643,-0.034747738,-0.032693461,-0.035295222,-0.032553229,-0.045730114,-0.037651211,-0.036085829,-0.034501832,-0.032414824,-0.034503121,-0.039999396,-0.039775532,-0.038715616,-0.036561724,-0.035778038
879.2000122,0.005894634,-0.001992061,-0.007790346,-0.007248999,-0.014939285,-0.015215565,-0.021774055,-0.00925342,-0.028653733,-0.023113588,-0.024951695,-0.030976998,-0.021752931,-0.035430852,-0.035697404,-0.026233815,-0.041307639,-0.029313635,-0.03125627,-0.036159195,-0.026519807,-0.032601547,-0.029276129,-0.029693546,-0.031970292,-0.031567477,-0.03010211,-0.036943339,-0.035023645,-0.036188539,-0.037504874,-0.034683835,-0.035633978,-0.033208676,-0.029246945,-0.029756833,-0.032188024,-0.033306792,-0.028924819,-0.0422079,-0.037443276
878.4000244,-0.007973576,-0.005403694,-0.011455723,-0.013567186,-0.019367034,-0.018224781,-0.023007495,-0.032789201,-0.026330156,-0.021524582,-0.033119649,-0.030394981,-0.029215628,-0.02800273,-0.03438241,-0.026315393,-0.033867348,-0.032785695,-0.027937926,-0.033090964,-0.037726019,-0.022795672,-0.031007223,-0.029980846,-0.04074968,-0.032381427,-0.038932078,-0.043865517,-0.036563627,-0.025355218,-0.043000855,-0.030322373,-0.031459,-0.035678618,-0.026065735,-0.030151619,-0.041831546,-0.033716425,-0.034480885,-0.036345843,-0.025297441
877.5999756,0.000957022,0.002894147,-0.006652528,-0.012427367,-0.020253221,-0.008855294,-0.02238878,-0.015969252,-0.023803178,-0.014393159,-0.027369611,-0.016737675,-0.026598215,-0.029547406,-0.022859873,-0.027960597,-0.027021522,-0.028836027,-0.020269083,-0.019764004,-0.028602114,-0.024634877,-0.021795426,-0.02331505,-0.033202007,-0.02585862,-0.029308263,-0.036383409,-0.032663785,-0.032512303,-0.026907424,-0.033392612,-0.029881395,-0.037087724,-0.032640591,-0.027528681,-0.028001273,-0.026645936,-0.033441029,-0.031353481,-0.027751759
876.7999878,0.001970815,0.002241234,-0.018225178,-0.018438399,-0.015318432,-0.02559479,-0.020637829,-0.020060122,-0.027135393,-0.025204092,-0.023190307,-0.029148923,-0.036520697,-0.021970972,-0.029956685,-0.035045136,-0.031832997,-0.027791096,-0.031967647,-0.038364422,-0.03215985,-0.032386474,-0.034648176,-0.037322719,-0.036286939,-0.035371009,-0.032991309,-0.027694058,-0.038856149,-0.037602596,-0.029942673,-0.03707023,-0.033917721,-0.030568147,-0.033222437,-0.035028897,-0.03122722,-0.032085903,-0.037718236,-0.0352493,-0.032783486
876,-0.002357496,-0.006651967,-0.013797851,-0.015974093,-0.01024259,-0.022171145,-0.024866143,-0.024959467,-0.020934783,-0.027807996,-0.0246203,-0.023089387,-0.024502341,-0.03116063,-0.01914466,-0.027345888,-0.029091746,-0.026477821,-0.030090902,-0.026101764,-0.026310422,-0.030885682,-0.027515512,-0.02976389,-0.029394783,-0.038779356,-0.033525098,-0.031429287,-0.033523999,-0.035981715,-0.034821857,-0.035009552,-0.028725458,-0.031826552,-0.026246388,-0.022653285,-0.027069535,-0.034356724,-0.034596212,-0.030860126,-0.033029649
875.2000122,0.006243999,-0.007839618,-0.010385109,-0.017622676,-0.015285395,-0.019846955,-0.028301822,-0.025792615,-0.021006659,-0.020731028,-0.027190058,-0.027352547,-0.026628407,-0.023019329,-0.028140267,-0.032902434,-0.021233555,-0.030650314,-0.018416317,-0.039395597,-0.024144208,-0.031803504,-0.03330823,-0.036061388,-0.029717961,-0.036006592,-0.030260038,-0.032075997,-0.031915359,-0.028123625,-0.02915938,-0.033307798,-0.027898552,-0.027020937,-0.034358688,-0.024553422,-0.031501424,-0.035395063,-0.033978384,-0.031091476,-0.028978433
874.4000244,-0.007571273,-0.01073416,-0.016258743,-0.020682901,-0.020552462,-0.029062258,-0.024304612,-0.026458142,-0.025975479,-0.025676927,-0.031349771,-0.033624295,-0.033451337,-0.028849591,-0.032492749,-0.032524023,-0.031058749,-0.035361562,-0.035817131,-0.038863201,-0.036429446,-0.038472421,-0.03216682,-0.035693638,-0.038752742,-0.0345583,-0.030735794,-0.030474912,-0.041760873,-0.034104135,-0.040604621,-0.040106662,-0.034494132,-0.039598059,-0.032828275,-0.036760706,-0.039488781,-0.041948605,-0.032318041,-0.040695943,-0.038884174
