wavelength (nm),DOMBlank1,DOMSTD8,DOM12503,DOM12508,DOM12809,DOM12810,DOM12816,DOM12438,DOM12539,DOMBlank2,DOM12540,DOM13194,DOM13234,DOM11565,DOM11773,DOM11783,DOM11846,DOM11985,DOM12192,DOMBlank3,DOM12234,DOM12543,DOM12761,DOM12813,DOM12818,DOM12820,DOM12821,DOM12849,DOMBlank4
877.5999756,0.001380178,0.002829291,-0.003475999,0.004210533,-0.004918131,0.001996169,-0.003008532,0.001374517,0.002087171,-0.001777622,0.000778,-0.002485228,-0.007664063,-0.000951405,-0.00505898,-0.001984279,-0.007214579,-0.001181742,-0.002568098,-0.001640553,-0.003547844,-0.006126708,7.95E-05,-0.002987863,0.001836916,0.003594841,-0.002910062,0.002529448,-0.001982527
876.7999878,0.008705772,0.005292876,-0.002462166,0.00288276,0.002953357,-0.001015716,0.003672342,-0.00336659,0.001702618,-0.001144256,0.000413181,0.002019444,-0.003742779,0.000113369,-0.000410978,-0.002600006,0.000280902,-0.001610225,0.004449475,-0.005292212,0.001262142,0.003525522,-0.001586961,-0.00287504,0.004002915,0.001029981,-0.000369598,0.002172624,0.001794572
876,-0.000935494,0.004975407,-0.003169378,-0.00319857,0.003640546,0.000255855,-0.00237732,5.54E-05,-0.003708131,-0.004772525,-0.003005499,-0.002491251,-0.004116181,-0.003240504,-0.01023015,-0.004870113,0.00468554,0.000152495,-0.005594016,-0.004934306,-0.00329569,-0.002413207,-0.01063394,-0.007328419,-0.007903882,-0.002363727,-0.002810798,-0.003176163,-0.006920269
875.2000122,0.001921385,0.00669663,-0.000279427,0.003690668,0.003163864,0.004900527,0.002852194,0.001859663,-0.003787535,-0.000887964,0.005791603,0.002157015,0.002183083,-0.002542003,-0.002654039,0.002401364,0.000373255,0.00087518,0.006841292,0.003908271,0.003185924,5.39E-05,0.005523684,0.004259466,0.004604273,-0.003033622,0.008476514,0.00295208,0.004620101
874.4000244,-0.003391196,0.000787881,0.005536845,0.005439587,0.00320277,0.006146792,0.004174228,0.004525873,0.005255905,0.003713356,0.002617697,0.004731909,0.007254535,0.00406144,0.002133134,0.001452766,0.001822151,0.004388779,0.001832393,0.003579102,0.005225303,0.004064863,0.004384203,0.003516466,0.00025702,0.003512499,0.004609244,0.001495026,0.00475172
873.5999756,0.007085054,0.008879057,-0.000383099,0.005229206,0.004122586,0.003571924,-0.001120038,0.007780319,0.003854755,0.001959191,0.003827986,0.004645559,0.004795323,0.00619106,0.004505157,0.002442102,0.001457104,0.004990097,0.005470073,0.006017164,0.000504733,-3.83E-06,0.000618675,0.006697182,0.006164226,0.004563986,0.00904916,-0.00070911,0.000996146
872.7999878,0.001633626,0.003704009,0.006653072,0.001046743,0.003959836,0.003170383,0.00027194,-0.001892535,-0.003904175,-0.0007241,0.002304571,0.001773985,0.000431371,-0.00276692,-0.001532383,0.00371286,-0.000761053,-0.000973102,-0.000578425,0.000697799,0.000583318,0.002566188,0.005723768,5.31E-06,0.004215682,0.003135234,0.003916238,0.007007284,0.002379499
872,-0.001279417,0.007209053,0.004135392,0.002973165,0.000774655,0.004869243,0.000811143,-0.002959737,0.003270733,0.000880212,0.001673694,5.12E-05,0.004542666,0.003668556,-0.001945986,0.000248292,0.000729872,-0.000644186,0.004410013,0.004288379,0.006306478,-0.002884245,0.003908245,0.000728317,0.006735196,0.000639958,0.002724796,0.000368799,0.006912589
871.2000122,0.005562015,0.006425236,0.004566262,-0.001675882,0.000245624,0.003638693,0.002215943,0.000667672,-0.005843,0.003364846,-0.000651682,0.001519885,0.002408131,0.003115888,-0.00197088,0.004246343,0.001397474,0.001778586,0.003201362,0.00373889,0.003013071,0.003558875,-0.001395649,0.002078562,0.004179377,-0.00056431,-0.000571393,0.004890735,0.005201829
870.4000244,0.004877463,0.00689118,0.005257424,0.008395142,0.003314292,0.008492827,0.004797548,0.00881029,0.004257793,0.005260961,0.004276353,0.000542702,0.001030681,0.005322513,0.000659765,0.002377469,0.004948726,0.001786332,0.004539292,0.005823661,0.007447728,0.006347295,0.004270629,0.007909209,-0.001283547,0.005566892,0.007007415,0.010627205,0.001970347
869.5999756,-0.000875512,0.010262133,0.005752202,0.003247521,0.00386844,-0.000540008,0.002915099,0.000193644,-0.002336951,0.0004457,-0.003063439,0.005000676,0.003662578,0.001479311,0.002063996,0.005143726,-0.002172138,0.001805515,0.003277306,0.002069718,0.00314097,0.0069416,0.002086677,-0.001222684,0.003528444,0.002911477,0.001402538,0.005285329,0.005012904
