wavelength (nm),DOMBlank1,DOMSTD26,DOM12168,DOM12277,DOM12700,DOM12719,DOM12727,DOM12735,DOM12765,DOMBlank2,DOM13017,DOM13156,DOM13157,DOM13196,DOM13458,DOM13466,DOM13129,DOM13257,DOMBlank3,DOM13258,DOM13259,DOM13309,DOM13369,DOM13395,DOM13473,DOM13475,DOM13514,DOM13515,DOMBlank4,DOM13521,DOM13525,DOM13529,DOM13594,DOM13595,DOM13601,DOMBlank5
890.4000244,0.018349161,-0.010566643,-0.007291918,-0.024053061,-0.012034912,-0.021725601,-0.030145533,-0.014769279,-0.02727977,-0.035458241,-0.0419259,-0.021009175,-0.030829119,-0.035497364,-0.025841204,-0.013213979,-0.022764428,-0.040351253,-0.027873695,-0.042674087,-0.026845474,-0.025672682,-0.019898241,-0.037156977,-0.020032931,-0.019639127,-0.027803723,-0.00330946,-0.037936237,-0.030623827,-0.046220649,-0.029214419,-0.026574889,-0.0353272,-0.028022971,-0.030566748
889.5999756,-0.019722547,-0.017072847,-0.010295022,-0.009586719,0.001934411,-0.036433253,-0.028867031,-0.01800197,-0.044413086,-0.009584795,-0.022593772,-0.057673749,-0.031742826,-0.054756135,-0.040123794,-0.043581545,-0.029827697,-0.021257712,-0.034602094,-0.052993216,-0.042302925,-0.019240657,-0.035290543,-0.061635513,-0.042138465,-0.03316709,-0.025646281,-0.034182623,-0.034480885,-0.035835676,-0.041245166,-0.028383983,-0.029567042,-0.035697501,-0.03629889,-0.033589315
888.7999878,0.011433878,0.005878392,0.012955922,-0.008028418,0.005257188,-0.01898323,0.001968631,-0.015118975,-0.01902228,-0.020331483,-0.01007463,-0.025229251,-0.023680437,-0.022509379,-0.020191796,-0.014653319,-0.0137181,-0.009964949,-0.003359706,-0.026443042,-0.014076712,-0.024640111,-0.022266082,-0.017999884,-0.003127798,-0.022259884,-0.019762669,-0.024793779,0.004777369,-0.020980662,-0.023030866,-0.007247217,-0.023400074,-0.019504117,-0.01238294,-0.017064534
888,-0.001963149,0.001486792,0.005612098,0.003764609,-0.019668123,-0.011451487,-0.008864272,-0.016388284,-0.032999661,-0.016669473,-0.027385263,-0.005928448,-0.028376466,-0.022946605,-0.033468015,-0.023241937,-0.034184538,-0.020799484,-0.029306909,-0.019298501,-0.024177115,-0.018180944,-0.019729078,-0.018897487,-0.027531305,-0.028321272,-0.006565845,-0.022678101,-0.030374078,-0.01102948,-0.002839037,-0.016490724,-0.029530285,-0.019184537,-0.024166783,-0.01950857
887.2000122,0.001503572,0.006590912,-0.019907044,-0.025921296,-0.025579561,-0.025267744,-0.037151795,-0.030864561,-0.023134893,-0.02861462,-0.02868543,-0.029852156,-0.042747382,-0.040342245,-0.039439235,-0.025420116,-0.02959461,-0.031454042,-0.031807739,-0.031484377,-0.035035584,-0.02617942,-0.030783255,-0.047697153,-0.030643174,-0.024904424,-0.037015941,-0.046469174,-0.042981818,-0.040303271,-0.034512926,-0.039337058,-0.040183079,-0.053573474,-0.021320907,-0.046119031
886.4000244,0.000951834,0.005303646,-0.009714975,-0.011919076,-0.01765101,-0.008553262,-0.01407586,-0.010292595,-0.018745884,-0.023758281,-0.025516689,-0.022560941,-0.024869272,-0.026097378,-0.033959858,-0.030069742,-0.016404087,-0.028216202,-0.024462802,-0.038171958,-0.040091459,-0.019985963,-0.033184022,-0.017170846,-0.02582979,-0.036444299,-0.022591069,-0.022649994,-0.03864453,-0.023070486,-0.02752251,-0.03150171,-0.038089305,-0.027959285,-0.035845257,-0.028068738
885.5999756,0.001351329,-0.003920901,-0.009391249,-0.016777873,-0.003866461,-0.016852383,-0.024535712,-0.026186878,-0.02604989,-0.033763129,-0.021495268,-0.035713714,-0.024393454,-0.028016077,-0.027528778,-0.027465653,-0.03773969,-0.034063689,-0.026388722,-0.025326893,-0.024430454,-0.02425771,-0.029689677,-0.035307009,-0.026488343,-0.027675357,-0.036398407,-0.027290903,-0.027729709,-0.023452658,-0.031608734,-0.035513487,-0.033990018,-0.033172175,-0.026292685,-0.021980274
884.7999878,-0.003551028,-0.009580085,-0.013774429,-0.018701008,-0.018648438,-0.0191024,-0.023687987,-0.020121565,-0.026677437,-0.032012664,-0.029695287,-0.016291903,-0.02364352,-0.029992539,-0.019002657,-0.031470895,-0.031140631,-0.018810388,-0.021081876,-0.02387899,-0.036292177,-0.032465462,-0.028762043,-0.032272961,-0.019832315,-0.021608578,-0.034145486,-0.034495041,-0.032654326,-0.030348346,-0.040394139,-0.023632146,-0.021467082,-0.030828057,-0.032862786,-0.031377755
884,0.017249396,0.011187025,0.002750716,-0.006901059,-0.01085728,-0.01344433,-0.006318653,-0.008381753,-0.019075498,-0.006899123,-0.016999222,-0.018808356,-0.017670846,-0.018297454,0.003946539,-0.008337469,-0.024017302,-0.018287428,-0.018107357,-0.027206834,-0.021065896,-0.027159274,-0.007287642,-0.018366145,-0.015126524,-0.022254325,-0.023038624,-0.02142835,-0.021216348,-0.024947833,-0.017448446,-0.027966082,-0.02045873,-0.019023271,-0.021758003,-0.020857418
883.2000122,-0.007111405,-0.009521082,-0.015811481,-0.020486882,-0.023733772,-0.030600283,-0.024312297,-0.035019964,-0.03801427,-0.02514312,-0.032158889,-0.026797337,-0.023089878,-0.033259895,-0.026253454,-0.035951026,-0.033087846,-0.04459019,-0.032209128,-0.027144585,-0.035645138,-0.048120182,-0.03890216,-0.031124536,-0.035381462,-0.038970698,-0.032279737,-0.036424208,-0.032446247,-0.046572387,-0.03371815,-0.039410964,-0.033009209,-0.035123691,-0.037700485,-0.0395982
