,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3
wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
804,-0.004519083,804,-0.005383241,804,-0.009919611
803.2000122,-0.009775976,803.2000122,-0.009623179,803.2000122,-0.01353211
802.4000244,-0.005821699,802.4000244,-0.008852047,802.4000244,-0.013059574
801.5999756,-0.006256143,801.5999756,-0.006787515,801.5999756,-0.012605484
800.7999878,-0.003919208,800.7999878,-0.008526408,800.7999878,-0.009353908
800,-0.002850095,800,-0.006598328,800,-0.00985038
799.2000122,-0.004574978,799.2000122,-0.006796384,799.2000122,-0.009271816
798.4000244,-0.005325967,798.4000244,-0.008960591,798.4000244,-0.007911762
797.5999756,-0.003819815,797.5999756,-0.008887352,797.5999756,-0.008684057
796.7999878,-0.004989482,796.7999878,-0.007137175,796.7999878,-0.009871586
796,-0.004902774,796,-0.008732111,796,-0.010371612
795.2000122,-0.001961603,795.2000122,-0.005680382,795.2000122,-0.009071337
794.4000244,-0.003824228,794.4000244,-0.00773288,794.4000244,-0.009697053
793.5999756,-0.004336901,793.5999756,-0.007451746,793.5999756,-0.008969922
792.7999878,-0.003831977,792.7999878,-0.008103072,792.7999878,-0.010946039
792,-0.00374165,792,-0.007056752,792,-0.010411394
791.2000122,-0.003251398,791.2000122,-0.003330987,791.2000122,-0.009379596
790.4000244,-0.005845656,790.4000244,-0.0080737,790.4000244,-0.010917515
789.5999756,-0.006230066,789.5999756,-0.006419974,789.5999756,-0.011089186
788.7999878,-0.006254561,788.7999878,-0.009578059,788.7999878,-0.01120262
788,-0.004154694,788,-0.005111633,788,-0.009627939
787.2000122,-0.004371549,787.2000122,-0.005125243,787.2000122,-0.010620905
786.4000244,-0.002614724,786.4000244,-0.00451647,786.4000244,-0.008297751
785.5999756,-0.002857913,785.5999756,-0.005116903,785.5999756,-0.008890598
784.7999878,-0.004427669,784.7999878,-0.007190035,784.7999878,-0.010616156
784,-0.002903531,784,-0.00606361,784,-0.008623918
783.2000122,-0.004687822,783.2000122,-0.007436733,783.2000122,-0.00889283
782.4000244,-0.002716965,782.4000244,-0.006647787,782.4000244,-0.011031499
781.5999756,-0.004676247,781.5999756,-0.006766872,781.5999756,-0.009807156
780.7999878,-0.005170675,780.7999878,-0.006243946,780.7999878,-0.012517366
780,-0.002313108,780,-0.005219273,780,-0.006877823
779.2000122,-0.002965085,779.2000122,-0.006312785,779.2000122,-0.008635032
778.4000244,-0.005385593,778.4000244,-0.006370184,778.4000244,-0.010015138
777.5999756,-0.005166736,777.5999756,-0.006175047,777.5999756,-0.00995154
776.7999878,-0.007042184,776.7999878,-0.006298038,776.7999878,-0.008895468
776,-0.006730987,776,-0.008246651,776,-0.008278145
775.2000122,-0.003664754,775.2000122,-0.007729676,775.2000122,-0.009616242
774.4000244,-0.004745846,774.4000244,-0.0076721,774.4000244,-0.0108034
773.5999756,-0.003441689,773.5999756,-0.007218958,773.5999756,-0.00866736
772.7999878,-0.003368285,772.7999878,-0.005015226,772.7999878,-0.007580583
772,-0.003055934,772,-0.007192378,772,-0.007948059
771.2000122,-0.002930684,771.2000122,-0.004974742,771.2000122,-0.007506959
770.4000244,-0.002950121,770.4000244,-0.006389519,770.4000244,-0.007959242
769.5999756,-0.005757688,769.5999756,-0.006414108,769.5999756,-0.009881556
768.7999878,-0.005723303,768.7999878,-0.006669811,768.7999878,-0.009031991
768,-0.004792085,768,-0.006330388,768,-0.009535213
767.2000122,-0.005336552,767.2000122,-0.006674655,767.2000122,-0.009843902
766.4000244,-0.003720759,766.4000244,-0.007576666,766.4000244,-0.009373313
765.5999756,-0.005298043,765.5999756,-0.007098367,765.5999756,-0.01225557
764.7999878,-0.00637901,764.7999878,-0.006981358,764.7999878,-0.011226232
764,-0.006779921,764,-0.009023015,764,-0.01041008
763.2000122,-0.005547299,763.2000122,-0.006790828,763.2000122,-0.009309012
762.4000244,-0.002626663,762.4000244,-0.006509543,762.4000244,-0.007957818
761.5999756,-0.004414549,761.5999756,-0.008728661,761.5999756,-0.010183273
760.7999878,-0.004375548,760.7999878,-0.008612548,760.7999878,-0.011060217
760,-0.004644849,760,-0.007448082,760,-0.010462037
