Baseline 100%T,,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3,,Sample 4 Rack 1 Tube 4,,Sample 5 Rack 1 Tube 5,,Sample 6 Rack 1 Tube 6,,Sample 7 Rack 1 Tube 7,,Sample 8 Rack 1 Tube 8,,Sample 9 Rack 1 Tube 9,,Sample 10 Rack 1 Tube 10,,Sample 11 Rack 1 Tube 11,,Sample 12 Rack 1 Tube 12,,Sample 13 Rack 1 Tube 13,,Sample 14 Rack 1 Tube 14,,Sample 15 Rack 1 Tube 15,,Sample 16 Rack 1 Tube 16,,Sample 17 Rack 1 Tube 17,,Sample 18 Rack 1 Tube 18,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
884.7999878,0.7161150575,884.7999878,-0.01322964765,884.7999878,-0.01072723977,884.7999878,-0.01869604737,884.7999878,-0.01528554503,884.7999878,-0.02913512662,884.7999878,-0.02113918029,884.7999878,-0.02569966763,884.7999878,-0.02570728026,884.7999878,-0.02840609662,884.7999878,-0.03260779008,884.7999878,-0.02835905552,884.7999878,-0.03026679717,884.7999878,-0.03019498847,884.7999878,-0.02972444147,884.7999878,-0.02638472617,884.7999878,-0.02237073332,884.7999878,-0.0206777174,884.7999878,-0.03313605487,
884,0.7143387198,884,-0.01441895217,884,-0.01359558664,884,-0.01890621148,884,-0.03097005561,884,-0.02960302494,884,-0.01839408651,884,-0.02735001966,884,-0.02429775707,884,-0.02429384179,884,-0.02849638276,884,-0.02863541245,884,-0.02024916932,884,-0.03053359687,884,-0.02286527678,884,-0.0415199399,884,-0.01852284372,884,-0.02512704581,884,-0.02108246833,
883.2000122,0.7145425081,883.2000122,-0.008671928197,883.2000122,-0.009085178375,883.2000122,-0.01820159703,883.2000122,-0.01783151925,883.2000122,-0.01732897013,883.2000122,-0.01970814914,883.2000122,-0.01927205548,883.2000122,-0.0151254246,883.2000122,-0.0163129475,883.2000122,-0.02387080714,883.2000122,-0.03240780905,883.2000122,-0.02272610739,883.2000122,-0.0282480251,883.2000122,-0.02947954275,883.2000122,-0.02768720873,883.2000122,-0.01632760651,883.2000122,-0.02747780271,883.2000122,-0.0283733625,
882.4000244,0.7039843202,882.4000244,0.005041160621,882.4000244,-0.00347029767,882.4000244,-0.007395405788,882.4000244,-0.002291376004,882.4000244,-0.007472407073,882.4000244,-0.01216843817,882.4000244,-0.01467223931,882.4000244,-0.02081038989,882.4000244,-0.01331249997,882.4000244,-0.01401415654,882.4000244,-0.01444869954,882.4000244,-0.01434467547,882.4000244,-0.01649466157,882.4000244,-0.01585201547,882.4000244,-0.01072516851,882.4000244,-0.01608740725,882.4000244,-0.01773158275,882.4000244,-0.009132174775,
881.5999756,0.7139122486,881.5999756,-0.006728386972,881.5999756,-0.01004255842,881.5999756,-0.01788269728,881.5999756,-0.01430830825,881.5999756,-0.01816997118,881.5999756,-0.01801692136,881.5999756,-0.02647957578,881.5999756,-0.02927608043,881.5999756,-0.02284287848,881.5999756,-0.02260419168,881.5999756,-0.02660045587,881.5999756,-0.0266108755,881.5999756,-0.0205474738,881.5999756,-0.02612087503,881.5999756,-0.02917303145,881.5999756,-0.02257121354,881.5999756,-0.01976281591,881.5999756,-0.02346291021,
880.7999878,0.7109612226,880.7999878,-0.001123704482,880.7999878,-0.008307401091,880.7999878,-0.007691428065,880.7999878,-0.01436921861,880.7999878,-0.01242812257,880.7999878,-0.01605173387,880.7999878,-0.01439386047,880.7999878,-0.01585575938,880.7999878,-0.0150611205,880.7999878,-0.02066034079,880.7999878,-0.01558567956,880.7999878,-0.01235103793,880.7999878,-0.02263077907,880.7999878,-0.01674474776,880.7999878,-0.02202156559,880.7999878,-0.02060494758,880.7999878,-0.03213754296,880.7999878,-0.02010223828,
880,0.7180262804,880,-0.008642695844,880,-0.01577114314,880,-0.01564566232,880,-0.01641814597,880,-0.0211815387,880,-0.02126244456,880,-0.01913500018,880,-0.02016268671,880,-0.02450410277,880,-0.01848007739,880,-0.0256799534,880,-0.02639607899,880,-0.0236820057,880,-0.02967976592,880,-0.03056042641,880,-0.02685944177,880,-0.02828106098,880,-0.02610317804,
879.2000122,0.7134104967,879.2000122,-0.001833097776,879.2000122,-0.009778860956,879.2000122,-0.01481171232,879.2000122,-0.01686617732,879.2000122,-0.01691149361,879.2000122,-0.008282868192,879.2000122,-0.02093132958,879.2000122,-0.01774689183,879.2000122,-0.02311756462,879.2000122,-0.02091282792,879.2000122,-0.02002586238,879.2000122,-0.02135496773,879.2000122,-0.0258449614,879.2000122,-0.01900136843,879.2000122,-0.02044327185,879.2000122,-0.01999708638,879.2000122,-0.02614407986,879.2000122,-0.02277896926,
878.4000244,0.7137286067,878.4000244,-0.001436003018,878.4000244,-0.0125537822,878.4000244,-0.01561294962,878.4000244,-0.0134320315,878.4000244,-0.009904277511,878.4000244,-0.01625799388,878.4000244,-0.01542282198,878.4000244,-0.02089871652,878.4000244,-0.02254359052,878.4000244,-0.02103181556,878.4000244,-0.02624575421,878.4000244,-0.02741719596,878.4000244,-0.02602073178,878.4000244,-0.02245594189,878.4000244,-0.02138872817,878.4000244,-0.01674973033,878.4000244,-0.02287328243,878.4000244,-0.02198716439,
877.5999756,0.7212327719,877.5999756,-0.01388124749,877.5999756,-0.01666593552,877.5999756,-0.01365995873,877.5999756,-0.01667654701,877.5999756,-0.02686571889,877.5999756,-0.02487665601,877.5999756,-0.02501533367,877.5999756,-0.02741870284,877.5999756,-0.02440784313,877.5999756,-0.02976186015,877.5999756,-0.03513281047,877.5999756,-0.02348429523,877.5999756,-0.03053808399,877.5999756,-0.03232866153,877.5999756,-0.03608330712,877.5999756,-0.02707298845,877.5999756,-0.02606953867,877.5999756,-0.03001041524,
