wavelength (nm),DOMBlank1,DOMSTD19,DOM11943,DOM12001,DOM12473,DOM12598,DOM12603,DOM12614,DOM12693,DOMBlank2,DOM12695,DOM12763,DOM12851,DOM12903,DOM12909,DOM13428,DOM13430,DOMBlank3
872.7999878,-0.005575411,-0.010831679,-0.017788785,-0.015551465,-0.022151811,-0.022509379,-0.017127996,-0.021138836,-0.028810155,-0.024457419,-0.025399022,-0.021781541,-0.026059641,-0.026558964,-0.022036035,-0.022528648,-0.022071119,-0.022239866
872,-0.007043661,-0.011684235,-0.018210286,-0.01273441,-0.021572025,-0.023824006,-0.023710832,-0.027904039,-0.02176539,-0.025491204,-0.029872552,-0.025703181,-0.02598962,-0.027338596,-0.025553543,-0.024989087,-0.030750651,-0.026986834
871.2000122,-0.005823743,-0.0060004,-0.009814344,-0.016427567,-0.012907728,-0.015917052,-0.01932559,-0.023767104,-0.019362826,-0.017910469,-0.02194272,-0.022759123,-0.025581172,-0.02405889,-0.02200882,-0.027021278,-0.025425926,-0.023299839
870.4000244,-0.007129383,-0.008743579,-0.012975869,-0.016740166,-0.01882075,-0.019701421,-0.016539069,-0.021637246,-0.020366412,-0.023279378,-0.02062371,-0.025545245,-0.027559245,-0.03170168,-0.029980266,-0.029428262,-0.023236146,-0.025663506
869.5999756,-0.004189664,-0.013432533,-0.013477757,-0.01983548,-0.019052902,-0.016579783,-0.022951419,-0.024120014,-0.016660206,-0.024245225,-0.02184668,-0.024569031,-0.02388786,-0.027729902,-0.022579078,-0.026411571,-0.024538795,-0.030052545
868.7999878,-0.00361136,-0.009953311,-0.015938561,-0.016027236,-0.02240707,-0.018789565,-0.022898085,-0.02317897,-0.022227027,-0.026133453,-0.02608397,-0.026675344,-0.023723871,-0.028732,-0.028528865,-0.028824011,-0.028860878,-0.026855353
868,-0.007476326,-0.008039294,-0.01045471,-0.015736243,-0.015493968,-0.019107504,-0.019129103,-0.020710099,-0.024884868,-0.024415283,-0.026214367,-0.026367625,-0.025957387,-0.027997972,-0.029372815,-0.025047785,-0.026066467,-0.027804354
867.2000122,-0.005204643,-0.012011596,-0.013796296,-0.017922839,-0.01701122,-0.016752917,-0.018956518,-0.024537325,-0.021328006,-0.024167126,-0.024354836,-0.026155047,-0.025869595,-0.026983038,-0.025816325,-0.026404019,-0.026945185,-0.028862961
866.4000244,-0.007066533,-0.011780736,-0.014629443,-0.015152524,-0.018875975,-0.022209762,-0.023269368,-0.022204204,-0.023548296,-0.025259146,-0.022587284,-0.027868208,-0.02279184,-0.026771443,-0.029310538,-0.028993253,-0.024486341,-0.028873667
865.5999756,-0.007881157,-0.010214171,-0.013808332,-0.012087884,-0.01696462,-0.020544611,-0.017046515,-0.02245127,-0.022796508,-0.022302771,-0.021363493,-0.02593383,-0.024798669,-0.026253698,-0.02571943,-0.026476944,-0.023334578,-0.026376493
864.7999878,-0.003954147,-0.00859859,-0.010959921,-0.015016462,-0.015904374,-0.017054081,-0.019374708,-0.02284332,-0.020421488,-0.019295579,-0.022810705,-0.024173541,-0.02317789,-0.025532065,-0.022652403,-0.02221168,-0.021928446,-0.02230164
864,-0.006979117,-0.009335666,-0.014159153,-0.013256062,-0.01861744,-0.018979562,-0.021601632,-0.019003302,-0.024281161,-0.025179569,-0.024604499,-0.026975887,-0.025406199,-0.02605262,-0.025432762,-0.024369225,-0.02481197,-0.024798717
863.2000122,-0.007365375,-0.014069093,-0.012235034,-0.017490419,-0.021280734,-0.019327024,-0.022834135,-0.021841116,-0.024731722,-0.025900859,-0.024136029,-0.02845454,-0.028077425,-0.026942946,-0.028704621,-0.024669997,-0.032372922,-0.025406493
862.4000244,-0.008278094,-0.013071631,-0.015973743,-0.019941906,-0.019589493,-0.020410869,-0.022217829,-0.025752755,-0.024777446,-0.028441593,-0.024058547,-0.026134038,-0.027393963,-0.030395221,-0.026802741,-0.028349645,-0.027434548,-0.026062323
861.5999756,-0.00555742,-0.01177469,-0.018152444,-0.016986229,-0.017658716,-0.019989967,-0.023261419,-0.020542635,-0.023250965,-0.023203559,-0.023234231,-0.023209153,-0.026309887,-0.027049834,-0.021533204,-0.026983378,-0.027599571,-0.025528014
860.7999878,-0.005948161,-0.009066571,-0.012531198,-0.018078009,-0.015382998,-0.020737693,-0.021117039,-0.025563452,-0.022545114,-0.023561634,-0.022989918,-0.027117398,-0.02437642,-0.024799746,-0.02665801,-0.025151134,-0.029059837,-0.028473208
860,-0.007797007,-0.008844489,-0.013767908,-0.016011817,-0.018488511,-0.019313307,-0.019668618,-0.025439842,-0.025044853,-0.024901686,-0.025867742,-0.024604743,-0.02468521,-0.024083233,-0.022223141,-0.02713768,-0.025793202,-0.030426934
859.2000122,-0.006662266,-0.008171158,-0.01213224,-0.01523786,-0.020176327,-0.018501213,-0.021000197,-0.024808938,-0.022316247,-0.024362372,-0.021431899,-0.024503564,-0.025937928,-0.026568996,-0.027322942,-0.026991699,-0.028013943,-0.028026756
858.4000244,-0.004847331,-0.005033547,-0.011074753,-0.016019203,-0.019812332,-0.018738298,-0.020802494,-0.024795931,-0.020017061,-0.020406028,-0.020290181,-0.022316985,-0.025438769,-0.023075003,-0.026026729,-0.023846451,-0.025014209,-0.024895428
857.5999756,-0.003049919,-0.005569891,-0.011215183,-0.017256433,-0.014685904,-0.018592838,-0.015327977,-0.02108163,-0.025762074,-0.025126996,-0.022187969,-0.024200669,-0.022066692,-0.022155058,-0.026116244,-0.023837728,-0.027534464,-0.022860708
856.7999878,-0.004770477,-0.010344214,-0.011700463,-0.015903875,-0.015554412,-0.019567914,-0.01803798,-0.020982882,-0.021637294,-0.022651272,-0.021335745,-0.023192663,-0.026283523,-0.026582729,-0.022675989,-0.023660338,-0.026139742,-0.024261676
856,-0.005949284,-0.010850312,-0.014782541,-0.0179672,-0.021092825,-0.02058663,-0.021790452,-0.024778131,-0.027144147,-0.025772173,-0.025983671,-0.026676511,-0.027549721,-0.027871946,-0.030368043,-0.02483324,-0.027578922,-0.027769292
855.2000122,-0.007391436,-0.006927759,-0.012739991,-0.015164723,-0.020351542,-0.017911712,-0.021206092,-0.021734908,-0.022237159,-0.025441796,-0.021699106,-0.024870984,-0.026648078,-0.025547296,-0.025855204,-0.027043996,-0.026934819,-0.025758123
854.4000244,-0.005513357,-0.008273777,-0.012776339,-0.0179748,-0.016680185,-0.019994812,-0.020516612,-0.0229249,-0.023579877,-0.023671612,-0.025493791,-0.023111576,-0.02518885,-0.026623147,-0.023959493,-0.025695959,-0.026781518,-0.025087221
853.5999756,-0.009059168,-0.013905516,-0.016707834,-0.016896553,-0.022165636,-0.019464962,-0.022312656,-0.024888242,-0.023961894,-0.0261569,-0.026120534,-0.026814811,-0.026679726,-0.027802994,-0.028810155,-0.025562964,-0.029764421,-0.027620366
852.7999878,-0.004889362,-0.007141097,-0.011698598,-0.015837189,-0.017033374,-0.01788394,-0.021842003,-0.02060717,-0.021653008,-0.026109662,-0.02422853,-0.02425164,-0.022939535,-0.021910923,-0.025814423,-0.024195086,-0.028026223,-0.02752766
852,-0.005058161,-0.00879254,-0.013526941,-0.014716333,-0.016474325,-0.017956967,-0.01960226,-0.02169103,-0.022071119,-0.020359248,-0.019122614,-0.023099843,-0.022983829,-0.023343852,-0.023539322,-0.024046741,-0.025117567,-0.027197449
851.2000122,-0.008764991,-0.010926249,-0.013308132,-0.015597967,-0.018459883,-0.021133807,-0.022441734,-0.023680242,-0.022031359,-0.023754017,-0.024799598,-0.024704237,-0.026612045,-0.026233327,-0.026856035,-0.026070952,-0.02740874,-0.028115617
850.4000244,-0.00599075,-0.010311808,-0.012689864,-0.014833627,-0.017445462,-0.01943407,-0.019882366,-0.021903293,-0.021164576,-0.022138823,-0.022811638,-0.024922317,-0.023303619,-0.025793251,-0.023150748,-0.023478704,-0.024075003,-0.026735226
849.5999756,-0.005589365,-0.010929379,-0.009813888,-0.017858898,-0.016012665,-0.018880881,-0.02123745,-0.024848299,-0.021620892,-0.023605326,-0.021717623,-0.024594469,-0.02519354,-0.026193701,-0.027404949,-0.023391783,-0.02702585,-0.027813727
848.7999878,-0.006297222,-0.010866974,-0.014833878,-0.015870983,-0.018612083,-0.018951066,-0.021611139,-0.02255524,-0.021712698,-0.025742508,-0.025291286,-0.02371691,-0.023413466,-0.028287465,-0.025758415,-0.022898626,-0.027369805,-0.025997959
848,-0.004846716,-0.009659535,-0.013657048,-0.013196351,-0.015957974,-0.018101746,-0.019519411,-0.022101725,-0.023204884,-0.022616675,-0.022359965,-0.024194794,-0.025507754,-0.024502879,-0.024706241,-0.025246251,-0.024866486,-0.024456978
847.2000122,-0.00618454,-0.00885357,-0.01212479,-0.016130509,-0.018157756,-0.017073544,-0.019238774,-0.020633632,-0.019385749,-0.023049032,-0.023697644,-0.025081601,-0.024029059,-0.024157528,-0.025951583,-0.026206033,-0.028256031,-0.025356341
846.4000244,-0.005035901,-0.009125888,-0.013395839,-0.015962467,-0.015161773,-0.019529855,-0.020457644,-0.022283837,-0.021293895,-0.022367783,-0.023894623,-0.021175424,-0.026707865,-0.027214274,-0.024681151,-0.023330212,-0.025873058,-0.026688684
845.5999756,-0.009347118,-0.012083,-0.013717598,-0.016510461,-0.018074632,-0.019865798,-0.021349447,-0.024950374,-0.024238763,-0.026619544,-0.026614431,-0.025994984,-0.026882509,-0.027048424,-0.024468871,-0.025838327,-0.028083103,-0.027134227
844.7999878,-0.006276709,-0.011094233,-0.012707059,-0.017318623,-0.020215418,-0.01972596,-0.020424601,-0.02224621,-0.021979487,-0.022126522,-0.023866985,-0.025277756,-0.025012987,-0.027470853,-0.024988256,-0.0243774,-0.025519032,-0.027708191
844,-0.003894118,-0.009672801,-0.010967746,-0.014350686,-0.017244292,-0.017851595,-0.018134916,-0.020197034,-0.021321401,-0.021737421,-0.020780385,-0.02295682,-0.021830926,-0.025248302,-0.023169203,-0.022515573,-0.025384713,-0.024445919
843.2000122,-0.003793437,-0.010975672,-0.012528582,-0.015862947,-0.016330848,-0.018683897,-0.021343632,-0.023963267,-0.020426676,-0.022575686,-0.024170652,-0.02524757,-0.023047313,-0.023995895,-0.023881393,-0.024326347,-0.024183335,-0.026410012
842.4000244,-0.005080677,-0.006941364,-0.01296783,-0.01523656,-0.015206467,-0.018735074,-0.018955775,-0.022060392,-0.022536069,-0.022464741,-0.024496518,-0.025369918,-0.023708332,-0.02346134,-0.02481324,-0.024579206,-0.026683718,-0.026756644
