wavelength (nm),DOMBlank1,DOMSTD33,DOM13474F,DOM12725,DOM12778,DOM12865,DOM12925,DOM12956,DOM12966,DOMBlank2,DOM12967,DOM13115,DOM13211,DOM13212,DOM13491,DOM13511,DOM13512,DOM13513,DOMBlank3
874.4000244,0.00203947,-0.006049621,-0.004616523,-0.012591603,-0.012707814,-0.01913064,-0.015246457,-0.017039895,-0.01761134,-0.021804437,-0.020105153,-0.021728752,-0.014880106,-0.022051044,-0.019569401,-0.019525945,-0.022832908,-0.019498721,-0.024470778
873.5999756,-0.010832689,-0.010988241,-0.007804584,-0.008272049,-0.012537989,-0.019596569,-0.02175702,-0.013748648,-0.023779798,-0.024261137,-0.017452076,-0.022987019,-0.02563037,-0.021941835,-0.025793104,-0.02644046,-0.020238742,-0.020059725,-0.031166075
872.7999878,-0.007243297,-0.010117625,-0.007521207,-0.017333796,-0.020616945,-0.017355882,-0.019850021,-0.016533984,-0.022033919,-0.021596558,-0.01902451,-0.022698935,-0.017141234,-0.022332378,-0.0236395,-0.018511979,-0.023741664,-0.02022372,-0.029344412
872,-0.010232173,-0.016595181,-0.008806086,-0.020081723,-0.020138469,-0.034539077,-0.022752145,-0.027238101,-0.028511461,-0.024574166,-0.029834706,-0.027085198,-0.032872532,-0.030054381,-0.031070221,-0.033137158,-0.031423461,-0.027121045,-0.027231051
871.2000122,-0.00878696,-0.001788037,-0.003469989,-0.014253051,-0.01716771,-0.017125906,-0.024187839,-0.018265588,-0.020547228,-0.022058474,-0.018230887,-0.017849209,-0.026412692,-0.026135745,-0.026520099,-0.023500431,-0.024632724,-0.023090713,-0.021071125
870.4000244,-0.011685244,-0.014422107,-0.006053705,-0.022457859,-0.018364856,-0.021670196,-0.030583926,-0.017793357,-0.022858646,-0.023739066,-0.020351838,-0.025905786,-0.026587063,-0.026425162,-0.029599011,-0.031299148,-0.018353293,-0.022336261,-0.027341368
869.5999756,-0.009353806,-0.012645715,-0.013733651,-0.014401073,-0.020475671,-0.020679099,-0.023685241,-0.025869302,-0.024455022,-0.024895184,-0.025304768,-0.029206287,-0.026760636,-0.027344137,-0.025510488,-0.027842473,-0.025878716,-0.030090515,-0.022763446
868.7999878,-0.01195534,-0.009594923,-0.00955294,-0.017078422,-0.01886953,-0.020626919,-0.021074528,-0.018555338,-0.020476116,-0.021644879,-0.02159838,-0.022952598,-0.023756959,-0.021685069,-0.026049597,-0.025822179,-0.025213815,-0.026852043,-0.022500284
868,-0.006187194,-0.008359408,-0.010766281,-0.008414253,-0.012451516,-0.014091899,-0.015611651,-0.018353093,-0.019780971,-0.023089143,-0.018558115,-0.017850252,-0.020698352,-0.02563037,-0.025341738,-0.021671822,-0.021963591,-0.024902664,-0.018418798
867.2000122,-0.00482383,-0.00956717,-0.008731705,-0.013893232,-0.012544074,-0.01547908,-0.016481552,-0.017952695,-0.020009892,-0.021135878,-0.016965516,-0.021415045,-0.020955749,-0.025681611,-0.027801925,-0.025494818,-0.022877015,-0.021988396,-0.026899006
866.4000244,-0.011642706,-0.013222015,-0.008303998,-0.019221438,-0.018531326,-0.022434603,-0.024357822,-0.023690341,-0.024416603,-0.023983598,-0.02728823,-0.0250146,-0.023482529,-0.023566881,-0.027000552,-0.026302041,-0.025344083,-0.026260911,-0.024103118
