wavelength (nm),DOMBlank1,DOMSTD20,DOM11407,DOM11740,DOM11743,DOM11902,DOM11904,DOM11915,DOM11934,DOMBlank2,DOM11961,DOM12617,DOM12627,DOM13189,DOM13236,DOM13337,DOM13238,DOM11609,DOM11762,DOMBlank3,DOM12140,DOM12200,DOM12221,DOM12278,DOM12733,DOM12737,DOM12771,DOM12776,DOM12826,DOMBlank4,DOM12828,DOM12833,DOM12907,DOM13038,DOM13125,DOM13213,DOM13244,DOM13245,DOMBlank5
735.2000122,-0.002533871,-0.004468408,-0.007358707,-0.008077918,-0.010698449,-0.010235005,-0.012474155,-0.012042516,-0.012385456,-0.013612496,-0.014070697,-0.011926833,-0.013534869,-0.014625738,-0.016136095,-0.016654426,-0.016016308,-0.016296092,-0.014763675,-0.015259503,-0.01488791,-0.015926734,-0.015386546,-0.0156131,-0.013540741,-0.014823671,-0.012748487,-0.015629031,-0.01373044,-0.01394337,-0.016022796,-0.015008859,-0.014889762,-0.011950908,-0.014066788,-0.013912786,-0.014286517,-0.014674742,-0.015740886
734.4000244,-0.002827258,-0.003776962,-0.004824291,-0.0073951,-0.009895573,-0.009074328,-0.012227586,-0.013287345,-0.011723896,-0.01488726,-0.013160893,-0.012045386,-0.01322558,-0.013695176,-0.01497655,-0.016055077,-0.016204679,-0.016125022,-0.0140116,-0.013902958,-0.01437618,-0.01492893,-0.015406683,-0.014706274,-0.013156674,-0.013687199,-0.01225562,-0.013860889,-0.013379123,-0.014200693,-0.016756106,-0.013634823,-0.014394212,-0.012480695,-0.014432074,-0.013442623,-0.01442386,-0.015170522,-0.015634974
733.5999756,-0.002339165,-0.002540922,-0.005369076,-0.007331931,-0.009057952,-0.009171462,-0.010572352,-0.012152731,-0.012054148,-0.013301906,-0.012634601,-0.010830164,-0.012957025,-0.012861892,-0.014626689,-0.014964946,-0.013492212,-0.016146272,-0.014054207,-0.014079468,-0.014715333,-0.015312834,-0.014541784,-0.01539629,-0.013363209,-0.014343774,-0.012222853,-0.01340347,-0.012727925,-0.013195799,-0.016341019,-0.014053405,-0.014004883,-0.011290955,-0.013117193,-0.013698888,-0.013657901,-0.014055461,-0.015425021
732.7999878,-0.002550135,-0.003328213,-0.005623096,-0.008459139,-0.009170042,-0.008552906,-0.011354056,-0.012684031,-0.012517014,-0.013072133,-0.012388073,-0.011368026,-0.013427514,-0.013315914,-0.014184809,-0.015180921,-0.014431122,-0.016440328,-0.013301705,-0.015075372,-0.014793199,-0.015267901,-0.014603212,-0.015930276,-0.014655571,-0.014235115,-0.011536646,-0.014948689,-0.013538031,-0.014268832,-0.015421873,-0.012848421,-0.013823328,-0.011403631,-0.014465575,-0.014471784,-0.013532862,-0.014828774,-0.0160677
732,-0.003031719,-0.003932701,-0.005569687,-0.007641274,-0.009130401,-0.009026768,-0.010344112,-0.013047165,-0.012572894,-0.01298823,-0.012048508,-0.010408361,-0.013795644,-0.012966372,-0.014044584,-0.015068621,-0.014629043,-0.016860351,-0.013915845,-0.014958743,-0.014821119,-0.015180971,-0.014027541,-0.014795301,-0.013999268,-0.013648168,-0.012100975,-0.015150024,-0.012640133,-0.014000722,-0.014158,-0.014160606,-0.014294031,-0.011662866,-0.014551297,-0.013715943,-0.013187663,-0.013849856,-0.015164073
731.2000122,-0.002788679,-0.004842416,-0.005639194,-0.008273573,-0.009065811,-0.009639332,-0.01082158,-0.013202077,-0.012665678,-0.013364363,-0.013520115,-0.011382954,-0.013700844,-0.013296383,-0.014804807,-0.015947644,-0.016057622,-0.016521774,-0.014276448,-0.014964996,-0.015112274,-0.015171573,-0.014788395,-0.015530535,-0.013344483,-0.015167072,-0.012151673,-0.015340521,-0.013333638,-0.01461823,-0.014986703,-0.014811913,-0.015002208,-0.012487032,-0.014063179,-0.014110091,-0.013020186,-0.014375329,-0.015572044
730.4000244,-0.002357548,-0.00369345,-0.004776877,-0.00743597,-0.010270804,-0.009831097,-0.009868043,-0.012582953,-0.012208055,-0.013603364,-0.01310137,-0.012487989,-0.014105981,-0.0132073,-0.015217415,-0.015193719,-0.016789131,-0.01689541,-0.013837068,-0.013744936,-0.014660877,-0.015928481,-0.013844441,-0.015208066,-0.012789107,-0.014643358,-0.012797251,-0.015030115,-0.012705954,-0.014526063,-0.015180271,-0.013375709,-0.012939086,-0.010825619,-0.013133669,-0.01362805,-0.012612575,-0.013748096,-0.016199494
729.5999756,-0.002068738,-0.002719023,-0.00437934,-0.006423902,-0.008399121,-0.009328015,-0.009788479,-0.01043232,-0.011607926,-0.011454361,-0.011971508,-0.010530868,-0.012196478,-0.013843387,-0.014791497,-0.014286717,-0.014094555,-0.016182885,-0.013505862,-0.014248242,-0.013851411,-0.014459967,-0.013030033,-0.014161658,-0.01289446,-0.014101421,-0.012089092,-0.014352639,-0.012780813,-0.013079368,-0.012918381,-0.013524682,-0.013032596,-0.00980169,-0.012288586,-0.013080121,-0.012329903,-0.014632447,-0.013942468
728.7999878,-0.002810438,-0.003290038,-0.004818045,-0.006348806,-0.008314207,-0.008945173,-0.010262765,-0.012229598,-0.011523992,-0.011967932,-0.012826456,-0.011974177,-0.014374227,-0.014711879,-0.01541128,-0.01413565,-0.014634199,-0.0159171,-0.013273034,-0.015194019,-0.014913173,-0.015688658,-0.014244935,-0.014190271,-0.013360598,-0.013513842,-0.012094128,-0.013158332,-0.013126587,-0.015456248,-0.014041927,-0.012182432,-0.013498736,-0.010779412,-0.013269921,-0.012870335,-0.012350636,-0.014539131,-0.014329148
728,-0.002079971,-0.002510811,-0.004410347,-0.006380183,-0.008320455,-0.008551536,-0.009946227,-0.011012924,-0.011131727,-0.011928948,-0.011561903,-0.010419532,-0.012283704,-0.013879944,-0.014384545,-0.013980219,-0.013462499,-0.015335823,-0.013412656,-0.014315021,-0.014289373,-0.013156975,-0.013831552,-0.014023481,-0.012964061,-0.013303513,-0.011519001,-0.014006287,-0.012638826,-0.013983979,-0.013215536,-0.011997898,-0.012423091,-0.009876495,-0.012628315,-0.01403501,-0.012507155,-0.014803707,-0.013707616
