wavelength (nm),DOMBlank1,DOMSTD36,DOM11560
697.5999756,-0.007093018,-0.007601391,-0.014120465
696.7999878,-0.006298395,-0.005601682,-0.012232065
696,-0.006607455,-0.00697229,-0.013531658
695.2000122,-0.006021386,-0.007955632,-0.013510982
694.4000244,-0.006483378,-0.006827677,-0.012606892
693.5999756,-0.00713799,-0.006804233,-0.013395086
692.7999878,-0.007120674,-0.007234692,-0.013553136
692,-0.006658391,-0.006200618,-0.012654465
691.2000122,-0.004353149,-0.005782977,-0.010623583
690.4000244,-0.005770716,-0.00678461,-0.013197306
689.5999756,-0.005751762,-0.007491134,-0.013622832
688.7999878,-0.007699261,-0.008385816,-0.013523729
688,-0.005449199,-0.005973694,-0.012140598
687.2000122,-0.006100265,-0.008104596,-0.012944664
686.4000244,-0.006188572,-0.006293752,-0.012925919
685.5999756,-0.006038848,-0.007222675,-0.013702199
684.7999878,-0.005073564,-0.007232655,-0.013424001
684,-0.005296713,-0.007378151,-0.012202215
683.2000122,-0.00593616,-0.007602052,-0.01410979
682.4000244,-0.005998409,-0.008054389,-0.014368367
681.5999756,-0.007619197,-0.007831228,-0.014166469
680.7999878,-0.008253001,-0.008703594,-0.014216176
680,-0.006184642,-0.005757637,-0.012145683
679.2000122,-0.004295944,-0.005972469,-0.01054926
678.4000244,-0.005609042,-0.007726116,-0.011816559
677.5999756,-0.005428338,-0.007003163,-0.012255419
676.7999878,-0.005446591,-0.005947191,-0.013032545
676,-0.006277117,-0.005574543,-0.012823038
675.2000122,-0.007138194,-0.006578594,-0.01334619
674.4000244,-0.005041581,-0.007556518,-0.01287908
673.5999756,-0.007135495,-0.00702568,-0.013293521
672.7999878,-0.006048855,-0.00596823,-0.012526319
672,-0.007306835,-0.007787498,-0.012669549
671.2000122,-0.005558186,-0.006528617,-0.012808008
670.4000244,-0.006847349,-0.005576842,-0.012365933
669.5999756,-0.005938713,-0.007228022,-0.013079116
668.7999878,-0.00551852,-0.005383752,-0.012300866
