wavelength (nm),DOMBlank1,DOMSTD32,DOM12918,DOM12924,DOM12957,DOM13090,DOM13109,DOM13111,DOM13143,DOMBlank2,DOM13262,DOM13313,DOM13335,DOM13476,DOM13531,DOM13589,DOMBlank3
851.2000122,0.000605817,0.002447959,-0.001091326,7.79E-05,0.000485789,0.00342686,0.002683745,0.003071802,0.002486332,0.000359187,0.002876922,0.000581892,0.002685621,0.00193891,0.001615646,0.002325234,0.002761683
850.4000244,-0.002762444,0.000100449,0.006426944,0.00162131,0.001863017,0.00089217,0.002251355,0.003756802,0.001572673,-0.000300639,0.000942676,0.000207085,1.03E-05,-0.000436787,-0.000583699,0.001619881,0.002423906
849.5999756,-0.002748297,-0.001247205,0.002484614,-0.001369949,-0.001173636,-0.00189068,-0.001921813,-0.000537784,-0.001229601,-0.00237938,-0.000378288,-0.000208694,-0.001326543,0.000202631,-0.003390631,-0.003528639,-0.001697232
848.7999878,0.000791874,0.003177867,-0.000828285,0.001363455,-0.001530319,0.002834763,0.001265725,0.002915803,0.000841747,0.000459045,-0.002243324,-0.000874531,-0.001726884,0.000545034,-0.001781644,-0.001344092,-0.001430275
848,-0.001127474,-0.002273505,-0.000576564,-0.002916953,-0.000980798,-0.000472783,0.002161906,0.002203819,0.004070246,0.000466509,-0.004278412,-0.000427943,-0.001738641,-0.000155857,-0.003392121,-0.001411853,-0.001392295
847.2000122,-0.003110732,-0.000525891,0.000728317,0.00014597,-0.002148442,-0.000800794,-0.001267183,0.000303438,-0.003301445,-0.000910387,-0.003182998,-0.000836966,-0.002622958,-0.002572009,-0.005553842,-0.00250726,-0.004428796
846.4000244,-0.003213987,0.001339358,-0.001749521,-0.00319487,0.002420808,0.000435361,-0.001385999,0.000664405,0.002464203,-0.002398945,-0.00108988,0.001167108,0.001482298,-0.000302243,-0.001268216,-0.00173632,-0.00547379
845.5999756,0.002253359,0.001898427,0.003148376,0.004103301,0.004423925,0.002606759,0.002895997,0.004303595,0.001226369,0.001988654,0.00247269,0.002625562,0.001406252,0.00019121,0.003552507,0.002997223,0.002550069
844.7999878,0.003291547,-0.000154667,0.002197002,0.003937396,0.002271079,0.006879739,0.000870329,0.003908298,-9.44E-05,-0.002171572,0.002093726,0.003076964,0.00447079,0.001677254,-0.000120405,0.002622332,0.00174958
844,-0.003270359,-0.002464998,-0.001355188,-0.001963613,-0.001305639,-0.001970828,-0.002105629,-0.000369494,-0.000419926,-0.001827994,-0.004508477,-0.00039453,-0.001723635,-0.001609399,-0.002352553,-0.000791234,-0.002409139
843.2000122,-0.002542364,-0.003232436,0.000321519,-0.001920679,-0.001282411,0.001639472,-0.000821981,-0.001186957,-0.000118076,-0.0007671,-0.001537903,0.000148922,0.001502325,0.000283777,0.000292921,-0.001986598,0.001135599
842.4000244,-0.002349824,-3.78E-05,0.003721006,-0.000418737,0.000522227,0.001305552,0.002179961,0.00075824,0.000789981,0.000953183,0.002530281,0.002566891,-0.001151691,0.00028787,-0.000486487,-6.04E-05,0.002150538
841.5999756,0.001803591,0.003285079,0.002132692,-0.001444827,0.003392917,0.005197061,0.002614207,0.002610405,0.001892525,-0.000821258,0.000660283,0.002520205,0.002193282,0.000715689,0.002293381,0.003529932,0.00040248
840.7999878,-0.001011945,0.000989868,-0.001190777,0.002375959,0.00026694,0.002608972,0.001912076,0.003991655,0.000882598,-0.001369071,0.000106327,0.001418795,-6.75E-05,0.001808244,0.000738818,0.001311887,0.00020188
840,-0.001940317,-0.003565098,0.002125304,-0.002711615,-0.000649666,0.001013893,0.000773203,0.001570568,0.002601056,5.28E-05,-4.04E-05,-0.003605712,-0.000982503,-0.003660904,-0.000709059,0.000788607,-0.00033587
839.2000122,-0.001140383,0.002957449,0.00194593,0.001765382,0.00215137,0.005949295,0.002670488,0.00286947,0.002285209,0.001710336,0.002015153,0.000933,0.001832809,0.002073204,0.001281484,-0.001614196,-0.002730959
838.4000244,-0.001992009,-0.002049416,-0.001385225,-0.002282364,0.000117927,-0.00168862,-0.001576645,-0.002401674,-0.004569957,-0.00138027,-0.000567412,0.000623056,-0.000809786,-0.001963097,0.002163051,-0.001082289,-0.002849427
837.5999756,-0.000769064,0.001280861,0.002614598,-0.001510457,0.001297815,-0.000298104,0.001853086,0.002630692,0.00403168,0.001009612,0.00053884,0.001206329,0.000324498,0.003169131,0.001502481,0.000548378,3.61E-05
836.7999878,0.002582931,0.002488727,0.005395658,0.001716703,-0.000183803,0.001400019,0.000953832,0.004829638,0.004285007,0.002833121,-0.000235498,0.001811675,-0.000393133,0.002068756,0.002286198,0.002685855,1.60E-05
836,0.000343928,-0.000254592,0.00280975,-0.000885226,0.00053744,0.002034373,0.001329491,0.00431685,0.001027023,0.00022796,-0.000584371,0.000515151,0.000780101,0.002493752,0.002237331,0.002712918,0.000162258
