wavelength,DOMBlank1,DOM11188,DOM11392,DOM11339,DOM11372,DOM11381,DOM11382,DOM11385,DOMBlank2,DOM11389,DOM11393,DOM11394,DOMBlank3
844.7999878,-0.001567101,0.000563541,0.000166841,0.001264453,0.00027883,0.000418286,0.000560145,-0.001920782,-0.00128556,-0.00017278,-0.000164293,-0.000938284,-0.000551849
844,0.000388489,0.001601511,-0.000911833,0.001613151,-0.000748133,0.000891158,0.001309369,-0.000678252,0.000910379,-0.000213248,0.001172248,0.001226551,-0.000274356
843.2000122,-0.001019331,-0.000498898,0.000179712,0.000334394,-0.000514929,4.15E-05,-0.000354545,0.000452204,-0.001274152,-0.001266719,-0.001738331,-0.001609967,-0.001316892
842.4000244,0.000422794,-0.000206055,-0.000416409,-0.000728493,0.000305821,0.000441813,8.44E-05,0.000410564,-0.001124531,0.000530935,-0.000503656,-0.000936114,0.000615461
841.5999756,0.000729354,0.000282404,0.001316742,0.001375037,0.000103841,-0.000218009,0.001408926,0.000874557,0.000641073,0.000640632,0.000346829,0.001164798,-7.38E-05
840.7999878,-0.002212575,-0.001861606,-0.000326972,-0.001155512,0.000203641,-0.001103565,-0.000499157,-0.001402719,-0.001237035,-0.001851193,-0.00037596,-0.000830197,-0.000940609
840,-0.001087246,0.00093191,0.00157948,0.001028294,0.00148609,0.001310433,0.000652013,0.000663809,0.000743278,0.000649136,-0.000500243,0.001100615,-0.000358476
839.2000122,0.001522508,0.000258263,0.000984471,0.001877966,0.001630612,0.002248779,0.001221074,0.002155194,0.000835704,0.000252565,0.003031552,0.001304046,0.002443976
838.4000244,0.000722068,-8.28E-06,-0.000218371,-0.00041434,-0.001003939,0.00049999,0.00025746,0.000999312,0.000523523,-0.000241863,-0.000103687,-0.000101409,-7.25E-07
837.5999756,0.001247812,0.001397396,0.002963496,0.001564125,0.00109584,0.001650385,0.001813599,0.00205869,0.001115148,0.000699614,0.000590316,0.001169367,0.001861899
836.7999878,0.000702803,-0.000709886,0.001446143,0.000322374,0.001062857,0.000133618,-8.49E-06,-0.001316272,0.001045757,0.000213094,0.000136389,0.000371312,-0.000285428
836,0.000304137,-3.68E-05,0.000523678,0.000239045,0.002176995,4.77E-05,0.000922105,0.001254432,-0.000465129,5.88E-05,0.000234668,0.000628655,-0.000623146
835.2000122,5.79E-05,0.000291082,-0.000348182,-0.000506603,8.66E-05,0.000409891,0.0003945,0.001451493,-0.000573203,-0.000362408,0.0001606,0.000413207,0.000399397
834.4000244,-9.08E-05,0.000655409,9.65E-05,0.001365143,0.001208458,0.001163267,0.000835003,-0.000125218,0.000416213,0.000163941,0.000454925,0.00101379,0.001487233
833.5999756,0.000959824,0.000273312,-0.00038315,-0.00064553,0.001523807,1.46E-05,0.000492708,0.000765838,-0.00026168,-1.73E-05,0.000202864,-1.55E-05,3.59E-05
832.7999878,-0.001175959,0.000912273,0.000204237,-0.000548953,0.001337489,0.000295563,7.37E-05,0.000234279,0.000227882,-0.001830159,-0.000344819,-0.000209781,-0.001021294
832,0.00130724,0.000652583,0.002165626,0.000592623,0.002531426,0.00272589,0.003504644,0.003114402,0.000235108,0.000996198,0.001709426,0.000505588,0.001717821
831.2000122,0.000436761,0.000964883,0.001197789,0.001327674,0.0007599,0.001117588,0.001161191,0.000791226,0.000365146,0.001255834,0.000973185,0.002634156,0.001385502
