wavelength (nm),DOMBlank1,DOMSTD12,DOM12158,DOM12236,DOM12251,DOM12307,DOM12335,DOM12444,DOM12501,DOM12558,DOMBlank2,DOM12640,DOM12749,DOM12748,DOM12850,DOM12905,DOM13193,DOM13186,DOM13286,DOM13327,DOMBlank3,DOM13372,DOM13375,DOM13414,DOM13429,DOM13431,DOM13436,DOMBlank4
862.4000244,0.004125357,0.003879854,0.000555687,-0.000254747,-0.000139192,0.001306668,0.001717067,0.001124414,0.004597393,-0.000551797,0.005583726,0.000301158,0.004577877,0.001814405,0.004848432,0.001371583,0.004132883,0.001261286,0.000662824,-0.000120819,0.005958165,0.00400955,0.001343435,0.00160572,0.001726995,0.005177963,0.002886147,0.002684657
861.5999756,0.003558144,0.000301754,0.001181125,0.000477289,-0.001933719,0.00231459,-0.002875502,0.002751966,7.73E-05,0.000826108,0.001962728,0.000164044,0.001924427,0.000356467,0.003214766,0.003040963,0.002425806,0.002202284,0.003906574,0.002179311,0.002922448,0.004242553,0.004022457,0.002086157,0.003314161,0.003550628,0.005178277,0.003871653
860.7999878,0.001280056,0.000803078,0.004192942,0.002841407,-0.000975684,0.001899779,0.000814333,0.001094594,-0.000836243,0.001135262,0.000308567,0.002736024,0.003169653,0.001512274,0.003062756,0.002701405,0.000460522,0.003011142,0.003771947,0.002593452,0.00283557,0.00223923,0.005217391,0.001216687,0.002257288,0.001847133,0.002747043,-0.001333718
860,-0.00014561,-0.000385375,0.003087548,0.000134835,-0.001256859,-2.38E-06,-0.002289574,0.001922165,-0.00116997,-0.001333718,-0.0020068,-0.002455783,0.000990957,-0.00141851,0.000560016,0.001919357,-0.002994701,-0.001360917,0.001111749,-0.001853977,-0.002241213,-0.001527843,0.003743016,0.001416094,-0.001601662,0.000687532,-0.001482854,0.001553838
859.2000122,0.000422224,0.00222583,0.000841617,0.000221252,0.002710235,-0.000661245,-0.000908992,0.003309701,0.001989668,0.00100803,-0.000614409,0.004143493,0.002572333,0.004498775,0.003746619,0.000779038,0.004033718,-0.000660211,0.00255598,0.00086426,0.004117648,0.001778248,0.003514691,0.003395239,0.003988807,0.004516117,0.000162128,0.00138719
858.4000244,-5.81E-05,-0.00145783,0.003352898,0.000287921,-0.000852881,-0.000661142,0.000318126,0.000721731,0.000692821,0.00242289,0.001391968,-0.000156996,2.34E-05,0.00194099,0.003547391,0.000381831,1.96E-05,0.001784616,0.002205068,-0.002600984,0.001824543,0.003356003,0.003204908,0.001015372,-0.000163206,0.006051786,0.000377996,0.000631689
857.5999756,-0.000300898,0.002130507,0.002257106,0.003515657,0.003230178,0.000562633,0.001852956,0.000399889,0.004307411,0.003517562,0.000327063,0.002937616,0.002500651,0.002844716,0.00406353,0.002698774,0.001836163,0.003151348,0.002089252,0.005134689,0.003633394,0.002881222,0.004327987,0.004658798,0.001249629,0.005946224,0.002037858,0.005071095
856.7999878,1.11E-05,0.002037416,0.000368721,-0.001082805,-4.29E-05,0.00083713,-0.000818312,-0.000306692,-0.000216094,-0.000631366,0.000505433,0.000620853,0.001185901,0.003031943,0.001853346,0.001210924,5.75E-05,0.000995809,-9.52E-05,0.001173753,0.003353811,0.000542235,0.000320949,-0.000309538,3.90E-05,0.00459114,0.004447383,0.000185823
856,-0.003478207,0.003193147,-0.002178475,-0.000623663,-0.003863228,-0.003422838,-0.001818456,-0.000374409,0.000786325,-0.001993813,0.001406563,-0.000509861,-0.001733536,-0.0027805,-0.000967419,-0.001702028,-0.002117736,-0.001009001,0.001300852,-0.000477075,0.001632716,0.000588009,-0.002077807,-0.000564465,0.00228586,0.002948432,1.39E-05,0.000778778
855.2000122,-0.001349717,-0.001187318,-0.005147601,-0.0028916,-0.004133412,0.000869136,-0.004003035,-0.004099463,-0.002229006,-0.000967213,-0.002661911,-0.003357753,-0.00211279,-0.002219477,-0.005054067,-0.003349996,0.000416161,-0.003099321,-0.001402616,-0.002272836,0.000286264,-0.00094593,-0.000492589,0.001764992,-0.00408659,-0.000528529,-0.001062406,-0.002338187
