Baseline 100%T,,Sample 1 Rack 1 Tube 1,,Sample 2 Rack 1 Tube 2,,Sample 3 Rack 1 Tube 3,,Sample 4 Rack 1 Tube 4,,Sample 5 Rack 1 Tube 5,,Sample 6 Rack 1 Tube 6,,Sample 7 Rack 1 Tube 7,,Sample 8 Rack 1 Tube 8,,Sample 9 Rack 1 Tube 9,,Sample 10 Rack 1 Tube 10,,Sample 11 Rack 1 Tube 11,,Sample 12 Rack 1 Tube 12,,Sample 13 Rack 1 Tube 13,,Sample 14 Rack 1 Tube 14,,Sample 15 Rack 1 Tube 15,,Sample 16 Rack 1 Tube 16,,Sample 17 Rack 1 Tube 17,,Sample 18 Rack 1 Tube 18,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
884.7999878,0.7445777059,884.7999878,0.006600346882,884.7999878,0.01212105248,884.7999878,0.01483942382,884.7999878,0.0031319228,884.7999878,0.007661558222,884.7999878,-0.002274741419,884.7999878,-0.007497494575,884.7999878,-0.0001633615029,884.7999878,-0.001926503377,884.7999878,-0.001238377648,884.7999878,-0.002482551616,884.7999878,-0.01677802205,884.7999878,-0.009140590206,884.7999878,-0.01263540611,884.7999878,0.0005799480132,884.7999878,-0.0009867384797,884.7999878,-0.0002679406316,884.7999878,-0.008421208709,
884,0.751945734,884,-0.004163974896,884,-0.001657418208,884,0.005758129992,884,-0.007095361128,884,-0.00457631005,884,-0.003565970575,884,-0.0006317791413,884,-0.01299350522,884,-0.01505586971,884,-0.01140075736,884,0.00359087321,884,-0.008262499236,884,-0.0005853013135,884,-0.008578236215,884,-0.009412476793,884,-0.01219728217,884,-0.01405175123,884,-0.01304997876,
883.2000122,0.743308723,883.2000122,0.009150297381,883.2000122,0.0160469152,883.2000122,0.02036255412,883.2000122,0.01348334458,883.2000122,0.02128810994,883.2000122,0.004483657423,883.2000122,0.007136312313,883.2000122,0.003729856573,883.2000122,-0.008059368469,883.2000122,0.006339756306,883.2000122,-0.003855274757,883.2000122,-0.00565529149,883.2000122,-0.008148497902,883.2000122,-0.006204496138,883.2000122,0.004362944979,883.2000122,0.0004643836,883.2000122,0.0009817469399,883.2000122,0.0004811759864,
882.4000244,0.7470968962,882.4000244,0.006662219763,882.4000244,0.0120126484,882.4000244,0.006474708673,882.4000244,-0.001191706629,882.4000244,0.01281379536,882.4000244,0.004047487397,882.4000244,-0.003886780702,882.4000244,-0.004000521265,882.4000244,-0.00770841632,882.4000244,-0.01058331598,882.4000244,-0.003501831321,882.4000244,-0.002337414073,882.4000244,-0.0009646815015,882.4000244,-0.007057465613,882.4000244,-0.004103257786,882.4000244,-0.004843030125,882.4000244,-0.001732092001,882.4000244,-0.007369090803,
881.5999756,0.7483165264,881.5999756,0.004211290739,881.5999756,0.008840669878,881.5999756,0.008976243436,881.5999756,-0.007445638999,881.5999756,0.008956238627,881.5999756,0.001330192317,881.5999756,0.004508191254,881.5999756,-0.005107386503,881.5999756,0.003530636663,881.5999756,-0.001849336899,881.5999756,-0.005716405343,881.5999756,0.0009172016871,881.5999756,0.001329517225,881.5999756,-0.00543002598,881.5999756,-0.005975889973,881.5999756,-0.002027000068,881.5999756,0.005676846486,881.5999756,-0.002260114765,
880.7999878,0.7498995662,880.7999878,0.003745887894,880.7999878,0.0002027862356,880.7999878,0.01144376397,880.7999878,-0.003240195569,880.7999878,0.01461172383,880.7999878,-0.0006963434862,880.7999878,-0.003986260388,880.7999878,-0.005191802979,880.7999878,-0.005547401495,880.7999878,0.001048221951,880.7999878,-0.000229289144,880.7999878,-0.006768707186,880.7999878,-0.009970767424,880.7999878,-0.005739448592,880.7999878,0.001454012818,880.7999878,-0.004324035253,880.7999878,-0.001707494375,880.7999878,-0.01253703237,
880,0.7534009814,880,0.001104819356,880,0.001285767765,880,0.002470008796,880,-0.002882959787,880,-0.002139941091,880,-0.006938765291,880,-0.00816922728,880,-0.004291484598,880,-0.005872114561,880,-0.005286432803,880,-0.002011643723,880,-0.01497474872,880,-0.01323682908,880,-0.00709790783,880,-0.009810041636,880,-0.003691191552,880,-0.009633762762,880,-0.005493880715,
879.2000122,0.7630599737,879.2000122,-0.01115271915,879.2000122,-0.003238705453,879.2000122,-0.01073062327,879.2000122,-0.01166750304,879.2000122,-0.003357907524,879.2000122,-0.01440748293,879.2000122,-0.01040699612,879.2000122,-0.01383370906,879.2000122,-0.01271998137,879.2000122,-0.01822537743,879.2000122,-0.01453197096,879.2000122,-0.01744257659,879.2000122,-0.01927814819,879.2000122,-0.024800919,879.2000122,-0.01525130589,879.2000122,-0.01372181252,879.2000122,-0.0224475842,879.2000122,-0.02184520289,
878.4000244,0.7554290295,878.4000244,0.001264452934,878.4000244,0.006815021858,878.4000244,0.0009559069294,878.4000244,-0.002184449928,878.4000244,-0.0001938426431,878.4000244,-0.003644988872,878.4000244,-0.00586251216,878.4000244,-0.01426793076,878.4000244,-0.01083188131,878.4000244,-0.009868802503,878.4000244,-0.008657058701,878.4000244,-0.008897597902,878.4000244,-0.01568576135,878.4000244,-0.01134770084,878.4000244,-0.008048442192,878.4000244,-0.01069733687,878.4000244,-0.005351740867,878.4000244,-0.01104431879,
877.5999756,0.756747365,877.5999756,-0.0005536067183,877.5999756,0.0008865927812,877.5999756,0.005035844166,877.5999756,-0.004015448503,877.5999756,0.00827914197,877.5999756,-0.01043449249,877.5999756,-0.006489855703,877.5999756,-0.00924095232,877.5999756,-0.008297750726,877.5999756,-0.004183203913,877.5999756,-0.01350024156,877.5999756,-0.007173128892,877.5999756,-0.0110504264,877.5999756,-0.006326867267,877.5999756,-0.008576205932,877.5999756,-0.005886875559,877.5999756,-0.01138658542,877.5999756,-0.01095204614,
