wavelength (nm),DOMBlank1,DOMSTD23,DOM12446,DOM12471,DOM12478,DOM12479,DOM12523,DOM12528,DOM12529,DOMBlank2,DOM12628,DOM13290,DOM13292,DOM13294,DOM13314,DOM13317,DOM13398,DOM12274,DOM12703,DOMBlank3,DOM12705,DOM12722,DOM12723,DOM13001,DOM13008,DOM13049,DOM13053,DOM13064,DOM13068,DOMBlank4,DOM13072,DOM13450,DOM13457,DOM13618,DOM13619,DOMBlank5
213.5999908,0.001499364,0.526094616,0.176532522,0.115537122,0.20741792,0.642639518,0.95019269,0.49154672,0.435224652,0.018646378,0.415944368,0.089529753,0.118530192,0.08014407,0.156486407,0.065101638,0.42814815,1.176942706,1.322957993,0.02421503,0.821653605,0.913228989,1.583960176,1.016430616,1.261863589,1.106402159,1.864312172,1.07354486,0.78897953,0.022899855,0.766922891,0.920664787,1.682578802,0.491014004,0.297213823,0.024155065
212.7999878,0.001202435,0.527702153,0.180286959,0.115961306,0.212059379,0.651885688,0.962623775,0.499781489,0.442066312,0.016432397,0.422414571,0.090972513,0.123088382,0.08185266,0.157069504,0.065747917,0.440952778,1.19187355,1.332488418,0.022810142,0.832362711,0.91780597,1.593794703,1.022641659,1.273166299,1.1092906,1.896766901,1.082137942,0.797196567,0.021081705,0.774608433,0.930455744,1.690343618,0.494968772,0.303316295,0.023246899
211.9999847,-0.00016657,0.531946123,0.182553783,0.119222924,0.215269342,0.6645419,0.965589166,0.507280886,0.44869116,0.017414914,0.426458716,0.090675905,0.124800734,0.087097064,0.161059529,0.066632964,0.452986121,1.196105838,1.339250326,0.024214126,0.844790936,0.927474737,1.612630725,1.036264777,1.279650569,1.116871715,1.916213393,1.090932727,0.806138635,0.021257281,0.780666113,0.941939592,1.71600771,0.501412153,0.306108683,0.024494296
211.1999969,-0.001949594,0.536609948,0.182497323,0.120088935,0.218407869,0.672934592,0.980813205,0.513671637,0.455690116,0.016540647,0.428287387,0.087848142,0.12411724,0.085752308,0.160476938,0.066799372,0.46841082,1.212054968,1.352407336,0.020620434,0.852082014,0.933808088,1.623175144,1.038168788,1.296866298,1.133540392,1.922238111,1.102259278,0.810876668,0.021453217,0.788938522,0.950778902,1.736412644,0.507588506,0.30815497,0.022888776
210.3999939,0.002511717,0.542139947,0.187361971,0.124476835,0.22472924,0.684581041,0.989053965,0.522849917,0.465602219,0.017004628,0.438183248,0.09274599,0.129575938,0.091920592,0.165278867,0.070284054,0.484756708,1.223631024,1.368086934,0.025251657,0.861309588,0.945930958,1.636325479,1.047151923,1.317327142,1.141163588,1.943979263,1.114076376,0.821387649,0.023394559,0.794413924,0.966888368,1.757976174,0.513646007,0.316293925,0.025191933
209.5999908,-0.0002311,0.544847548,0.189042747,0.121566154,0.22552757,0.693683386,0.999767244,0.527834714,0.47137177,0.015130549,0.436267972,0.092799418,0.131493822,0.091516033,0.163036987,0.068694092,0.494393468,1.232636094,1.374318004,0.022124108,0.871069074,0.950617611,1.637798905,1.054113746,1.317547441,1.14949131,1.951882362,1.117226481,0.821449876,0.022302751,0.802657843,0.973888934,1.760529399,0.515030742,0.318726182,0.023467014
208.7999878,0.001698823,0.55452764,0.194201857,0.126889393,0.229724556,0.705283523,1.012535572,0.537050188,0.477932513,0.018719153,0.446080059,0.094771855,0.13489908,0.095418178,0.169132724,0.072015956,0.509910345,1.246331811,1.386400104,0.025264304,0.879983783,0.959659874,1.666574955,1.059806943,1.332620978,1.161377549,1.996523857,1.131716371,0.837029159,0.024280641,0.813254714,0.995306552,1.789248466,0.525782406,0.325433672,0.026151821
207.9999847,-0.001459223,0.556275308,0.192930147,0.124976635,0.231774718,0.713401377,1.020618558,0.540006816,0.482945979,0.015397461,0.449376464,0.094353832,0.13535814,0.096477665,0.170417815,0.072024331,0.519419432,1.25500977,1.394528508,0.023878833,0.884668112,0.967957139,1.670396209,1.074077249,1.34905827,1.171448588,1.998822331,1.143838406,0.840068758,0.022799721,0.820842147,0.993439078,1.804689765,0.529069722,0.326535523,0.023170004
207.1999969,-0.000557847,0.559527934,0.196915388,0.128347322,0.234089658,0.721680641,1.027062297,0.549946189,0.490055889,0.017053921,0.452861607,0.096417807,0.138044789,0.099594966,0.17299521,0.0723029,0.527472436,1.262729764,1.406739116,0.025719769,0.898360193,0.976952195,1.679223299,1.079035878,1.358148217,1.181151032,1.998777628,1.146362305,0.850779235,0.024816113,0.824327886,1.00417614,1.815614462,0.534604192,0.330627471,0.025361331
206.3999939,0.001685726,0.564406574,0.201336384,0.131331027,0.237588882,0.727374733,1.038283706,0.556951582,0.498225302,0.018173866,0.458764911,0.099307768,0.141153857,0.103579283,0.174407944,0.072237939,0.541553795,1.280253291,1.410633087,0.023708345,0.909788728,0.987572014,1.695074081,1.081529617,1.369324923,1.189186454,2.017635107,1.155825496,0.856295884,0.022639174,0.835969985,1.011492133,1.81750083,0.539816678,0.337146342,0.025562476
205.5999908,0.001105935,0.567135334,0.201918677,0.132600457,0.242794827,0.737044632,1.043002844,0.56336689,0.507037938,0.016956767,0.46236673,0.101330325,0.14441672,0.104108259,0.17641598,0.073729396,0.550859809,1.280600309,1.422182441,0.025578374,0.911722958,0.996872246,1.709152579,1.091395736,1.37635541,1.195153594,2.034532547,1.166898847,0.858978212,0.023033066,0.840353608,1.023029089,1.840075254,0.546513259,0.339380145,0.02686887
204.7999878,0.002675385,0.567644835,0.205261871,0.133625209,0.243689984,0.743401706,1.059138656,0.57062608,0.508877754,0.016423041,0.465954363,0.10146708,0.146360934,0.107229419,0.179474786,0.073781274,0.558959484,1.290960908,1.429042459,0.024836121,0.924955845,1.000432968,1.718628764,1.103406429,1.384258389,1.199523211,2.038933039,1.169494987,0.870415807,0.024148989,0.841542661,1.031750083,1.842006803,0.548332989,0.344708145,0.028074754
203.9999847,-0.000432236,0.571007729,0.210491076,0.135673836,0.246028021,0.75131619,1.057059407,0.576976419,0.512250006,0.018821973,0.471262574,0.102650553,0.145745426,0.107632004,0.181958303,0.077255085,0.566372275,1.290444255,1.4445467,0.026986061,0.927672446,1.002845168,1.713935375,1.106898189,1.387576818,1.208301187,2.040293217,1.170729756,0.87057066,0.023346536,0.851882458,1.036630154,1.866804957,0.554953635,0.345998526,0.026780978
203.1999969,8.40E-05,0.57679975,0.212997124,0.13520734,0.248076826,0.757655799,1.060777068,0.582287312,0.519078136,0.017276494,0.477355987,0.104351446,0.147240982,0.109511614,0.182066232,0.076968528,0.572131991,1.30354917,1.445484757,0.024957618,0.937182725,1.014104247,1.739855051,1.109876037,1.396362782,1.214087367,2.031300783,1.185756803,0.876737475,0.024344865,0.861452878,1.046470404,1.871027589,0.558069944,0.349225044,0.027818954
202.3999939,9.62E-05,0.574349761,0.215177432,0.136502311,0.249444917,0.757809222,1.067864895,0.590697348,0.524874508,0.018595392,0.476988852,0.103065096,0.149861813,0.110036366,0.182082489,0.078149974,0.579088807,1.308377147,1.448360801,0.024136893,0.944408536,1.018461227,1.760089159,1.116509318,1.403485537,1.218501329,2.055523872,1.184349298,0.880536735,0.023043383,0.8543185,1.053267837,1.890011311,0.561075687,0.35198313,0.028462362
201.5999908,0.000740685,0.579806984,0.217990235,0.140101269,0.250923008,0.768176973,1.067692399,0.597835004,0.529463828,0.017965321,0.481145352,0.104905561,0.148944527,0.110758536,0.184523165,0.078258544,0.583316326,1.309412122,1.454499841,0.026309134,0.944708407,1.033060193,1.750231981,1.117406368,1.414650917,1.223616242,2.06420207,1.193045497,0.881794691,0.025983682,0.862382233,1.057363749,1.893357515,0.564285636,0.354956508,0.027316043
