wavelength (nm),DOMBlank1,DOMSTD13,DOM11196,DOM11311,DOM11312,DOM11313,DOM11315,DOM11316,DOM11317,DOMBlank2,DOM11528,DOM11529,DOM11530,DOM11531,DOM11532,DOM11533,DOM11534,DOM11535,DOM11536,DOMBlank3,DOM11537,DOM11548,DOM11549,DOM11550,DOM11551,DOM11552,DOM13663,DOM12011,DOM12068,DOMBlank4,DOM12094,DOM12098,DOM12099,DOM12211,DOM12389,DOM12415,DOM12417,DOM12985,DOM13062,DOMBlank5,DOM11441,DOM11593,DOM11739,DOM11752,DOM11756,DOM11787,DOM11859,DOM11894,DOM11917,DOMBlank6,DOM11918,DOM11927,DOM11959,DOM11979,DOM11984,DOMBlank7
889.5999756,-0.003082306,0.002944444,0.006729544,0.013839565,0.009112785,-0.000259559,-0.00179309,0.0053407,-0.005368718,-0.009452802,-0.006095517,0.004437889,-0.00698411,0.003888708,-0.000831282,0.001085953,-0.005776898,-0.010192072,0.000138875,-0.014507787,-0.012561629,0.001555137,0.00130228,0.003736593,-0.004729305,-0.003227195,-0.005028583,-0.001290464,-0.006383346,-0.003319376,-0.005163461,-0.008594631,-0.001670209,-0.004621594,-0.000309745,-0.008456752,-0.001978404,-0.002359556,-0.00190671,0.002866995,0.007656025,-0.003830284,-0.005508092,-0.003785943,0.011628727,-0.000942107,-0.005215948,-0.002691806,-0.009954323,-0.003982003,-0.006920371,-0.010161931,-0.005517089,-0.007048144,0.00106566,-0.00679934
888.7999878,-0.000818364,0.012945254,-0.007497851,-7.59E-05,0.003405388,0.009069354,-0.003825306,-0.003705976,0.003818533,-0.008280583,0.007107525,0.017001532,0.003812761,0.014380585,0.006684564,0.004697419,0.010439619,0.010803329,0.014479385,0.011761583,0.004477878,0.002032058,0.006254214,0.013183689,0.009398349,0.01202662,0.005493955,0.000340845,0.000865142,0.001402486,0.006163937,0.001691885,0.006788517,0.005678682,0.015539524,0.015108811,0.002779893,-5.09E-05,0.010241512,0.007456313,0.003725314,0.004596006,0.011629632,-0.003699867,0.009546956,0.012929332,0.009587391,0.012483803,0.017247537,0.010459612,0.011314088,0.001690066,0.002221849,0.00674637,0.005788087,0.013466602
888,-0.007479888,-0.011896005,-0.017496882,-0.011591645,-0.007535759,-0.004459082,0.001304981,-0.007694734,0.000163294,-0.00648195,-0.004208431,-0.012255721,-0.003030434,-0.005636383,-0.004679166,-0.012706959,-0.000409789,-0.012126703,-0.000601122,0.001630066,0.00547508,-0.001943048,0.001977888,-0.000260904,0.000233761,0.003419633,-0.005188018,-0.011130214,0.001904901,-0.00103932,-0.002690725,0.005587633,-0.002111193,-0.002360225,-0.000971294,-0.005423686,-0.013445082,-0.008896178,-0.001284476,0.000470655,0.008732553,-0.013611593,-0.00498677,-0.009879481,0.004023763,0.00232362,0.00948893,0.003253885,-0.005888918,-0.002780912,0.001261961,0.002134175,-0.00494741,-0.002671688,-0.004673788,-0.001592893
887.2000122,0.00859629,0.014604362,0.015260378,0.00943988,0.005118711,0.012532558,0.007296783,0.002796749,0.010560017,-0.003450215,-0.004025913,0.004083807,0.023015788,0.006502613,0.010685623,0.007417209,0.014151468,0.000205687,0.0215618,0.007440276,0.004148511,0.012699993,0.01034412,0.009920962,0.014749807,0.005728647,0.008454183,0.020355528,0.00532647,0.006832324,0.011097522,0.008822283,-0.001366439,0.013010519,0.020049278,0.009565982,0.000147005,0.005103152,0.005940713,0.013872383,0.014163824,0.005646084,0.012529121,0.014656221,0.018715478,0.016947616,0.013392086,0.01843296,0.0142033,0.007054665,0.006965273,0.017759141,0.012824779,0.016214905,0.008236691,0.014807362
886.4000244,-0.005784203,0.002498725,-7.43E-05,1.93E-05,0.000325612,-0.003203555,-0.001732762,0.011023066,0.0026415,-0.00383054,0.00021413,0.001268944,0.003771216,0.001688402,-0.000966128,-0.00279012,-0.000274615,-0.00394681,-0.003698892,0.008683879,-0.006634071,-0.005682732,0.009441283,0.004480571,-0.000852416,0.001187147,0.001784122,0.004305817,0.01222754,-0.002179093,0.008560409,0.004182017,-0.000476403,0.001067554,-0.001296658,0.002116122,0.003964303,0.008972914,-0.000827459,0.004878039,0.002630405,0.000309266,-0.003361093,-0.006650234,0.000705499,0.003526539,0.006738115,0.001166356,0.009131976,0.008229463,-0.003309768,0.000140221,-0.001358956,-0.008196866,-0.004426182,0.001808998
885.5999756,-0.002136335,0.012162606,0.001905993,0.002193542,0.009660807,-0.000685902,-0.001999946,-0.006507094,0.006886656,-9.10E-05,0.004436242,-0.000886931,-0.003083282,-0.003437169,-0.002050704,0.005895421,0.006555616,0.008120311,-0.00393855,0.000880471,0.006303904,0.00131843,0.007897899,-0.000523409,0.001209133,-0.004544496,0.005024793,0.002117995,-0.001350698,0.007594037,0.003909081,0.003780198,0.011026783,0.003662082,0.005050484,0.002956302,0.006684958,-0.00425319,0.005501872,0.004433025,0.004550776,0.004174333,0.001708673,0.000741645,0.009191223,0.002455378,0.002956876,0.001333152,0.003277462,-0.000448321,0.002719691,0.006750655,0.001781965,0.002494898,-0.006930816,-0.006037623
884.7999878,0.001746825,-0.001998606,0.004339387,0.000194836,0.000129604,0.003011637,0.000122303,-0.003076291,-0.008261331,-0.004475889,0.003917858,0.000944492,-0.005980996,-0.0055818,0.00204064,0.009406602,0.001570802,0.008038295,-0.003633335,-0.000982141,-0.007226392,-0.004751837,0.001266478,0.006334871,-0.002427262,-0.001650507,-0.00030157,0.002767024,0.005444777,0.008163225,0.006199331,0.001550227,-0.001053316,0.000307401,0.003057777,-0.006590424,0.002944131,-0.001365046,0.008353235,-0.003890013,0.00403714,-0.004614013,0.003393856,-0.004515343,0.00015278,0.000784328,-0.001162431,0.001497701,0.00431983,0.005558056,-0.00167124,-0.004561607,0.002956902,0.003656209,-0.006720639,-0.007875209
884,0.005962863,0.00655015,0.002401181,0.001888547,0.000549907,0.006317667,0.008500456,0.007361573,-0.004694019,-0.00040384,0.009217876,0.010680263,0.004426147,0.006117519,0.001569295,0.008501089,0.009940588,0.003143656,0.00885491,0.003625745,0.017666601,0.010764744,0.009269836,0.008012322,0.012550436,0.002003503,0.006697287,0.00654408,0.007478672,0.011872639,0.004289398,0.004872567,0.010276498,0.014432766,0.006041391,0.010323151,0.011636412,0.004739185,0.003576701,0.005815607,0.006129202,0.007696891,0.005305165,0.012356638,0.011485998,0.007917276,0.00601349,0.007888884,0.009953672,0.004966217,0.007065005,0.008805244,0.00322744,0.004796632,0.011108597,0.010096827
883.2000122,-0.004622516,-0.002816148,-0.011051637,-0.006660023,-0.006710902,-0.009674168,-0.009412679,-0.012236394,-0.00730098,-0.010662078,-0.00450694,-0.007813686,9.03E-05,-0.004178794,-0.008284494,-0.012666332,-0.014608819,-0.014395263,-0.008730285,-0.002874525,-0.008555698,-0.003035061,-0.004196176,-0.006389315,-0.002943231,-0.006730069,0.001848459,-0.000795678,0.007921995,-0.00740304,-0.006088677,-0.003099526,-0.004474249,-0.005781904,-0.004645157,-0.014068893,-0.0005307,-0.003275446,-0.00654305,-0.00651704,-0.004465077,-0.000172263,-0.007383953,0.004528908,-0.002830344,-0.003473893,-0.004902211,-0.010292595,-0.004682803,-0.002360328,-0.003729485,-0.008462896,-0.009504925,-0.011525908,0.002904206,-0.001518815
882.4000244,-0.009189152,-0.005891217,-0.002086153,-0.006444613,-0.003176779,-0.006533513,-0.002465512,-0.011639228,-0.001819075,-0.00283199,-0.002991565,-0.001598877,0.000927578,-0.007423704,0.000304318,-0.006712482,-0.00193944,-0.000128582,-0.004370217,-0.004822397,0.004688365,-0.006403446,-0.006303294,0.001550876,0.001202799,-0.004192485,-0.003546868,-0.005421692,0.0035571,-0.006189185,-0.005349542,0.005759232,-0.00423827,-0.002597021,-0.003772599,-0.005379865,-0.004982522,0.002082619,-0.006397682,-0.00023436,-0.00436053,-0.000694017,-0.008953439,-0.001848461,-0.01047068,0.001341539,0.00150978,-0.00555788,0.001246462,-0.003902276,0.001949622,-0.007280412,0.003419633,-0.00643237,-0.006921543,-0.006084593
881.5999756,0.000303775,-0.00208636,-0.01087167,-0.000111451,-0.002738573,0.004550514,-0.001581132,0.004101994,-0.003492947,-0.002453518,-0.006113078,1.96E-05,-0.001377329,-0.000227323,-0.003525095,-0.000936579,-0.000449717,-0.007969967,0.005484701,0.000228763,-0.000263181,0.000891184,0.000718308,-0.000739192,0.004410875,0.000753339,-0.000112486,0.005221923,-0.000728389,-0.000614926,-0.000954867,0.003619977,-0.003327391,0.000300796,6.56E-05,-0.000550349,0.007089264,0.003123606,-0.001335834,-0.002999226,-0.000322885,-0.000579873,-0.005548679,-0.000252988,-0.002004068,-0.000683421,-0.005715281,-0.00238458,0.001398071,0.00337669,-0.005912872,-0.001719974,0.001282055,-0.001658243,-0.003113508,0.000776548
