wavelength (nm),DOMBlank1,DOMSTD14,DOM11604,DOM11978,DOM12027,DOM12029,DOM12036,DOM12039,DOM12042,DOMBlank2,DOM12049,DOM12050,DOM12059,DOM12067,DOM12089,DOM12095,DOM12097,DOM11907,DOM11980,DOMBlank3,DOM11991,DOM12056,DOM12066,DOM12082,DOM12091,DOM12092,DOM12093,DOM12294,DOM12296,DOMBlank4,DOM12302,DOM12303,DOM12319,DOM12330,DOM12387,DOM12986,DOM13015,DOMBlank5
872,0.001019213,0.003271385,0.001226499,-0.000290033,0.002068054,0.006546366,0.004120783,0.000552032,0.003553237,-0.003847321,0.000184839,-0.000102755,0.002544107,-0.001882432,0.002053177,-0.000744515,-0.000307003,0.003898842,0.001221748,0.003920026,0.0023928,0.004254316,-0.002550496,0.002418127,0.003274567,-0.001352401,0.000685639,0.000384629,0.003337455,0.004014593,0.001180787,0.001332737,0.001299424,0.0004528,0.00565778,0.004080776,0.001457363,0.004311385
871.2000122,0.00156106,0.005136994,0.006420612,-0.001169763,-0.002458923,0.000549674,0.00113508,0.001287118,6.35E-05,-0.000191462,-0.000492951,-0.002827361,0.005123818,-0.005219273,-0.001360711,0.001189379,-0.001719149,-0.003876005,-0.000627798,0.002409329,-0.001691198,-0.004047097,-0.00604283,-0.000823686,-0.000175368,7.60E-05,-0.001539244,0.001373375,-0.001678718,-0.002905331,-0.001832324,0.002595223,0.002339106,0.00244257,0.001726527,-0.001280914,0.002104599,0.000460989
870.4000244,0.003930866,0.004155045,0.001100615,0.001558072,0.005058995,0.002690648,0.000987351,0.004708201,0.005375922,0.003217008,0.003073575,0.004705453,0.008004201,0.001673252,0.001547291,0.003195233,0.000393801,0.001938832,-0.003048634,0.00438925,0.000819987,0.006094443,0.002538066,0.005402105,0.004606131,0.000278622,0.000157156,0.006059845,0.003415406,0.000736614,0.00645834,0.007154049,0.006020157,0.001504923,0.002530411,0.003624023,0.004758316,0.001612943
869.5999756,0.00301268,0.004360618,-0.002527489,0.00133323,-0.00202195,0.003054231,0.002404175,0.000270981,-0.000490469,-0.001713683,-0.00061353,0.000410823,-0.000732938,-0.000200777,-0.000362925,-0.001220928,-0.001832273,0.00020548,-0.00086616,0.001952951,3.09E-05,-0.002278347,0.002482297,0.001219412,0.001712727,0.001177102,-0.001453547,-0.001756482,0.004481487,-0.001045724,-0.000522841,-0.001091068,0.000814878,-0.000954918,-0.001707391,0.004237221,0.004099799,0.000794909
868.7999878,-0.000469938,-0.00054068,0.001867566,-0.00373893,-0.003702074,0.003216018,-0.002947242,-0.001662111,-0.00090398,0.000130821,-0.001070049,0.002265459,-0.002150399,-0.000607429,2.81E-05,-0.001744365,0.000186056,-0.000669154,-0.002018858,-0.002240286,-0.005692032,-0.004325111,0.002084492,-0.00120797,0.001934463,-0.000167398,0.0003038,-0.00127059,0.000305277,-0.002148081,-0.00405438,-0.002077137,0.000435491,-0.005522559,-0.000488349,0.000183959,-0.004462413,-0.000103376
868,-0.003211212,-0.00078617,-0.003695144,-0.004663903,-0.005698317,-0.001137801,-0.007079725,-0.005663366,-0.00589326,-0.008922908,-0.003237164,-0.002487236,-0.005597593,-0.010951339,-0.006693161,-0.004764691,-0.004702828,-0.003724763,-0.002941637,-0.003284489,-0.007155153,-0.003435885,-0.007696718,-0.005778124,-0.004907023,-0.004119771,-0.00615412,-0.002315683,-0.004055714,-0.005439945,-0.000811285,-0.001863307,-0.003214039,-0.005364014,-0.00397005,-0.004692482,-0.000745652,-0.006665376
867.2000122,-0.001251955,0.00100803,-0.0026421,0.002020329,0.003300807,0.001267932,-0.001533673,0.000359265,0.002317036,0.000211255,0.002815091,0.001598679,-0.000424478,-0.001405299,0.001547239,-0.001733072,-0.002359607,0.002115888,-0.000761002,-0.000507276,-0.001104856,-0.003002157,0.000884103,-0.001367678,-0.001107593,-0.001437912,-0.002243582,-0.000116471,-0.003271284,-0.000724616,-0.00350671,-0.000244554,-0.00229081,0.00170098,-0.00137929,-0.001839181,0.001044408,-0.0009871
866.4000244,-0.000478782,0.001864603,-0.00151964,0.001911271,-0.001977476,0.000911676,-0.000887086,4.14E-07,0.002287057,-0.003911922,-0.002249247,-0.005644917,0.000808083,-0.002864496,-0.003491868,-0.004653403,-0.002320833,-0.001649063,0.000530624,-0.003680463,0.000620334,-0.002556363,-0.001445033,-0.001414794,-0.003500085,-0.001931709,-0.00129227,-0.002364808,-0.003941628,-0.002254089,0.000986313,0.000576138,-0.00040472,-0.002339165,-0.002558525,0.001107337,-0.001027957,-0.003676048
865.5999756,0.001104612,0.001963326,-0.000271355,0.001843077,-0.00049926,-0.002348794,0.000891106,-0.001222012,-0.001030746,0.001308823,5.74E-05,-0.000764413,0.000961485,6.89E-05,0.003031656,-0.00035232,-0.000673186,0.000602759,-0.00389499,-0.003821252,-0.000469163,0.003996043,-0.002046478,-0.000675719,-0.000504587,0.000649939,0.000921119,0.001670602,0.001182137,-0.002859405,0.001091688,0.003349403,0.001326349,0.000701429,0.003250416,0.002665565,0.003065962,0.002323568
864.7999878,0.003078293,-0.000769684,-0.00235245,0.003145116,-0.000557898,0.003685891,-0.002306105,0.001575141,-0.001614506,-0.003880931,-0.001910267,-0.001578863,-0.000125477,0.000553069,-0.001146993,0.00088501,-0.000532717,-0.001696046,0.001522742,-0.001452928,-0.002117943,-0.00045582,0.002191799,0.003097768,0.004077483,-0.00339022,0.001085538,0.001192883,0.001392436,0.001766838,0.002692237,0.001638147,0.002653637,0.001039296,-0.00086027,0.000628448,0.005453559,0.002760719
864,-0.000439787,-0.001805155,-0.005699595,-0.001849182,-0.005293593,0.000261035,0.000635707,-0.002585596,-0.001471194,-0.003057116,0.0001331,-0.004454009,-0.001598516,-0.001319524,-0.004807805,-0.001605531,-0.003484986,-0.004000419,-0.00274665,-0.003601091,-0.001445859,-0.001756018,-0.004040634,-0.002440905,0.000642603,-0.003375631,-0.003273134,0.002158238,-0.000126564,-0.002966833,-0.001463764,0.001319806,0.001404979,-0.002214069,-0.002868508,-0.001676655,-0.000640051,0.002252839
863.2000122,0.002850865,0.001994427,0.002375361,0.003738133,0.005389499,0.005683901,0.003958974,0.004026925,0.003481185,0.003514535,0.003928306,0.003090807,0.001404953,0.005389996,0.003360333,0.00164311,0.002743943,0.001884179,0.000195069,0.00253804,0.001094802,0.002688356,0.00492011,0.00244749,0.006470321,0.002193308,0.002137661,0.004003123,0.006095361,0.003749413,0.003557439,0.003120868,0.003104103,0.007764296,0.002877444,0.003309049,0.00491558,0.002817905
862.4000244,0.001200385,0.001076118,0.001978226,0.000600633,0.001357457,0.000539332,0.000918265,-0.001550233,-0.00083738,-0.001022534,0.001980878,0.001375063,0.001246696,0.000799343,0.000664716,0.000184011,-0.00131013,-0.000406271,0.00067685,-0.001885267,-0.00325073,0.000165495,-0.003096853,0.000473557,0.002224425,-0.000209315,-0.001888669,0.002948849,-0.000353148,-0.000596469,0.001884231,0.001596575,-7.79E-05,0.001107441,0.00160915,0.001875028,0.003589124,0.001761483
861.5999756,-0.001424909,-0.005119973,-0.00575171,-0.004982573,-0.002135047,-0.00275092,-0.005338598,-0.002431947,-0.004389386,-0.004479988,-0.005836666,-0.003966818,-0.006251703,-0.004683315,-0.003786508,-0.002832762,-0.003846603,-0.00555788,-0.001351163,-0.003607612,-0.006848113,-0.002704514,-0.005873494,-0.003660134,-0.001902999,-0.004552385,-0.003897504,-0.000287032,-0.003908023,-0.004306043,-0.003042362,-0.0030693,-0.000104515,-0.004034325,-0.001793503,-0.006817739,-0.000594401,-0.003977591
860.7999878,-0.003598986,-0.002741146,-0.00573296,-0.006131507,-0.000634416,-0.00485455,-0.00523641,-0.005078067,-0.002731217,-0.003528844,-0.004051559,-0.003537522,-0.002824995,-0.002441111,-0.003772805,-0.004715478,-0.003986107,-0.00178613,-0.00391654,-0.005654218,-0.000843064,-0.006909059,-0.006640597,-0.005168526,-0.003023442,-0.004242423,-0.003681849,-0.00349952,-0.002581788,0.0004457,-0.00467174,-0.001982475,-0.004106591,-0.002748451,-0.003738878,-0.003310333,-0.003237164,-0.003296101
860,-0.000356873,4.88E-05,0.001285742,-0.00080653,-0.000552986,0.002914604,-0.001812733,0.001117821,0.000761871,-0.002057248,-0.001302439,-0.001836139,0.001465441,0.000411082,0.000820998,-0.000965973,1.59E-05,0.001066983,0.000289165,-0.001917535,-0.001176837,-0.000388375,-0.001598309,-0.001270539,-0.000194878,0.000578756,-0.000377357,0.000206671,0.002441737,0.000168835,-0.000814437,0.001930719,0.002111128,0.001423132,-0.000331938,6.91E-06,0.000863637,-0.001434197
859.2000122,-0.00072136,-0.000772733,-0.002964468,-0.004577027,-0.001661235,-0.001092979,-0.001580152,-0.002134738,0.000966907,-0.003256588,-0.002914176,-0.002025918,-0.003350099,-0.001686557,-0.002474573,-0.002728387,-0.004243603,0.002130247,-0.002446722,-0.00300082,-0.004767097,-0.002201037,-0.002568149,-0.001398436,-0.004262981,-0.000178266,-0.001782469,-0.001081566,-0.002326497,-0.004848713,0.002027351,-0.003603505,-0.002983133,-0.002474418,-0.001307859,-0.003330987,9.32E-05,-0.002845363
858.4000244,0.001658181,-0.002019013,-0.00540083,-0.003309974,-0.002649407,-0.002339783,-0.003604686,-0.005391575,-0.0017044,-0.001618735,-0.003303551,-0.001915731,-0.000153942,-0.002976705,-0.003378919,-0.001877483,-0.003047246,-0.0009871,-0.005261473,-0.003438042,-0.003466445,-0.00200917,-0.004119669,-0.000952025,-0.003821406,-0.002990794,-0.002436426,-0.003549385,-0.001460564,-0.002175023,-0.001136149,-0.002943025,-0.000178939,-0.000718931,-0.001993452,-0.002814142,-0.003492176,-0.002987555
857.5999756,-0.001197128,-0.001519847,0.002361514,-0.003125844,-0.000536388,0.001213572,-0.000366442,0.000284166,-0.000287084,0.000382504,-0.001828819,-0.001243385,-0.000540525,0.001174765,-0.002741351,-0.001049236,0.000677213,-0.001025271,-0.00127854,-0.002313984,-0.00050438,0.002802872,-0.00149049,-0.000888584,-0.003055985,-0.00206678,-0.002378041,-0.001971189,0.002788829,-0.000844769,0.001217258,-0.000529821,0.000961692,0.000480113,0.000184736,0.001439416,-7.25E-07,0.000659946
856.7999878,0.001276577,0.00405982,0.004555066,0.001369064,0.000716882,0.004012842,-0.000271666,0.002040874,0.000862392,0.002229082,0.00276296,0.000848412,0.001031511,4.03E-05,0.000118341,0.003324621,0.000833214,0.000528395,0.002824862,0.001011169,0.000702595,0.000110185,0.00228089,0.001450974,0.001042591,0.002518955,0.002004205,0.001661403,0.001655063,0.003501278,0.000866335,0.001834317,0.003002358,0.002285105,0.003018727,0.002545617,0.001349771,0.003763904
856,-0.002097798,-0.002660368,-0.001529185,-0.002774327,-0.001996854,-0.003737184,-0.00152645,-0.001122982,-0.003865794,-0.004445758,-0.00270009,-0.003588666,-0.001648908,-0.001725904,-0.005015532,-0.005127341,-0.002340761,-0.00458338,-0.002904611,-0.002040604,-0.002690159,-0.003914333,-0.005285257,-0.002478588,-0.002344623,-0.003767313,-0.001913617,-0.001027337,-0.002181565,-0.001000427,-0.000712005,-0.000411702,-0.002577567,-0.001879597,-0.004594189,-0.002633764,-0.001150401,-0.002153696
855.2000122,-0.000881661,-0.000392927,-0.000889204,-0.003075263,-0.001950058,-0.000889721,-0.002447031,-0.00048054,-0.000349113,-0.000551849,-0.00134115,-0.001443433,-0.002576126,0.001316015,-0.002475242,-0.001800463,-0.004491978,0.00019683,-0.003114999,-0.001628896,-0.003280327,-0.001550542,-0.001400706,-0.002605513,0.001213052,-0.001617394,-0.001810465,0.000480373,-0.000791648,-0.000336491,-0.000907287,-0.001404835,0.003439201,5.92E-05,-0.000786945,-0.001119315,-0.001124169,-0.000671687
854.4000244,0.00052049,-0.001065349,-0.000358683,-0.002414339,0.000451142,-0.003511178,-0.000893182,-0.000246416,-0.002361667,-0.000305037,-0.001286386,1.23E-05,0.002286433,0.000617016,-0.00208265,-0.001958922,-0.001239152,0.00095915,-0.002964519,0.001762835,-0.003687958,-0.000281341,-0.000772992,-0.002597947,-0.001667939,0.002756343,-0.001457004,0.00201765,-0.002144526,-0.000398202,-0.001318079,0.000609732,0.001201916,0.001254847,0.000829324,0.000444845,0.001475493,0.000152547
853.5999756,0.002547414,9.98E-05,-0.000391582,0.00256887,0.0010216,0.000631818,-0.001947326,0.000842914,0.00040603,-0.000792268,-0.000741311,-0.001980723,0.000410616,-0.000102496,-0.001278127,-0.001092307,-0.000930948,0.001686194,0.000407118,-0.000515808,-0.000994022,-0.001681606,0.001738586,0.00134063,0.000527462,-0.001586549,0.000181965,0.000856064,0.000352788,0.000850954,-0.001105063,-2.87E-05,0.003804353,0.001647423,4.53E-05,-0.001386618,0.002241234,-9.84E-06
852.7999878,0.000876373,-0.000199121,-0.000989683,-0.001369175,0.001175752,0.00152069,-0.001603726,0.000955077,-0.00085252,-0.00168336,-0.000982451,-0.000824203,0.000149543,-0.001795049,0.00010032,0.001043396,-0.000315228,-0.000648373,0.001668757,-0.000432184,-0.002481573,0.001370337,-0.000620613,-9.59E-05,0.001159607,0.001844793,-0.001733691,8.88E-05,0.001156311,0.002134539,0.000483975,-0.000875926,0.003167332,0.003565112,-0.002236474,0.001543031,0.00071167,0.000798902
852,-0.002147772,-0.001727915,-0.002586368,-0.003603145,-0.001507929,-0.00319266,-0.002929655,-0.001791956,-0.002136077,-0.004151719,-0.00447015,-0.002370318,-0.003998521,-0.004128181,-0.003450472,-0.00226372,-0.004299174,-0.002581736,-0.003065085,-0.003273853,-0.000844562,0.000146177,-0.003066267,-0.003695452,-0.003402497,-0.00158985,-0.002193207,-0.000133965,-0.001707443,-0.001579121,-0.002179453,-0.002632118,0.000764127,-0.000944793,-0.003603248,-0.000704769,-0.00158985,-0.001089312
851.2000122,0.00111097,0.000662305,0.000676617,-0.00173137,-0.002828338,-0.000191514,-0.002468292,0.000529354,0.001066698,-0.000104981,-0.000199328,0.00043334,-0.000398461,-0.000306123,-0.002575869,0.000449354,0.000614994,-0.000452872,-0.001178541,-0.001068758,-0.002524709,0.000876866,-0.002960457,-0.001540534,0.000704073,-0.001009724,-0.000952542,-0.000551073,0.000745119,-0.00103808,0.000950744,-0.001820879,0.003942255,-0.001206989,0.000805438,0.000970331,0.001248253,-0.001487033
850.4000244,-1.08E-05,0.001448299,-0.001119212,0.001607149,-0.003586818,-0.003847578,-0.003805138,-0.002643387,-0.001062716,-0.003321431,-0.002075539,-0.00226269,0.0002392,-0.003468038,-0.002872314,-0.000454837,-0.004232118,-0.002448782,-0.002452025,-0.002958349,-0.002027773,-0.001649218,-0.003183872,-0.005126471,-0.000818312,-0.002151017,-0.002524863,-0.001681709,0.00054449,-0.001243489,-0.00133604,-0.001862276,-0.001788914,-0.001583196,-0.002061061,-0.000411806,0.00037797,-0.002577156
849.5999756,-0.00021863,0.000220035,-0.001638026,0.000516914,0.000748646,-0.000111658,-0.000985086,-0.00062511,-0.000959929,0.000678328,-0.000584474,0.000329576,-0.002338907,-0.000788237,-0.001114048,-0.002924564,-0.001011067,0.001658285,-0.00225651,-0.000700013,-0.001284682,0.001736065,-0.000773095,0.001595925,-0.001924906,-0.000914106,-0.002248732,-0.001065453,0.000608176,0.000950044,0.002138441,0.000603433,0.002191278,0.000730573,-0.000976924,-0.000501898,0.000680531,-0.000230945
848.7999878,-0.000759141,-0.002285453,-0.000506035,-0.000751337,0.000970773,-0.000259145,-0.003433676,-0.001939647,-0.000487573,-0.001185614,0.000513311,-0.001095509,-0.000725185,-0.002875965,-0.002982002,-0.00040653,-0.000560587,-0.002877148,-0.003019997,-0.002272166,-0.002219992,-0.001158456,-0.003734515,-0.000854638,-0.001301871,-0.002782815,-0.001381973,0.001982387,0.001987432,0.000871211,-0.000171435,-0.000553762,0.002467536,0.000883739,-0.000477385,-0.001851193,0.001584416,-0.000986687
848,-0.000105602,-0.000513895,-0.000239017,-5.40E-05,0.000702984,-0.001834438,-0.003109499,0.00100502,0.000990413,-0.000158807,-6.17E-05,-0.003771881,0.001220165,0.001060444,-0.001189693,0.000430542,-0.00055826,0.000592675,-0.000258058,0.000819676,0.00237799,-6.07E-05,-0.001421554,0.000121137,-5.35E-05,-0.001897845,-0.003155656,8.97E-05,-0.000912143,-0.000121543,-0.001383883,-0.001157216,0.003386917,0.000153324,0.000272535,0.000501882,0.001363923,0.000181913
847.2000122,0.000981202,0.001158881,9.21E-05,-0.00067055,0.000921015,-3.40E-05,-0.001653963,-0.000130756,0.00033556,-0.000797125,0.002452645,0.000273105,0.000790759,-0.001225575,-0.002438794,-0.00011378,0.000229669,0.000375017,0.000887604,-0.00193542,-0.000259714,0.000228866,0.000744108,0.002070681,-0.001088021,0.001234157,0.001238544,0.001248072,0.002265641,0.002238371,0.000516732,0.000789151,0.001251732,0.001429339,0.002363336,-0.000816349,0.001665691,0.001326557
846.4000244,0.001369895,0.002524891,-0.000367736,0.000525104,0.001697628,0.003145638,-0.001562098,1.86E-05,0.002012423,0.001800082,0.000504111,-5.81E-05,9.35E-05,0.001332114,-0.000556916,0.001312303,0.000880393,0.002727948,0.00077214,0.000691576,-0.00154234,4.71E-06,0.000479336,0.001528457,0.00361165,0.00040787,0.001808894,0.000859669,0.000209131,0.001457415,0.000443912,0.003104912,0.001755142,0.000820713,0.000866205,0.001212507,0.002047298,-0.00024414
845.5999756,0.001594159,9.76E-05,0.001936803,-0.000176506,0.002211884,-0.000782345,1.88E-05,0.000387971,-3.93E-06,0.00115914,0.000651287,0.000811584,-0.001013391,-0.000761415,-0.00023317,0.001772738,0.001420561,-0.000158963,0.001185018,0.000906099,-0.002740477,0.001157998,-0.000169882,-0.000265768,0.000514218,6.50E-05,-1.87E-05,0.000319758,0.00068608,0.003373611,0.000704462,0.00057987,0.001833173,0.00303992,0.001393163,1.42E-05,-0.001139299,0.000101304
844.7999878,-4.40E-06,0.001367272,0.001954121,-0.000846216,0.002076221,0.000939537,-0.001344608,0.002144164,4.71E-05,0.00040476,0.000132608,0.000433651,0.000516577,0.002200905,-0.00149632,0.000381882,0.001115045,0.002192033,-0.000879232,0.00148009,-0.000136812,-0.000281341,-0.000826787,0.000290719,0.002737352,0.000184865,0.001940678,0.000177899,-0.000329403,0.004020132,-0.001271261,0.001118029,0.003807643,0.000811247,0.000228815,0.002138857,0.005020708,0.000285202
844,-0.00113744,-0.000285118,-0.001738589,-0.001189538,-0.001210706,-0.001146889,-0.002348434,-0.001837686,-0.002967244,-0.003602375,-0.000826064,-0.001267132,-0.005234926,-0.002096767,-0.002571546,-0.001848306,-0.003956045,-0.001078622,-0.001738589,-0.004104899,-0.002691549,-0.003113405,-0.001011997,-0.002302139,-0.00216199,-0.001974642,-0.001340582,-0.000755937,-0.001234248,5.27E-05,-0.00146624,-0.000665536,0.000178313,0.000105343,-0.002088318,-0.00159898,-0.000927125,0.002498126
843.2000122,-0.002551268,-0.000768185,-0.000977647,-0.002231581,-0.00196655,-0.000923044,-0.001505452,0.000742915,-0.000687866,-0.00040684,0.000871211,-0.000404513,-0.002356261,-0.003320352,-0.003082717,-0.002532275,-0.002029525,-0.001364736,-0.003094078,-0.00054249,-0.000638345,-0.002074561,-0.001085542,-0.002645651,-0.001065608,-0.003019946,6.84E-05,-0.001262228,-0.002342975,-0.000149595,-0.000646771,-0.001672529,-0.000508568,0.000392142,-0.00038134,-0.000799399,7.65E-05,-0.001002493
