wavelength (nm),DOMBlank1,DOMSTD24,DOM12226,DOM12229,DOM12430,DOM12454,DOM12480,DOM12832,DOM13036,DOMBlank2,DOM13039,DOM13121,DOM13155,DOM13242,DOM13297,DOM13329,DOM13368,DOM12855,DOM12857,DOMBlank3,DOM12868,DOM12912,DOM12913,DOM12930,DOM12939,DOM12942,DOM12963,DOM12965,DOM13092,DOMBlank4,DOM13093,DOM13095,DOM13096,DOM13097,DOM13110,DOM13139,DOM13142,DOM13210,DOM13665,DOMBlank5
877.5999756,-0.006856318,-0.005950714,-0.007643614,-0.021391882,-0.018788673,-0.022656726,-0.016369788,-0.023542559,-0.015105275,-0.02844489,-0.019695237,-0.023197964,-0.015837889,-0.018395077,-0.033108473,-0.02226436,-0.027378894,-0.029521722,-0.019350743,-0.023763575,-0.02353839,-0.02516965,-0.032628298,-0.029493377,-0.033916332,-0.024747128,-0.020582877,-0.027688423,-0.036453724,-0.028619079,-0.033992365,-0.033050183,-0.035181127,-0.029658588,-0.030915238,-0.031899486,-0.04061047,-0.028706267,-0.025524987,-0.033997919
876.7999878,-0.013102124,-0.013344181,-0.020636743,-0.022792233,-0.028507195,-0.024200914,-0.026611364,-0.030989241,-0.026851168,-0.037767738,-0.03341433,-0.033064432,-0.034189802,-0.029907927,-0.029905511,-0.040948689,-0.035225578,-0.034342375,-0.032909054,-0.037777707,-0.039362874,-0.030375622,-0.043603789,-0.038190734,-0.040560912,-0.04401052,-0.038413424,-0.033231169,-0.037070468,-0.040315397,-0.036690917,-0.035770934,-0.036701478,-0.040482249,-0.037280101,-0.04090539,-0.042302646,-0.038249902,-0.036856648,-0.043973699
876,-0.009257372,-0.010532939,-0.023723627,-0.025037082,-0.021800891,-0.027024586,-0.027360374,-0.022735048,-0.023220049,-0.031246781,-0.028966762,-0.033468783,-0.033030558,-0.03327078,-0.029054221,-0.030615384,-0.038115054,-0.037621588,-0.031178508,-0.032782573,-0.031237723,-0.034240473,-0.039470628,-0.042839427,-0.033094607,-0.037236433,-0.038581673,-0.038367882,-0.035181414,-0.034753136,-0.038866896,-0.040240608,-0.027004542,-0.032270219,-0.041714363,-0.035787333,-0.036458772,-0.030174801,-0.035623629,-0.036612883
875.2000122,-0.003060972,-0.015315733,-0.014371523,-0.022482488,-0.019534556,-0.025061958,-0.028900357,-0.028748378,-0.023686811,-0.021745052,-0.024615066,-0.024171386,-0.031312443,-0.030568872,-0.029882168,-0.025599768,-0.029628946,-0.038221408,-0.02907199,-0.028302306,-0.028269079,-0.030439582,-0.030723881,-0.038605262,-0.025321275,-0.035536435,-0.04154944,-0.029711146,-0.022582617,-0.029690983,-0.039194364,-0.038540363,-0.03345076,-0.030402945,-0.031199612,-0.036670458,-0.032243062,-0.037230827,-0.03375192,-0.031017587
874.4000244,0.007044378,-0.009750565,0.000888642,-0.01299426,-0.015860351,-0.015902078,-0.018764626,-0.023952536,-0.020360878,-0.02624712,-0.022587728,-0.019836223,-0.026318707,-0.024141612,-0.024271077,-0.021763125,-0.02478263,-0.026650902,-0.01501151,-0.020968281,-0.025075836,-0.024373289,-0.02332869,-0.029497538,-0.029928515,-0.029289776,-0.027743746,-0.021072209,-0.026779231,-0.030450393,-0.028353574,-0.027576638,-0.02558244,-0.022719916,-0.027432458,-0.032694664,-0.027923118,-0.023120608,-0.037282571,-0.031320728
873.5999756,-0.009914702,-0.012456849,-0.02003135,-0.015415227,-0.023326041,-0.030889828,-0.026397346,-0.025126508,-0.033094704,-0.030442527,-0.03055647,-0.035210155,-0.022589693,-0.026343167,-0.040986236,-0.032435387,-0.034371171,-0.028945984,-0.038626295,-0.041386999,-0.032027524,-0.030287078,-0.038186703,-0.036375411,-0.03676109,-0.03798363,-0.030966872,-0.036927886,-0.032867637,-0.040005628,-0.036028843,-0.03560207,-0.038479056,-0.039758902,-0.037643138,-0.032131918,-0.030902606,-0.036600746,-0.031739842,-0.03707318
872.7999878,0.002943454,-0.01164447,-0.013254907,-0.016153404,-0.023152858,-0.019684203,-0.015838986,-0.017048059,-0.019714927,-0.026324213,-0.024201745,-0.025247227,-0.023667691,-0.021539807,-0.030309094,-0.025237557,-0.022461742,-0.025983965,-0.022858301,-0.023947734,-0.029664632,-0.024557289,-0.029124668,-0.026410352,-0.034433205,-0.030427804,-0.027207417,-0.024224808,-0.017066227,-0.027783958,-0.038359825,-0.026678508,-0.029537926,-0.037867013,-0.031880196,-0.031867493,-0.027753411,-0.036124945,-0.02798875,-0.029420279
872,-0.010839607,-0.016937485,-0.019419912,-0.018641395,-0.026238298,-0.024144208,-0.02314098,-0.027548507,-0.027230661,-0.023548296,-0.03000515,-0.034645166,-0.039574333,-0.027420307,-0.027231975,-0.028788934,-0.030095732,-0.02758004,-0.026722666,-0.03402913,-0.031050604,-0.032790832,-0.029020857,-0.033120465,-0.036049955,-0.034442198,-0.039177001,-0.033440456,-0.030366208,-0.03140964,-0.033477411,-0.031199805,-0.035679236,-0.033155002,-0.032995675,-0.03122404,-0.030667778,-0.034159031,-0.037829291,-0.029775251
871.2000122,-0.001009466,-0.009941571,-0.015067471,-0.016603054,-0.016525213,-0.016480654,-0.025041431,-0.024558023,-0.025258219,-0.023480959,-0.029685762,-0.026929321,-0.02515216,-0.024991043,-0.029305262,-0.029609505,-0.033117682,-0.029792944,-0.027706832,-0.033608723,-0.032101434,-0.029994182,-0.034042344,-0.038465124,-0.029507743,-0.029362218,-0.033164404,-0.035234265,-0.030575482,-0.029467884,-0.037218567,-0.032719485,-0.032579262,-0.027198421,-0.024670634,-0.028741255,-0.023758575,-0.036454629,-0.034555908,-0.036206305
870.4000244,-0.013745789,-0.007826754,-0.024839938,-0.019650657,-0.017067522,-0.022685423,-0.019008355,-0.02674428,-0.021424999,-0.027209751,-0.024037238,-0.028730351,-0.029224826,-0.028422633,-0.030597581,-0.029373832,-0.029977029,-0.033938408,-0.032704651,-0.033124592,-0.029623384,-0.028600611,-0.033665836,-0.030441126,-0.036560297,-0.033490784,-0.038179118,-0.029786805,-0.036140952,-0.034922808,-0.034757104,-0.033373438,-0.036511038,-0.028475972,-0.036205735,-0.03590465,-0.042706184,-0.035279326,-0.035952408,-0.038977608
