Analyseoppdrag	Prøvenr	Tekst på flaska	Stasjonskode	Stasjonsnavn
930-8156	DOM12535	1223-1-40 Øvre Vermedalsvatn	1223-1-40	Øvre Vermedalsvatn
930-8157	DOM12546	1231-1-9 HOH 1274	1231-1-9	HOH 1274
930-8157	DOM12547	1231-3-20 Litlosvatnet	1231-3-20	Litlosvatnet
930-8157	DOM12548	1231-1-7 HOH 1342	1231-1-7	HOH 1342
930-8157	DOM12549	1231-2-7 HOH 1343	1231-2-7	HOH 1343
930-8157	DOM12550	1231-2-2 Kjølo	1231-2-2	Kjølo
930-8157	DOM12551	1231-1-14 HOH 1253	1231-1-14	HOH 1253
930-8157	DOM12552	1231-1-41 HOH 1092	1231-1-41	HOH 1092
930-8157	DOM12553	1231-2-24 Trollavatnet	1231-2-24	Trollavatnet
930-8158	DOM12538	1231-1-9 HOH 1274	1231-1-9	HOH 1274
930-8158	DOM12539	1231-3-20 Litlosvatnet	1231-3-20	Litlosvatnet
930-8158	DOM12540	1231-1-7 HOH 1342	1231-1-7	HOH 1342
930-8158	DOM12541	1231-2-7 HOH 1343	1231-2-7	HOH 1343
930-8158	DOM12542	1231-2-2 Kjølo	1231-2-2	Kjølo
930-8158	DOM12543	1231-1-14 HOH 1253	1231-1-14	HOH 1253
930-8158	DOM12544	1231-1-41 HOH 1092	1231-1-41	HOH 1092
930-8158	DOM12545	1231-2-24 Trollavatnet	1231-2-24	Trollavatnet
930-8159	DOM12554	1233-1-10 HOH 1240	1233-1-10	HOH 1240
930-8159	DOM12555	1233-2-15 HOH 1232	1233-2-15	HOH 1232
930-8159	DOM12556	1233-2-31 HOH 1410	1233-2-31	HOH 1410
930-8159	DOM12557	1233-2-27 Kvannjolvatnet	1233-2-27	Kvannjolvatnet
930-8160	DOM12558	1233-1-10 HOH 1240	1233-1-10	HOH 1240
930-8160	DOM12559	1233-2-15 HOH 1232	1233-2-15	HOH 1232
930-8160	DOM12560	1233-2-31 HOH 1410	1233-2-31	HOH 1410
930-8160	DOM12561	1233-2-27 Kvannjolvatnet	1233-2-27	Kvannjolvatnet
930-8161	DOM12562	1251-1-1 Tjørnadalsvatnet	1251-1-1	Tjørnadalsvatnet
930-8162	DOM12563	1251-1-1 Tjørnadalsvatnet	1251-1-1	Tjørnadalsvatnet
930-8163	DOM12564	1235-2-32 HOH 1167	1235-2-32	HOH 1167
930-8163	DOM12565	1235-1-8 HOH 1241	1235-1-8	HOH 1241
930-8163	DOM12566	1235-1-6 Rundatjørni	1235-1-6	Rundatjørni
930-8163	DOM12567	1235-1-30 HOH 1056	1235-1-30	HOH 1056
930-8163	DOM12568	1235-1-17 Rennebergstjørni	1235-1-17	Rennebergstjørni
930-8163	DOM12569	1235-3-14 Storavatnet	1235-3-14	Storavatnet
930-8163	DOM12570	1235-2-38 Grønlivatnet	1235-2-38	Grønlivatnet
930-8164	DOM12571	1235-2-32 HOH 1167	1235-2-32	HOH 1167
930-8164	DOM12572	1235-1-8 HOH 1241	1235-1-8	HOH 1241
930-8164	DOM12573	1235-1-6 Rundatjørni	1235-1-6	Rundatjørni
930-8164	DOM12574	1235-1-30 HOH 1056	1235-1-30	HOH 1056
930-8164	DOM12575	1235-1-17 Rennebergstjørni	1235-1-17	Rennebergstjørni
930-8164	DOM12576	1235-3-14 Storavatnet	1235-3-14	Storavatnet
930-8164	DOM12577	1235-2-38 Grønlivatnet	1235-2-38	Grønlivatnet
930-8165	DOM12578	1749-1-25 Erlandvatnet	1749-1-25	Erlandvatnet
930-8165	DOM12579	1749-3-12 Mjosundvatnet	1749-3-12	Mjosundvatnet
930-8166	DOM12580	1749-1-25 Erlandvatnet	1749-1-25	Erlandvatnet
930-8166	DOM12581	1749-3-12 Mjosundvatnet	1749-3-12	Mjosundvatnet
930-8167	DOM12582	1748-3-5 Kvernvikvatnet	1748-3-5	Kvernvikvatnet
930-8168	DOM12583	1748-3-5 Kvernvikvatnet	1748-3-5	Kvernvikvatnet
930-8169	DOM12584	1717-2-6 Liavatnet	1717-2-6	Liavatnet
930-8170	DOM12585	1717-2-6 Liavatnet	1717-2-6	Liavatnet
930-8171	DOM12586	1742-1-1 Liatjørnin	1742-1-1	Liatjørnin
930-8171	DOM12587	1742-1-7 HOH 824	1742-1-7	HOH 824
930-8171	DOM12588	1742-1-24 Røyrtjørna	1742-1-24	Røyrtjørna
930-8172	DOM12589	1742-1-1 Liatjørnin	1742-1-1	Liatjørnin
930-8172	DOM12590	1742-1-7 HOH 824	1742-1-7	HOH 824
930-8172	DOM12591	1742-1-24 Røyrtjørna	1742-1-24	Røyrtjørna
930-8173	DOM12598	1718-1-15 Aunbyvatn	1718-1-15	Aunbyvatn
930-8173	DOM12599	1718-1-8 Ø. Ljøsvatn	1718-1-8	Ø. Ljøsvatn
930-8173	DOM12600	1718-1-10 Storskartjørna	1718-1-10	Storskartjørna
930-8173	DOM12601	1718-1-16 Okstjønn	1718-1-16	Okstjønn
930-8173	DOM12602	1718-1-9 Svarttjønn	1718-1-9	Svarttjønn
930-8173	DOM12603	1718-1-3 Hyttvatnet	1718-1-3	Hyttvatnet
930-8174	DOM12592	1718-1-15 Aunbyvatn	1718-1-15	Aunbyvatn
930-8174	DOM12593	1718-1-8 Ø. Ljøsvatn	1718-1-8	Ø. Ljøsvatn
930-8174	DOM12594	1718-1-10 Storskartjørna	1718-1-10	Storskartjørna
930-8174	DOM12595	1718-1-16 Okstjønn	1718-1-16	Okstjønn
930-8174	DOM12596	1718-1-9 Svarttjønn	1718-1-9	Svarttjønn
930-8174	DOM12597	1718-1-3 Hyttvatnet	1718-1-3	Hyttvatnet
930-8175	DOM12604	1738-3-13 Langvatnet	1738-3-13	Langvatnet
930-8175	DOM12605	1738-4-1 Rengen	1738-4-1	Rengen
930-8175	DOM12606	1738-3-9 Midtre Blåfjellvatnet	1738-3-9	Midtre Blåfjellvatnet
930-8175	DOM12607	1738-3-6 Store Strivatnet	1738-3-6	Store Strivatnet
930-8175	DOM12608	1738-1-19 Grønlitjørna	1738-1-19	Grønlitjørna
930-8175	DOM12609	1738-2-12 Koitjørna	1738-2-12	Koitjørna
930-8175	DOM12610	1738-1-21 Storolatjørnin	1738-1-21	Storolatjørnin
930-8175	DOM12611	1738-3-7 Djupvatnet	1738-3-7	Djupvatnet
930-8176	DOM12612	1738-3-13 Langvatnet	1738-3-13	Langvatnet
930-8176	DOM12613	1738-4-1 Rengen	1738-4-1	Rengen
930-8176	DOM12614	1738-3-9 Midtre Blåfjellvatnet	1738-3-9	Midtre Blåfjellvatnet
930-8176	DOM12615	1738-3-6 Store Strivatnet	1738-3-6	Store Strivatnet
930-8176	DOM12616	1738-1-19 Grønlitjørna	1738-1-19	Grønlitjørna
930-8176	DOM12617	1738-2-12 Koitjørna	1738-2-12	Koitjørna
930-8176	DOM12618	1738-1-21 Storolatjørnin	1738-1-21	Storolatjørnin
930-8176	DOM12619	1738-3-7 Djupvatnet	1738-3-7	Djupvatnet
930-8177	DOM12623	1711-3-1 Skurdalsvatnet	1711-3-1	Skurdalsvatnet
930-8177	DOM12624	1711-4-2 Fjergen	1711-4-2	Fjergen
930-8177	DOM12625	1711-3-8 Fundsjøen	1711-3-8	Fundsjøen
930-8178	DOM12620	1711-3-1 Skurdalsvatnet	1711-3-1	Skurdalsvatnet
930-8178	DOM12621	1711-4-2 Fjergen	1711-4-2	Fjergen
930-8178	DOM12622	1711-3-8 Fundsjøen	1711-3-8	Fundsjøen
930-8179	DOM12627	1723-2-5 Røsvatnet	1723-2-5	Røsvatnet
930-8180	DOM12626	1723-2-5 Røsvatnet	1723-2-5	Røsvatnet
930-8181	DOM12628	1725-2-21 Sæterlangvatnet	1725-2-21	Sæterlangvatnet
930-8181	DOM12629	1725-1-20 Øvre Steintjørna	1725-1-20	Øvre Steintjørna
930-8181	DOM12630	1725-3-14 Bjørfarvatnet	1725-3-14	Bjørfarvatnet
930-8181	DOM12631	1725-2-18 Øver-Kallhammarvatnet	1725-2-18	Øver-Kallhammarvatnet
930-8182	DOM12632	1725-2-21 Sæterlangvatnet	1725-2-21	Sæterlangvatnet
930-8182	DOM12633	1725-1-20 Øvre Steintjørna	1725-1-20	Øvre Steintjørna
930-8182	DOM12634	1725-3-14 Bjørfarvatnet	1725-3-14	Bjørfarvatnet
930-8182	DOM12635	1725-2-18 Øver-Kallhammarvatnet	1725-2-18	Øver-Kallhammarvatnet
930-8183	DOM12636	1703-1-5 Fjellsettjørna	1703-1-5	Fjellsettjørna
930-8183	DOM12637	1703-2-1 Gravvatnet	1703-2-1	Gravvatnet
930-8184	DOM12638	1703-1-5 Fjellsettjørna	1703-1-5	Fjellsettjørna
930-8184	DOM12639	1703-2-1 Gravvatnet	1703-2-1	Gravvatnet
930-8185	DOM12640	1740-2-39 Grøndalsvatnet	1740-2-39	Grøndalsvatnet
930-8185	DOM12641	1740-2-9 Storskorovatn	1740-2-9	Storskorovatn
930-8185	DOM12642	1740-2-10 Krokvatnet	1740-2-10	Krokvatnet
930-8186	DOM12643	1740-2-39 Grøndalsvatnet	1740-2-39	Grøndalsvatnet
930-8186	DOM12644	1740-2-9 Storskorovatn	1740-2-9	Storskorovatn
930-8186	DOM12645	1740-2-10 Krokvatnet	1740-2-10	Krokvatnet
930-8187	DOM12652	1751-2-2 Småholmvatnet	1751-2-2	Småholmvatnet
930-8187	DOM12653	1751-2-11 Grønlivatnet	1751-2-11	Grønlivatnet
930-8187	DOM12654	1751-1-23 Langvatn	1751-1-23	Langvatn
930-8187	DOM12655	1751-1-4 Reinbærlivatnet	1751-1-4	Reinbærlivatnet
930-8187	DOM12656	1751-1-13 Sætertjørna	1751-1-13	Sætertjørna
930-8187	DOM12657	1751-2-7 Vasslivatnet	1751-2-7	Vasslivatnet
930-8188	DOM12646	1751-2-2 Småholmvatnet	1751-2-2	Småholmvatnet
930-8188	DOM12647	1751-2-11 Grønlivatnet	1751-2-11	Grønlivatnet
930-8188	DOM12648	1751-1-23 Langvatn	1751-1-23	Langvatn
930-8188	DOM12649	1751-1-4 Reinbærlivatnet	1751-1-4	Reinbærlivatnet
930-8188	DOM12650	1751-1-13 Sætertjørna	1751-1-13	Sætertjørna
930-8188	DOM12651	1751-2-7 Vasslivatnet	1751-2-7	Vasslivatnet
930-8189	DOM12667	1739-2-19 Øvre Blåmurtjørnin	1739-2-19	Øvre Blåmurtjørnin
930-8189	DOM12668	1739-5-1 Tunnsjøen	1739-5-1	Tunnsjøen
930-8189	DOM12669	1739-1-28 Okstjørna	1739-1-28	Okstjørna
930-8189	DOM12670	1739-1-18 Laagkoenjuenientjonne	1739-1-18	Laagkoenjuenientjonne
930-8189	DOM12671	1739-1-12 HOH 654	1739-1-12	HOH 654
930-8189	DOM12672	1739-2-4 HOH 886	1739-2-4	HOH 886
930-8189	DOM12673	1739-2-14 Måarenjaevrieh	1739-2-14	Måarenjaevrieh
930-8189	DOM12674	1739-1-2 HOH 1069	1739-1-2	HOH 1069
930-8189	DOM12675	1739-3-3 Vestre Rekaren	1739-3-3	Vestre Rekaren
930-8190	DOM12658	1739-2-19 Øvre Blåmurtjørnin	1739-2-19	Øvre Blåmurtjørnin
930-8190	DOM12659	1739-5-1 Tunnsjøen	1739-5-1	Tunnsjøen
930-8190	DOM12660	1739-1-28 Okstjørna	1739-1-28	Okstjørna
930-8190	DOM12661	1739-1-18 Laagkoenjuenientjonne	1739-1-18	Laagkoenjuenientjonne
930-8190	DOM12662	1739-1-12 HOH 654	1739-1-12	HOH 654
930-8190	DOM12663	1739-2-4 HOH 886	1739-2-4	HOH 886
930-8190	DOM12664	1739-2-14 Måarenjaevrieh	1739-2-14	Måarenjaevrieh
930-8190	DOM12665	1739-1-2 HOH 1069	1739-1-2	HOH 1069
930-8190	DOM12666	1739-3-3 Vestre Rekaren	1739-3-3	Vestre Rekaren
930-8191	DOM12676	1736-2-15 Hattjørna	1736-2-15	Hattjørna
930-8191	DOM12677	1736-1-22 Fiskløysa	1736-1-22	Fiskløysa
930-8191	DOM12678	1736-3-4 Snaufjellvatnet	1736-3-4	Snaufjellvatnet
930-8191	DOM12679	1736-2-3 HOH 619	1736-2-3	HOH 619
930-8191	DOM12680	1736-1-27 HOH 617	1736-1-27	HOH 617
930-8191	DOM12681	1736-5-1 Snåsavatnet	1736-5-1	Snåsavatnet
930-8192	DOM12682	1736-2-15 Hattjørna	1736-2-15	Hattjørna
930-8192	DOM12683	1736-1-22 Fiskløysa	1736-1-22	Fiskløysa
930-8192	DOM12684	1736-3-4 Snaufjellvatnet	1736-3-4	Snaufjellvatnet
930-8192	DOM12685	1736-2-3 HOH 619	1736-2-3	HOH 619
930-8192	DOM12686	1736-1-27 HOH 617	1736-1-27	HOH 617
930-8192	DOM12687	1736-5-1 Snåsavatnet	1736-5-1	Snåsavatnet
930-8193	DOM12688	1702-1-6 Giskåstjørna	1702-1-6	Giskåstjørna
930-8193	DOM12689	1702-2-17 Jenshusvatnet	1702-2-17	Jenshusvatnet
930-8193	DOM12690	1702-1-17 Sandtjern	1702-1-17	Sandtjern
930-8194	DOM12691	1702-1-6 Giskåstjørna	1702-1-6	Giskåstjørna
930-8194	DOM12692	1702-2-17 Jenshusvatnet	1702-2-17	Jenshusvatnet
930-8194	DOM12693	1702-1-17 Sandtjern	1702-1-17	Sandtjern
930-8195	DOM12694	1721-3-15 Storbellingen	1721-3-15	Storbellingen
930-8195	DOM12695	1721-2-13 Søre Vassdalstjørna	1721-2-13	Søre Vassdalstjørna
930-8196	DOM12696	1721-3-15 Storbellingen	1721-3-15	Storbellingen
930-8196	DOM12697	1721-2-13 Søre Vassdalstjørna	1721-2-13	Søre Vassdalstjørna
930-8197	DOM12698	1724-2-22 Bogatjørna	1724-2-22	Bogatjørna
930-8198	DOM12699	1724-2-22 Bogatjørna	1724-2-22	Bogatjørna
930-8199	DOM12700	220-2-9 Bondivatnet	220-2-9	Bondivatnet
930-8200	DOM12701	220-2-9 Bondivatnet	220-2-9	Bondivatnet
930-8201	DOM12702	221-1-6 Lombergtjern	221-1-6	Lombergtjern
930-8201	DOM12703	221-1-2 Langtjern	221-1-2	Langtjern
930-8201	DOM12704	221-1-9 Lembruvatna	221-1-9	Lembruvatna
930-8201	DOM12705	221-3-2 Floen	221-3-2	Floen
930-8202	DOM12706	221-1-6 Lombergtjern	221-1-6	Lombergtjern
930-8202	DOM12707	221-1-2 Langtjern	221-1-2	Langtjern
930-8202	DOM12708	221-1-9 Lembruvatna	221-1-9	Lembruvatna
930-8202	DOM12709	221-3-2 Floen	221-3-2	Floen
930-8203	DOM12711	227-2-1 Heia	227-2-1	Heia
930-8204	DOM12710	227-2-1 Heia	227-2-1	Heia
930-8205	DOM12712	239-4-3 Hurdalsjøen	239-4-3	Hurdalsjøen
930-8205	DOM12713	239-1-186 Buråstjern	239-1-186	Buråstjern
930-8205	DOM12714	239-2-3 Bundlitjernet	239-2-3	Bundlitjernet
930-8205	DOM12715	239-2-10 Holtjernet	239-2-10	Holtjernet
930-8206	DOM12716	239-4-3 Hurdalsjøen	239-4-3	Hurdalsjøen
930-8206	DOM12717	239-1-186 Buråstjern	239-1-186	Buråstjern
930-8206	DOM12718	239-2-3 Bundlitjernet	239-2-3	Bundlitjernet
930-8206	DOM12719	239-2-10 Holtjernet	239-2-10	Holtjernet
930-8207	DOM12720	236-1-12 Djuptjern	236-1-12	Djuptjern
930-8207	DOM12721	236-2-4 Flasjøen	236-2-4	Flasjøen
930-8208	DOM12722	236-1-12 Djuptjern	236-1-12	Djuptjern
930-8208	DOM12723	236-2-4 Flasjøen	236-2-4	Flasjøen
930-8209	DOM12724	217-3-1 Gjersjøen	217-3-1	Gjersjøen
930-8210	DOM12725	217-3-1 Gjersjøen	217-3-1	Gjersjøen
930-8211	DOM12726	231-2-5 Tretjernet	231-2-5	Tretjernet
930-8212	DOM12727	231-2-5 Tretjernet	231-2-5	Tretjernet
930-8213	DOM12728	235-1-3 Sesvolltjernet	235-1-3	Sesvolltjernet
930-8214	DOM12729	235-1-3 Sesvolltjernet	235-1-3	Sesvolltjernet
930-8215	DOM12730	631-1-4 Nydammen	631-1-4	Nydammen
930-8215	DOM12731	631-2-7 Mjovatnet	631-2-7	Mjovatnet
930-8215	DOM12732	631-2-29 Tryttjern	631-2-29	Tryttjern
930-8216	DOM12733	631-1-4 Nydammen	631-1-4	Nydammen
930-8216	DOM12734	631-2-7 Mjovatnet	631-2-7	Mjovatnet
930-8216	DOM12735	631-2-29 Tryttjern	631-2-29	Tryttjern
930-8217	DOM12736	615-2-17 Eitrytetjern	615-2-17	Eitrytetjern
930-8218	DOM12737	615-2-17 Eitrytetjern	615-2-17	Eitrytetjern
930-8219	DOM12738	617-1-19 Nystøltjørni	617-1-19	Nystøltjørni
930-8219	DOM12739	617-1-28 Ørkvatnet	617-1-28	Ørkvatnet
930-8219	DOM12740	617-1-23 Metubba	617-1-23	Metubba
930-8220	DOM12741	617-1-19 Nystøltjørni	617-1-19	Nystøltjørni
930-8220	DOM12742	617-1-28 Ørkvatnet	617-1-28	Ørkvatnet
930-8220	DOM12743	617-1-23 Metubba	617-1-23	Metubba
930-8221	DOM12744	618-1-3 HOH 1456	618-1-3	HOH 1456
930-8221	DOM12745	618-3-1 Vannen	618-3-1	Vannen
930-8221	DOM12746	618-3-6 Storevatnet	618-3-6	Storevatnet
930-8222	DOM12747	618-1-3 HOH 1456	618-1-3	HOH 1456
930-8222	DOM12748	618-3-1 Vannen	618-3-1	Vannen
930-8222	DOM12749	618-3-6 Storevatnet	618-3-6	Storevatnet
930-8223	DOM12750	620-502 Storekrækkja	620-502	Storekrækkja
930-8223	DOM12751	620-4-6 Ørteren	620-4-6	Ørteren
930-8223	DOM12752	620-1-6 HOH 1760	620-1-6	HOH 1760
930-8223	DOM12753	620-1-21 HOH 1540	620-1-21	HOH 1540
930-8223	DOM12754	620-1-14 HOH 1340	620-1-14	HOH 1340
930-8223	DOM12755	620-1-15 Skarvåtjørnane	620-1-15	Skarvåtjørnane
930-8223	DOM12756	620-3-7 Skurdalsfjorden	620-3-7	Skurdalsfjorden
930-8224	DOM12757	620-502 Storekrækkja	620-502	Storekrækkja
930-8224	DOM12758	620-4-6 Ørteren	620-4-6	Ørteren
930-8224	DOM12759	620-1-6 HOH 1760	620-1-6	HOH 1760
930-8224	DOM12760	620-1-21 HOH 1540	620-1-21	HOH 1540
930-8224	DOM12761	620-1-14 HOH 1340	620-1-14	HOH 1340
930-8224	DOM12762	620-1-15 Skarvåtjørnane	620-1-15	Skarvåtjørnane
930-8224	DOM12763	620-3-7 Skurdalsfjorden	620-3-7	Skurdalsfjorden
930-8225	DOM12764	612-5-1 Tyrifjorden	612-5-1	Tyrifjorden
930-8226	DOM12765	612-5-1 Tyrifjorden	612-5-1	Tyrifjorden
930-8227	DOM12766	604-2-18 Tverrvatnet	604-2-18	Tverrvatnet
930-8227	DOM12767	604-1-7 Korstjernet	604-1-7	Korstjernet
930-8227	DOM12768	604-1-17 Trytetjerna	604-1-17	Trytetjerna
930-8227	DOM12769	604-3-3 Hengsvatnet	604-3-3	Hengsvatnet
930-8228	DOM12770	604-2-18 Tverrvatnet	604-2-18	Tverrvatnet
930-8228	DOM12771	604-1-7 Korstjernet	604-1-7	Korstjernet
930-8228	DOM12772	604-1-17 Trytetjerna	604-1-17	Trytetjerna
930-8228	DOM12773	604-3-3 Hengsvatnet	604-3-3	Hengsvatnet
930-8229	DOM12774	622-2-43 Trytetjern	622-2-43	Trytetjern
930-8229	DOM12775	622-4-4 Krøderen	622-4-4	Krøderen
930-8230	DOM12776	622-2-43 Trytetjern	622-2-43	Trytetjern
930-8230	DOM12777	622-4-4 Krøderen	622-4-4	Krøderen
930-8231	DOM12779	623-603 Breidlivatnet	623-603	Breidlivatnet
930-8232	DOM12778	623-603 Breidlivatnet	623-603	Breidlivatnet
930-8233	DOM12780	616-1-13 Langevatnet	616-1-13	Langevatnet
930-8233	DOM12781	616-1-12 Førkjetjernet	616-1-12	Førkjetjernet
930-8233	DOM12782	616-2-6 Ausa	616-2-6	Ausa
930-8233	DOM12783	616-1-10 Kytetjernet	616-1-10	Kytetjernet
930-8233	DOM12784	616-2-20 Belgevatnet	616-2-20	Belgevatnet
930-8233	DOM12785	616-1-26 Hammartjørnet	616-1-26	Hammartjørnet
930-8233	DOM12786	616-1-31 Vardetjernan	616-1-31	Vardetjernan
930-8234	DOM12787	616-1-13 Langevatnet	616-1-13	Langevatnet
930-8234	DOM12788	616-1-12 Førkjetjernet	616-1-12	Førkjetjernet
930-8234	DOM12789	616-2-6 Ausa	616-2-6	Ausa
930-8234	DOM12790	616-1-10 Kytetjernet	616-1-10	Kytetjernet
930-8234	DOM12791	616-2-20 Belgevatnet	616-2-20	Belgevatnet
930-8234	DOM12792	616-1-26 Hammartjørnet	616-1-26	Hammartjørnet
930-8234	DOM12793	616-1-31 Vardetjernan	616-1-31	Vardetjernan
930-8235	DOM12794	633-2-24 Vegardhovdtjørnan	633-2-24	Vegardhovdtjørnan
930-8235	DOM12795	633-2-8 Vestre Søltjørni	633-2-8	Vestre Søltjørni
930-8235	DOM12796	633-2-11 Øvre Nutetjørnane	633-2-11	Øvre Nutetjørnane
930-8235	DOM12797	633-1-16 HOH 1217	633-1-16	HOH 1217
930-8235	DOM12798	633-2-21 Flåtåtjørni	633-2-21	Flåtåtjørni
930-8235	DOM12799	633-3-14 Krossvatnet	633-3-14	Krossvatnet
930-8235	DOM12800	633-4-8 Langesjøen	633-4-8	Langesjøen
930-8235	DOM12801	633-1-11 Øvre Halstjørnane	633-1-11	Øvre Halstjørnane
930-8235	DOM12802	633-1-18 HOH 1250	633-1-18	HOH 1250
930-8235	DOM12803	633-2-25 HOH 1065	633-2-25	HOH 1065
930-8235	DOM12804	633-1-30 Såtenattjørnan	633-1-30	Såtenattjørnan
930-8235	DOM12805	633-1-29 Tjørngrøtjørnane	633-1-29	Tjørngrøtjørnane
930-8235	DOM12806	633-2-4 Grånsettjørni	633-2-4	Grånsettjørni
930-8235	DOM12807	633-2-13 Holmevatni	633-2-13	Holmevatni
930-8235	DOM12808	633-2-2 Frygnevatnet	633-2-2	Frygnevatnet
930-8236	DOM12809	633-2-24 Vegardhovdtjørnan	633-2-24	Vegardhovdtjørnan
930-8236	DOM12810	633-2-8 Vestre Søltjørni	633-2-8	Vestre Søltjørni
930-8236	DOM12811	633-2-11 Øvre Nutetjørnane	633-2-11	Øvre Nutetjørnane
930-8236	DOM12812	633-1-16 HOH 1217	633-1-16	HOH 1217
930-8236	DOM12813	633-2-21 Flåtåtjørni	633-2-21	Flåtåtjørni
930-8236	DOM12814	633-3-14 Krossvatnet	633-3-14	Krossvatnet
930-8236	DOM12815	633-4-8 Langesjøen	633-4-8	Langesjøen
930-8236	DOM12816	633-1-11 Øvre Halstjørnane	633-1-11	Øvre Halstjørnane
930-8236	DOM12817	633-1-18 HOH 1250	633-1-18	HOH 1250
930-8236	DOM12818	633-2-25 HOH 1065	633-2-25	HOH 1065
930-8236	DOM12819	633-1-30 Såtenattjørnan	633-1-30	Såtenattjørnan
930-8236	DOM12820	633-1-29 Tjørngrøtjørnane	633-1-29	Tjørngrøtjørnane
930-8236	DOM12821	633-2-4 Grånsettjørni	633-2-4	Grånsettjørni
930-8236	DOM12822	633-2-13 Holmevatni	633-2-13	Holmevatni
930-8236	DOM12823	633-2-2 Frygnevatnet	633-2-2	Frygnevatnet
930-8237	DOM12824	605-602 Øvre Kollsjø	605-602	Øvre Kollsjø
930-8237	DOM12825	605-1-5 Gravvatnet	605-1-5	Gravvatnet
930-8238	DOM12826	605-602 Øvre Kollsjø	605-602	Øvre Kollsjø
930-8238	DOM12827	605-1-5 Gravvatnet	605-1-5	Gravvatnet
930-8239	DOM12828	632-1-20 Trytetjørn	632-1-20	Trytetjørn
930-8240	DOM12829	632-1-20 Trytetjørn	632-1-20	Trytetjørn
930-8241	DOM12830	621-3-5 Soneren	621-3-5	Soneren
930-8241	DOM12831	621-1-27 Flåvatna	621-1-27	Flåvatna
930-8242	DOM12832	621-3-5 Soneren	621-3-5	Soneren
930-8242	DOM12833	621-1-27 Flåvatna	621-1-27	Flåvatna
930-8243	DOM12834	624-1-55 Brånavatnet	624-1-55	Brånavatnet
930-8243	DOM12835	624-4-5 Eikeren	624-4-5	Eikeren
930-8243	DOM12836	624-1-8 Grøntjern	624-1-8	Grøntjern
930-8243	DOM12837	624-2-23 Skogsvatnet	624-2-23	Skogsvatnet
930-8244	DOM12838	624-1-55 Brånavatnet	624-1-55	Brånavatnet
930-8244	DOM12839	624-4-5 Eikeren	624-4-5	Eikeren
930-8244	DOM12840	624-1-8 Grøntjern	624-1-8	Grøntjern
930-8244	DOM12841	624-2-23 Skogsvatnet	624-2-23	Skogsvatnet
930-8245	DOM12842	619-1-1 Butjørni	619-1-1	Butjørni
930-8245	DOM12843	619-2-19 Mefaringen	619-2-19	Mefaringen
930-8245	DOM12844	619-2-33 Austre Flågrunnsvatnet	619-2-33	Austre Flågrunnsvatnet
930-8245	DOM12845	619-3-10 Halldalsvatnet	619-3-10	Halldalsvatnet
930-8245	DOM12846	619-3-2 Vassfjorden	619-3-2	Vassfjorden
930-8246	DOM12847	619-1-1 Butjørni	619-1-1	Butjørni
930-8246	DOM12848	619-2-19 Mefaringen	619-2-19	Mefaringen
930-8246	DOM12849	619-2-33 Austre Flågrunnsvatnet	619-2-33	Austre Flågrunnsvatnet
930-8246	DOM12850	619-3-10 Halldalsvatnet	619-3-10	Halldalsvatnet
930-8246	DOM12851	619-3-2 Vassfjorden	619-3-2	Vassfjorden
930-8247	DOM12855	928-1-7 Lundevatnet	928-1-7	Lundevatnet
930-8247	DOM12856	928-2-20 Lille Hovvatnet	928-2-20	Lille Hovvatnet
930-8247	DOM12857	928-1-17 Krokevatn	928-1-17	Krokevatn
930-8248	DOM12852	928-1-7 Lundevatnet	928-1-7	Lundevatnet
930-8248	DOM12853	928-2-20 Lille Hovvatnet	928-2-20	Lille Hovvatnet
930-8248	DOM12854	928-1-17 Krokevatn	928-1-17	Krokevatn
930-8249	DOM12869	938-1-9 Longeraktjørn	938-1-9	Longeraktjørn
930-8249	DOM12870	938-1-23 Kvivotni	938-1-23	Kvivotni
930-8249	DOM12871	938-1-27 Fånetjørn	938-1-27	Fånetjørn
930-8249	DOM12872	938-1-28 Hovotni	938-1-28	Hovotni
930-8249	DOM12873	938-1-29 Beritstjørni	938-1-29	Beritstjørni
930-8249	DOM12874	938-2-10 Skjevlevatni	938-2-10	Skjevlevatni
930-8249	DOM12875	938-2-15 Flåvatnet	938-2-15	Flåvatnet
930-8249	DOM12876	938-3-24 Sandsvatnet	938-3-24	Sandsvatnet
930-8249	DOM12877	938-4-1 Åraksfjorden	938-4-1	Åraksfjorden
930-8249	DOM12878	938-3-4 Storolavsvatnet	938-3-4	Storolavsvatnet
930-8249	DOM12879	938-3-203 Gyvatn	938-3-203	Gyvatn
930-8250	DOM12858	938-1-9 Longeraktjørn	938-1-9	Longeraktjørn
930-8250	DOM12859	938-1-23 Kvivotni	938-1-23	Kvivotni
930-8250	DOM12860	938-1-27 Fånetjørn	938-1-27	Fånetjørn
930-8250	DOM12861	938-1-28 Hovotni	938-1-28	Hovotni
930-8250	DOM12862	938-1-29 Beritstjørni	938-1-29	Beritstjørni
930-8250	DOM12863	938-2-10 Skjevlevatni	938-2-10	Skjevlevatni
930-8250	DOM12864	938-2-15 Flåvatnet	938-2-15	Flåvatnet
930-8250	DOM12865	938-3-24 Sandsvatnet	938-3-24	Sandsvatnet
930-8250	DOM12866	938-4-1 Åraksfjorden	938-4-1	Åraksfjorden
930-8250	DOM12867	938-3-4 Storolavsvatnet	938-3-4	Storolavsvatnet
