Analyseoppdrag	Prøvenr	Tekst på flaska	Stasjonskode	Stasjonsnavn
930-8074	DOM12274	528-1-22 Fjælutjern	528-1-22	Fjælutjern
930-8075	DOM12275	521-3-5 Lyngen	521-3-5	Lyngen
930-8075	DOM12276	521-2-14 Tromstjørn	521-2-14	Tromstjørn
930-8076	DOM12277	521-3-5 Lyngen	521-3-5	Lyngen
930-8076	DOM12278	521-2-14 Tromstjørn	521-2-14	Tromstjørn
930-8077	DOM12283	544-1-27 HOH 1198	544-1-27	HOH 1198
930-8077	DOM12284	544-2-10 Fisketjerni	544-2-10	Fisketjerni
930-8077	DOM12285	544-1-2 HOH 955	544-1-2	HOH 955
930-8077	DOM12286	544-2-11 Nordre Vindin	544-2-11	Nordre Vindin
930-8078	DOM12279	544-1-27 HOH 1198	544-1-27	HOH 1198
930-8078	DOM12280	544-2-10 Fisketjerni	544-2-10	Fisketjerni
930-8078	DOM12281	544-1-2 HOH 955	544-1-2	HOH 955
930-8078	DOM12282	544-2-11 Nordre Vindin	544-2-11	Nordre Vindin
930-8079	DOM12290	1569-1-8 Vasslivatnet	1569-1-8	Vasslivatnet
930-8079	DOM12291	1569-2-14 Rostolvatnet	1569-2-14	Rostolvatnet
930-8079	DOM12292	1569-2-4 Åkvikvatnet	1569-2-4	Åkvikvatnet
930-8080	DOM12287	1569-1-8 Vasslivatnet	1569-1-8	Vasslivatnet
930-8080	DOM12288	1569-2-14 Rostolvatnet	1569-2-14	Rostolvatnet
930-8080	DOM12289	1569-2-4 Åkvikvatnet	1569-2-4	Åkvikvatnet
930-8081	DOM12293	1534-2-5 St. Hestevatn	1534-2-5	St. Hestevatn
930-8082	DOM12294	1534-2-5 St. Hestevatn	1534-2-5	St. Hestevatn
930-8083	DOM12295	1502-1-25 Årsetvatn	1502-1-25	Årsetvatn
930-8084	DOM12296	1502-1-25 Årsetvatn	1502-1-25	Årsetvatn
930-8086	DOM12298	1543-2-7 Nordre Isløyptjørna	1543-2-7	Nordre Isløyptjørna
930-8086	DOM12299	1543-2-8 Røndalskarvatn	1543-2-8	Røndalskarvatn
930-8086	DOM12300	1543-1-2 Klappvatn	1543-1-2	Klappvatn
930-8087	DOM12301	1543-2-7 Nordre Isløyptjørna	1543-2-7	Nordre Isløyptjørna
930-8087	DOM12302	1543-2-8 Røndalskarvatn	1543-2-8	Røndalskarvatn
930-8087	DOM12303	1543-1-2 Klappvatn	1543-1-2	Klappvatn
930-8088	DOM12304	1524-2-17 Gullakoppen	1524-2-17	Gullakoppen
930-8089	DOM12305	1524-2-17 Gullakoppen	1524-2-17	Gullakoppen
930-8090	DOM12306	1539-2-11 Kråkenesvatna	1539-2-11	Kråkenesvatna
930-8090	DOM12307	1539-1-1 HOH 1060	1539-1-1	HOH 1060
930-8090	DOM12308	1539-1-3 Kalkdhøtjørni	1539-1-3	Kalkdhøtjørni
930-8090	DOM12309	1539-3-3 Ulvådalsvatnet	1539-3-3	Ulvådalsvatnet
930-8090	DOM12310	1539-2-6 Øspevatn	1539-2-6	Øspevatn
930-8091	DOM12311	1539-2-11 Kråkenesvatna	1539-2-11	Kråkenesvatna
930-8091	DOM12312	1539-1-1 HOH 1060	1539-1-1	HOH 1060
930-8091	DOM12313	1539-1-3 Kalkdhøtjørni	1539-1-3	Kalkdhøtjørni
930-8091	DOM12314	1539-3-3 Ulvådalsvatnet	1539-3-3	Ulvådalsvatnet
930-8091	DOM12315	1539-2-6 Øspevatn	1539-2-6	Øspevatn
930-8092	DOM12317	1529-3-5 Engsetvatnet	1529-3-5	Engsetvatnet
930-8093	DOM12316	1529-3-5 Engsetvatnet	1529-3-5	Engsetvatnet
930-8094	DOM12318	1526-2-13 Litlevatnet	1526-2-13	Litlevatnet
930-8096	DOM12319	1526-2-13 Litlevatnet	1526-2-13	Litlevatnet
930-8097	DOM12325	1525-2-601 Heimste Vesteråsvatnet	1525-2-601	Heimste Vesteråsvatnet
930-8097	DOM12326	1525-3-7 Vatnedalsvatnet	1525-3-7	Vatnedalsvatnet
930-8097	DOM12327	1525-1-12 Nykkjevatn	1525-1-12	Nykkjevatn
930-8098	DOM12328	1525-2-601 Heimste Vesteråsvatnet	1525-2-601	Heimste Vesteråsvatnet
930-8098	DOM12329	1525-3-7 Vatnedalsvatnet	1525-3-7	Vatnedalsvatnet
930-8098	DOM12330	1525-1-12 Nykkjevatn	1525-1-12	Nykkjevatn
930-8099	DOM12331	1563-3-6 Storvatnet	1563-3-6	Storvatnet
930-8099	DOM12332	1563-2-1 Nedre Håkådalsvatnet	1563-2-1	Nedre Håkådalsvatnet
930-8099	DOM12333	1563-1-4 Meskardvatnet	1563-1-4	Meskardvatnet
930-8100	DOM12334	1563-3-6 Storvatnet	1563-3-6	Storvatnet
930-8100	DOM12335	1563-2-1 Nedre Håkådalsvatnet	1563-2-1	Nedre Håkådalsvatnet
930-8100	DOM12336	1563-1-4 Meskardvatnet	1563-1-4	Meskardvatnet
930-8101	DOM12337	1566-2-19 HOH 1078	1566-2-19	HOH 1078
930-8101	DOM12338	1566-2-3 Kvernvatnet	1566-2-3	Kvernvatnet
930-8101	DOM12339	1566-1-10 Damtjørna	1566-1-10	Damtjørna
930-8101	DOM12340	1566-1-9 Grytvatnet	1566-1-9	Grytvatnet
930-8101	DOM12341	1566-2-16 Holmevatnet	1566-2-16	Holmevatnet
930-8102	DOM12342	1566-2-19 HOH 1078	1566-2-19	HOH 1078
930-8102	DOM12343	1566-2-3 Kvernvatnet	1566-2-3	Kvernvatnet
930-8102	DOM12344	1566-1-10 Damtjørna	1566-1-10	Damtjørna
930-8102	DOM12345	1566-1-9 Grytvatnet	1566-1-9	Grytvatnet
930-8102	DOM12346	1566-2-16 Holmevatnet	1566-2-16	Holmevatnet
930-8104	DOM12348	1572-2-15 Linnvågvatnet	1572-2-15	Linnvågvatnet
930-8105	DOM12347	1572-2-15 Linnvågvatnet	1572-2-15	Linnvågvatnet
930-8106	DOM12384	1511-1-7 Vassdalsvatnet	1511-1-7	Vassdalsvatnet
930-8106	DOM12385	1511-3-13 Myrkevatnet	1511-3-13	Myrkevatnet
930-8107	DOM12386	1511-1-7 Vassdalsvatnet	1511-1-7	Vassdalsvatnet
930-8107	DOM12387	1511-3-13 Myrkevatnet	1511-3-13	Myrkevatnet
930-8108	DOM12388	1535-2-10 S. Oterskarvatn	1535-2-10	S. Oterskarvatn
930-8109	DOM12389	1535-2-10 S. Oterskarvatn	1535-2-10	S. Oterskarvatn
930-8115	DOM12412	1519-3-10 Rotevatnet	1519-3-10	Rotevatnet
