wavelength (nm),DOMBlank1,DOMSTD17,DOM12005,DOM12055,DOM12100,DOM12209,DOM12305,DOM12329,DOM12344,DOMBlank2,DOM12439,DOM12440,DOM12445,DOM12505,DOM12509,DOM12541,DOM13042,DOM11951,DOM12452,DOMBlank4,DOM12472,DOM12481,DOM12482,DOM12484,DOMBlank5
871.2000122,-0.006427014,-0.00544383,-0.007693819,-0.01398829,-0.014364661,-0.019124001,-0.018737206,-0.018042598,-0.018699272,-0.017994918,-0.018640602,-0.019770583,-0.023696909,-0.020283658,-0.023497047,-0.022340098,-0.024043068,-0.020711532,-0.022169719,-0.021387151,-0.021625424,-0.025317809,-0.021745546,-0.029943543,-0.023012504
870.4000244,-0.004753783,-0.009859997,-0.009801234,-0.011852027,-0.011795499,-0.016803276,-0.015037866,-0.018519916,-0.016257495,-0.019810453,-0.016237896,-0.01745143,-0.020282917,-0.016044948,-0.022351556,-0.019233475,-0.021800153,-0.021679752,-0.017773578,-0.021842249,-0.019494366,-0.021308141,-0.021701518,-0.021742886,-0.022555437
869.5999756,0.000737237,-0.00752777,-0.014063881,-0.011415583,-0.014037967,-0.013045206,-0.01574593,-0.017325835,-0.016264677,-0.01843036,-0.012448397,-0.017785555,-0.01917032,-0.02585784,-0.020958759,-0.021987608,-0.020391654,-0.019552819,-0.021489255,-0.020985052,-0.023690291,-0.01753358,-0.021790305,-0.018455219,-0.017955875
868.7999878,-0.000407927,-0.003361555,-0.009371337,-0.010514849,-0.006299008,-0.01330286,-0.017035961,-0.015356663,-0.015472535,-0.016090948,-0.018528895,-0.018301774,-0.016806064,-0.020421933,-0.017393885,-0.019841664,-0.016709529,-0.014398318,-0.016118137,-0.016325861,-0.019321034,-0.017929547,-0.019241003,-0.016569966,-0.019756138
868,-0.008548439,-0.009920724,-0.013668788,-0.016392821,-0.010925491,-0.018423313,-0.017131628,-0.021720085,-0.021504678,-0.019010238,-0.021249332,-0.023718625,-0.022140594,-0.024309555,-0.021847073,-0.021184545,-0.022260375,-0.024344604,-0.026702266,-0.023167189,-0.022122145,-0.02373191,-0.029742958,-0.02705859,-0.027239511
867.2000122,-0.006085103,-0.007022368,-0.01297396,-0.01541098,-0.015578138,-0.017068567,-0.015633127,-0.020203706,-0.021805126,-0.021469891,-0.020619463,-0.019128956,-0.019900169,-0.023977524,-0.022102807,-0.018117834,-0.024875091,-0.025042752,-0.021938192,-0.023014516,-0.023751419,-0.025779298,-0.023325453,-0.024611153,-0.028609239
866.4000244,-0.005205922,-0.006305182,-0.009911058,-0.011252163,-0.016476568,-0.016514797,-0.019306822,-0.016623335,-0.020423859,-0.02188823,-0.020226933,-0.022863509,-0.020292651,-0.021103034,-0.02281547,-0.020993635,-0.022523388,-0.023213129,-0.02450469,-0.023849491,-0.027153097,-0.023557026,-0.022240309,-0.024811579,-0.021219848
865.5999756,-0.006905187,-0.008102004,-0.011026149,-0.014509239,-0.016817072,-0.017931335,-0.021391045,-0.019321231,-0.021223547,-0.018343266,-0.021847516,-0.024299666,-0.02558288,-0.023227705,-0.025912762,-0.023860419,-0.023807196,-0.02560704,-0.023513721,-0.021788927,-0.025782419,-0.02642677,-0.023439758,-0.026668333,-0.02552733
864.7999878,-0.006075505,-0.005667811,-0.011642605,-0.009817685,-0.012695847,-0.013219353,-0.014639704,-0.018058343,-0.017016796,-0.020501796,-0.022234455,-0.020355493,-0.022698542,-0.021592962,-0.021389911,-0.023223532,-0.022053208,-0.022398122,-0.021252535,-0.021518029,-0.022796901,-0.01801995,-0.02256792,-0.020308016,-0.024673715
864,-0.007781345,-0.009401584,-0.012514498,-0.01570189,-0.015417176,-0.019137675,-0.01746814,-0.019558165,-0.018024769,-0.018855898,-0.021139082,-0.021631235,-0.024361296,-0.026901925,-0.02396547,-0.024229558,-0.024403537,-0.022357162,-0.02171856,-0.020232022,-0.022119094,-0.023935094,-0.02551415,-0.027889377,-0.02613428
863.2000122,-0.009501329,-0.00812548,-0.011763957,-0.013387707,-0.012486379,-0.019520994,-0.017411791,-0.020124136,-0.021070583,-0.021454517,-0.021102836,-0.022649061,-0.021941883,-0.025892813,-0.020241657,-0.023768477,-0.021738209,-0.025628222,-0.02197432,-0.024195625,-0.026937203,-0.02326927,-0.02468697,-0.027175467,-0.02641654
862.4000244,-0.001516803,-0.008937311,-0.012613731,-0.011897617,-0.013391874,-0.019914363,-0.018830169,-0.018497542,-0.018852577,-0.020270811,-0.02192313,-0.019552771,-0.022897251,-0.0233256,-0.024153512,-0.025962263,-0.02455122,-0.026530961,-0.022721635,-0.026092453,-0.023801021,-0.02563935,-0.024454532,-0.023244537,-0.025910908
861.5999756,-0.003766441,-0.006182907,-0.01252808,-0.01603467,-0.016537374,-0.017326782,-0.02021102,-0.017291559,-0.021634044,-0.022312755,-0.023428475,-0.02175756,-0.024318025,-0.021797396,-0.026750658,-0.026033312,-0.024263389,-0.026354861,-0.021647787,-0.026486687,-0.025102125,-0.028091742,-0.024497153,-0.025038255,-0.02823876
860.7999878,0.001265751,-0.005668629,-0.007009072,-0.008166891,-0.010243702,-0.014266478,-0.013862544,-0.015517697,-0.016879573,-0.015582183,-0.017403683,-0.016204881,-0.017107042,-0.020257965,-0.018479036,-0.018782921,-0.018235752,-0.019188698,-0.018622004,-0.018989524,-0.023522647,-0.020261226,-0.019983836,-0.022919744,-0.018002169
