wavelength (nm),DOMBlank1,DOMSTD27,DOM13465F,DOM12770,DOM12978,DOM12984,DOM13002,DOM13018,DOM13019,DOMBlank2,DOM13051,DOM13451,DOM13453,DOM13154,DOM13469,DOM13470,DOM13471,DOM13617,DOM13260,DOMBlank3,DOM13264,DOM13316,DOM13333,DOM13416,DOM13538,DOM13542,DOM13543,DOM13545,DOM13546,DOMBlank4,DOM13551,DOM13552,DOM13553,DOM13558,DOM13559,DOMBlank5
883.2000122,-0.016776478,-0.010577,-0.021936469,-0.016018802,-0.018626565,-0.022421723,-0.025703864,-0.023801757,-0.02318275,-0.018092459,-0.026109712,-0.023765977,-0.030849999,-0.022408742,-0.033429623,-0.033926148,-0.026142471,-0.025629491,-0.027972344,-0.03412668,-0.029592965,-0.024506157,-0.036661845,-0.033033967,-0.024018673,-0.034277603,-0.030430652,-0.025725773,-0.024773192,-0.036031131,-0.034033198,-0.035707563,-0.031972695,-0.022005916,-0.023526669,-0.036653664
882.4000244,-0.010708449,-0.005451601,-0.006925518,-0.022926176,-0.019286962,-0.023059489,-0.030435912,-0.026123215,-0.023580907,-0.020443913,-0.026821576,-0.016083514,-0.027847765,-0.017949764,-0.02399751,-0.03325903,-0.027463514,-0.014414645,-0.021762878,-0.024002459,-0.033406466,-0.03021759,-0.027692698,-0.028037483,-0.027824799,-0.032330971,-0.026411522,-0.02891702,-0.016139288,-0.024783902,-0.024726881,-0.035917997,-0.024805075,-0.032701626,-0.031353191,-0.020184927
881.5999756,-0.008169889,-0.007906628,-0.0100332,-0.015627833,-0.021179171,-0.020869162,-0.014298741,-0.02877086,-0.018920437,-0.01839349,-0.021480486,-0.016260836,-0.018646901,-0.024295261,-0.019715719,-0.019705281,-0.016013814,-0.008311363,-0.023837484,-0.020120032,-0.029353024,-0.016478911,-0.032854244,-0.027011646,-0.024150427,-0.026843527,-0.029750595,-0.016111253,-0.035834864,-0.028195338,-0.022742761,-0.026938908,-0.021740669,-0.019358667,-0.01477018,-0.03486887
880.7999878,-0.001343885,-0.006197759,-0.004056124,-0.000189599,-0.011501203,-0.016868917,-0.010297348,-0.011155747,-0.014504633,-0.012578829,-0.019756584,-0.011133292,-0.023184713,-0.010216902,-0.022091048,-0.024604987,-0.020748254,-0.027012473,-0.013368982,-0.010172248,-0.011821195,-0.017873356,-0.021323275,-0.018999733,-0.024321549,-0.017382644,-0.012298702,-0.021367585,-0.016207373,-0.02442972,-0.023219803,-0.026809068,-0.010941142,-0.024129614,-0.016821506,-0.00528408
880,-0.000834641,-0.000463991,-0.012861741,-0.011083484,-0.017600253,-0.013202528,-0.017381599,-0.012287278,-0.012953659,-0.009996217,-0.017885031,-0.014182054,-0.018400041,-0.020166887,-0.011772876,-0.014530569,-0.017533232,-0.016581677,-0.012667991,-0.018193951,-0.020992452,-0.008571232,-0.018978672,-0.019547721,-0.017493103,-0.018725503,-0.013147633,-0.010438081,-0.019828605,-0.019245163,-0.018654589,-0.015142774,-0.020266118,-0.016901433,-0.015848571,-0.023326531
879.2000122,-0.015290143,-0.00938527,-0.024948077,-0.011518396,-0.018965241,-0.015569846,-0.022541624,-0.022339115,-0.021460282,-0.026251748,-0.028211737,-0.031252321,-0.033985998,-0.020363003,-0.021212453,-0.021575425,-0.032922734,-0.021111121,-0.030432487,-0.027195552,-0.019755347,-0.032763563,-0.027618373,-0.020655651,-0.022405153,-0.021897681,-0.029592434,-0.02690538,-0.03117287,-0.02447802,-0.025603428,-0.025466451,-0.03149762,-0.029570526,-0.026402412,-0.035873812
878.4000244,-0.004933897,-0.002326755,-0.013712181,-0.010023132,-0.008627064,-0.01780255,-0.012215806,-0.0095186,-0.007775649,-0.006033078,-0.016649295,-0.017939083,-0.024006231,-0.023977229,-0.021041384,-0.018719602,-0.025193736,-0.02134018,-0.018506274,-0.009343571,-0.016290408,-0.012116029,-0.017491462,-0.020137778,-0.012918834,-0.01788394,-0.019445656,-0.023742694,-0.013934847,-0.018315176,-0.021737961,-0.020816706,-0.015615847,-0.021399915,-0.01564776,-0.029043956
877.5999756,0.010158669,0.002917966,-0.005653247,0.002406726,0.000562841,-0.011906482,-0.010262259,-0.012224968,-0.004534146,-0.000895301,-0.014776185,-0.006350184,-0.008870664,-0.021652415,-0.011722839,-0.019480405,-0.016655024,-0.014557705,-0.007195382,8.20E-05,-0.015239559,-0.010638385,-0.01682793,-0.01349708,-0.005125908,-0.014018318,-0.017267378,-0.01497865,-0.012647978,-0.022615839,-0.016093593,-0.012209062,-0.017260214,-0.018292492,-0.011964054,-0.013763846
876.7999878,-0.000710506,-0.010769614,-0.003022774,-0.009783569,-0.011832581,-0.006719415,-0.009386081,-0.013214733,-0.017985977,-0.014883458,-0.016440777,-0.012340823,-0.022573622,-0.016022546,-0.018691486,-0.02107507,-0.02083309,-0.021270528,-0.016592292,-0.020568164,-0.01400744,-0.017808264,-0.022415085,-0.019856945,-0.029809475,-0.017742367,-0.016365251,-0.026628407,-0.022096755,-0.014123272,-0.01683525,-0.0171273,-0.015925385,-0.018475464,-0.016712816,-0.017298475
876,-0.009685459,-0.020162242,-0.015388594,-0.015023763,-0.017795097,-0.020465003,-0.017935606,-0.019482486,-0.021078326,-0.012547193,-0.022961043,-0.034752086,-0.026632106,-0.023331292,-0.024340836,-0.030250717,-0.026819922,-0.025692055,-0.026181808,-0.021426577,-0.025489545,-0.033318393,-0.027503509,-0.02949062,-0.025232622,-0.031245191,-0.029969346,-0.026012588,-0.032847811,-0.028396446,-0.028375544,-0.032512255,-0.028149003,-0.028793246,-0.027123671,-0.023434656
