wavelength (nm),DOMBlank1,DOMSTD29,DOM13163,DOM12719,DOM13123,DOM13010,DOM11895,DOM12258,DOM12660,DOMBlank2,DOM12940,DOM12994,DOM12998,DOM12999,DOM13000,DOM13023,DOM13071,DOM13439,DOM13440,DOM13449,DOM13459,DOM11931,DOM12157,DOMBlank3
878.4000244,0.004150576,0.002344987,-0.00495775,0.001524145,-0.003331552,-0.008185485,-0.010386221,-0.008695373,-0.012933006,-0.012677394,-0.014178094,-0.013074645,-0.013916045,-0.000234412,-0.011571179,-0.0091377,-0.004287281,-0.009758006,-0.00338272,-0.012237853,-0.010831932,-0.01779286,-0.009710014,-0.009692445
877.5999756,-0.015648708,-0.004909531,-0.015801098,-0.001587787,-0.01671207,-0.011362327,-0.01125746,-0.022053946,-0.015740039,-0.014846436,-0.021663498,-0.022516556,-0.015432316,-0.007009786,-0.02614871,-0.010493118,-0.018276608,-0.021275163,-0.012444775,-0.014748312,-0.01781383,-0.022027224,-0.020653529,-0.014445995
876.7999878,-0.00720134,-0.015323979,-0.019052755,-0.011707014,-0.012585719,-0.020144153,-0.014197537,-0.020169012,-0.018500816,-0.023697203,-0.015974043,-0.022050256,-0.017460233,-0.019035809,-0.02172176,-0.015543123,-0.018987987,-0.015015761,-0.016981348,-0.022203416,-0.017769353,-0.015307386,-0.020288303,-0.017496783
876,-0.007380289,-0.004368884,-0.006192553,-0.006338194,-0.0121263,-0.007002093,-0.014469631,-0.008340516,-0.014229403,-0.011348861,-0.015146974,-0.014689958,-0.011193085,-0.004924632,-0.013709322,-0.017360607,-0.009559928,-0.016082468,-0.007622707,-0.015890149,-0.006094905,-0.020493697,-0.011489052,-0.014834628
875.2000122,-0.003836493,-0.0065892,-0.011289543,-0.006861414,-0.014142967,-0.016264975,-0.019765042,-0.013953147,-0.020012809,-0.015143975,-0.02265884,-0.022207646,-0.026295852,-0.028867273,-0.022171784,-0.02108809,-0.014893313,-0.025323765,-0.022535529,-0.020939272,-0.012548199,-0.023318337,-0.020287314,-0.019615671
874.4000244,-0.003607869,-0.005395513,-0.012427518,-0.010352959,-0.008046866,-0.002019734,-0.020137578,-0.013888618,-0.014068542,-0.022248374,-0.016750177,-0.015498663,-0.015746329,-0.009766054,-0.013821874,-0.02012453,-0.010989705,-0.015580186,-0.025728066,-0.011211096,-0.020452261,-0.022990359,-0.024385868,-0.013165664
873.5999756,0.000954558,-0.001396836,-0.005704857,-0.011955794,-0.007817855,-0.019978249,-0.021185433,-0.008082897,-0.015085823,-0.01775047,-0.017905103,-0.015026813,-0.019961882,-0.017258225,-0.021710483,-0.017255189,-0.01667585,-0.013522524,-0.018560892,-0.016043002,-0.016195552,-0.010701782,-0.019704934,-0.012717869
872.7999878,-0.004534198,-0.007682629,-0.009934032,-0.012137527,-0.014083178,-0.010279501,-0.008968553,-0.010743856,-0.016122777,-0.014768579,-0.013063392,-0.009498999,-0.021979881,-0.012312039,-0.012118446,-0.016636489,-0.011905374,-0.017158505,-0.020414673,-0.017938737,-0.019452438,-0.015969202,-0.018735569,-0.019896906
872,-0.01279534,-0.013751959,-0.021025058,-0.018192114,-0.022477819,-0.023235556,-0.022203712,-0.02468697,-0.02821295,-0.030014571,-0.029073298,-0.026005274,-0.023831112,-0.030189822,-0.026891511,-0.023812832,-0.030618038,-0.030285146,-0.026335565,-0.031590007,-0.022257868,-0.030260375,-0.026761707,-0.025022322
871.2000122,-0.014751765,-0.011392739,-0.013022045,-0.005171596,-0.013621678,-0.01603028,-0.019401494,-0.013609084,-0.016698269,-0.014817867,-0.020527031,-0.018840928,-0.022076434,-0.022905353,-0.017562021,-0.019876679,-0.016776329,-0.015816823,-0.01821381,-0.019331383,-0.024948468,-0.020774215,-0.020880511,-0.025767343
870.4000244,-0.011742491,-0.00814545,-0.013301806,-0.01864814,-0.009429955,-0.014820418,-0.016817072,-0.0122906,-0.018948589,-0.015088174,-0.012789459,-0.017273946,-0.016150711,-0.016107662,-0.020294873,-0.014117508,-0.021704819,-0.017176718,-0.0164662,-0.016353583,-0.018907253,-0.021449884,-0.017377919,-0.02107507
869.5999756,-0.006272116,-0.008453452,-0.013724772,-0.01020694,-0.014764576,-0.01586085,-0.020078659,-0.018186405,-0.021147268,-0.018811479,-0.017517369,-0.015862847,-0.020144943,-0.020257471,-0.016872402,-0.021516699,-0.018982487,-0.015358661,-0.019116966,-0.018307034,-0.020177761,-0.025432713,-0.022869844,-0.022864146
868.7999878,-0.004812362,-0.000549367,-0.010402346,-0.014963144,-0.014628792,-0.007133763,-0.009632547,-0.016453389,-0.013128194,-0.011483354,-0.008813138,-0.012693183,-0.013910931,-0.01712491,-0.012478632,-0.015854511,-0.013146478,-0.015871333,-0.009657054,-0.016327059,-0.013678771,-0.019978199,-0.018675864,-0.012743209
868,-0.004118028,-0.003848193,-0.011413213,-0.010278439,-0.013822274,-0.011491472,-0.015653202,-0.017160246,-0.017509513,-0.010884193,-0.0134368,-0.017586831,-0.015906021,-0.015247057,-0.013518308,-0.015320431,-0.014365362,-0.017387617,-0.014389153,-0.017093206,-0.014392308,-0.018202838,-0.018363912,-0.0145172
867.2000122,-0.011393041,-0.005067423,-0.016612174,-0.01731902,-0.018674823,-0.014540482,-0.023180883,-0.026640335,-0.019113697,-0.020289982,-0.017423429,-0.014589395,-0.018285591,-0.018575029,-0.023812,-0.020691244,-0.018938329,-0.023623075,-0.02361317,-0.018688262,-0.019696672,-0.016378064,-0.019958422,-0.020022845
866.4000244,-0.017375879,-0.016560398,-0.017484004,-0.022902701,-0.019040119,-0.022495171,-0.020621981,-0.02403523,-0.023452707,-0.021941638,-0.028534975,-0.027935546,-0.024629153,-0.028836027,-0.028955236,-0.023390507,-0.024333542,-0.025723431,-0.02715762,-0.02881752,-0.024619957,-0.025681026,-0.030102592,-0.023934213
865.5999756,-0.0048076,-0.007319918,-0.012664219,-0.012757084,-0.015115875,-0.009977496,-0.019678216,-0.018958896,-0.012297997,-0.01413154,-0.019568508,-0.016033422,-0.016969003,-0.013086903,-0.015089824,-0.014923529,-0.016145574,-0.018406542,-0.019765785,-0.021985443,-0.011996135,-0.020075694,-0.019134156,-0.021237992
